Ab pair,CDRH1 Seq ID,CDRH2 Seq ID,CDRH3 Seq ID,CDRL1 Seq ID,CDRL2 Seq ID,CDRL3 Seq ID,All CDR Avg Seq ID
10977_10977,100,100,100,100,100,100,100
10977_10989,30,61.53846154,14.28571429,21.42857143,28.57142857,25,30.13736264
10977_10933,50,15.38461538,14.28571429,57.14285714,42.85714286,66.66666667,41.05616606
10977_10964,30,38.46153846,21.42857143,78.57142857,42.85714286,58.33333333,44.94200244
10977_10984,20,23.07692308,14.28571429,14.28571429,14.28571429,8.333333333,15.71123321
10977_10986,30,23.07692308,21.42857143,14.28571429,28.57142857,25,23.72710623
10977_10954,40,23.07692308,7.142857143,50,42.85714286,58.33333333,36.9017094
10977_10934,40,30.76923077,14.28571429,50,42.85714286,58.33333333,39.37423687
10977_10987,60,15.38461538,28.57142857,21.42857143,28.57142857,16.66666667,28.43711844
10989_10989,100,100,100,100,100,100,100
10989_10933,50,15.38461538,14.28571429,14.28571429,28.57142857,16.66666667,23.1990232
10989_10964,30,46.15384615,7.142857143,21.42857143,28.57142857,16.66666667,24.99389499
10989_10984,30,23.07692308,14.28571429,42.85714286,57.14285714,16.66666667,30.67155067
10989_10986,20,23.07692308,21.42857143,50,57.14285714,25,32.77472527
10989_10954,30,23.07692308,0,7.142857143,42.85714286,16.66666667,19.95726496
10989_10934,30,23.07692308,14.28571429,14.28571429,42.85714286,16.66666667,23.52869353
10989_10987,40,15.38461538,21.42857143,92.85714286,85.71428571,58.33333333,52.28632479
10933_10933,100,100,100,100,100,100,100
10933_10964,30,38.46153846,35.71428571,78.57142857,57.14285714,75,52.48168498
10933_10984,50,61.53846154,28.57142857,7.142857143,0,8.333333333,25.93101343
10933_10986,60,53.84615385,42.85714286,7.142857143,14.28571429,25,33.85531136
10933_10954,60,61.53846154,42.85714286,85.71428571,85.71428571,83.33333333,69.85958486
10933_10934,60,23.07692308,42.85714286,85.71428571,71.42857143,75,59.67948718
10933_10987,70,53.84615385,28.57142857,14.28571429,14.28571429,16.66666667,32.94261294
10964_10964,100,100,100,100,100,100,100
10964_10984,30,61.53846154,35.71428571,14.28571429,14.28571429,0,25.97069597
10964_10986,10,61.53846154,42.85714286,14.28571429,14.28571429,8.333333333,25.21672772
10964_10954,20,61.53846154,28.57142857,71.42857143,42.85714286,58.33333333,47.12148962
10964_10934,20,30.76923077,35.71428571,71.42857143,42.85714286,58.33333333,43.18376068
10964_10987,30,30.76923077,42.85714286,21.42857143,28.57142857,16.66666667,28.38217338
10984_10984,100,100,100,100,100,100,100
10984_10986,60,84.61538462,28.57142857,64.28571429,57.14285714,50,57.43589744
10984_10954,70,100,28.57142857,14.28571429,14.28571429,8.333333333,39.24603175
10984_10934,40,30.76923077,28.57142857,7.142857143,14.28571429,8.333333333,21.51709402
10984_10987,30,46.15384615,35.71428571,42.85714286,71.42857143,16.66666667,40.47008547
10986_10986,100,100,100,100,100,100,100
10986_10954,80,84.61538462,28.57142857,7.142857143,14.28571429,25,39.93589744
10986_10934,40,30.76923077,50,7.142857143,14.28571429,16.66666667,26.47741148
10986_10987,40,46.15384615,50,42.85714286,42.85714286,25,41.14468864
10954_10954,100,100,100,100,100,100,100
10954_10934,60,30.76923077,21.42857143,78.57142857,85.71428571,75,58.58058608
10954_10987,40,46.15384615,28.57142857,7.142857143,28.57142857,16.66666667,27.85103785
10934_10934,100,100,100,100,100,100,100
10934_10987,60,23.07692308,28.57142857,14.28571429,28.57142857,16.66666667,28.52869353
10987_10987,100,100,100,100,100,100,100
