Unnamed: 0,JE11,CC71,Ab122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.909,0.915,0.719,0.598,0.761,0.768,0.761,0.758,0.584,0.762,0.792
CC71,0.909,0.0,0.0,0.534,0.663,0.665,0.639,0.65,0.628,0.682,0.773,0.794
Ab122,0.915,0.0,0.0,0.534,0.663,0.666,0.639,0.65,0.628,0.682,0.773,0.797
JE10,0.719,0.534,0.534,0.0,0.563,0.539,0.5,0.522,0.519,0.579,0.721,0.739
EB21,0.598,0.663,0.663,0.563,0.0,0.541,0.573,0.564,0.541,0.0,0.495,0.484
BH72,0.761,0.665,0.666,0.539,0.541,0.0,0.0,0.0,0.0,0.546,0.678,0.66
BG91,0.768,0.639,0.639,0.5,0.573,0.0,0.0,0.0,0.0,0.567,0.705,0.674
JF11,0.761,0.65,0.65,0.522,0.564,0.0,0.0,0.0,0.0,0.557,0.674,0.659
JA112,0.758,0.628,0.628,0.519,0.541,0.0,0.0,0.0,0.0,0.571,0.65,0.628
EE11,0.584,0.682,0.682,0.579,0.0,0.546,0.567,0.557,0.571,0.0,0.506,0.503
FH41,0.762,0.773,0.773,0.721,0.495,0.678,0.705,0.674,0.65,0.506,0.0,0.0
LA5,0.792,0.794,0.797,0.739,0.484,0.66,0.674,0.659,0.628,0.503,0.0,0.0
