 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv,finalmodel.000.20.det_cont.csv,finalmodel.000.21.det_cont.csv,finalmodel.000.22.det_cont.csv,finalmodel.000.23.det_cont.csv,finalmodel.000.24.det_cont.csv,finalmodel.000.25.det_cont.csv,finalmodel.000.26.det_cont.csv,finalmodel.000.27.det_cont.csv,finalmodel.000.28.det_cont.csv,finalmodel.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.457,0.116,0.217,0.250,0.379,0.438,0.292,0.636,0.262,0.045,0.263,0.558,0.097,0.000,0.217,0.420,0.288,0.389,0.224,0.000,0.000,0.000,0.015,0.012,0.553,0.015,0.347,0.125,0.309,0.417
f_min.final_model.000.01.det_cont.csv,0.690,0.266,0.100,0.480,0.714,0.197,0.347,0.407,0.473,0.129,0.520,0.511,0.239,0.029,0.262,0.471,0.449,0.580,0.071,0.000,0.000,0.056,0.014,0.089,0.312,0.143,0.186,0.267,0.188,0.469
f_min.final_model.000.02.det_cont.csv,0.125,0.262,0.814,0.119,0.076,0.423,0.241,0.132,0.155,0.386,0.100,0.108,0.377,0.044,0.322,0.152,0.180,0.111,0.689,0.098,0.194,0.027,0.059,0.299,0.231,0.090,0.315,0.185,0.510,0.141
f_min.final_model.000.03.det_cont.csv,0.153,0.393,0.276,0.420,0.246,0.346,0.465,0.177,0.393,0.368,0.404,0.236,0.429,0.117,0.762,0.440,0.388,0.188,0.309,0.033,0.000,0.000,0.079,0.297,0.277,0.278,0.426,0.460,0.327,0.302
f_min.final_model.000.04.det_cont.csv,0.479,0.350,0.132,0.574,0.647,0.237,0.320,0.333,0.588,0.185,0.617,0.578,0.317,0.045,0.375,0.596,0.511,0.411,0.103,0.000,0.000,0.000,0.029,0.147,0.370,0.220,0.273,0.382,0.246,0.636
f_min.final_model.000.05.det_cont.csv,0.190,0.771,0.286,0.500,0.313,0.116,0.321,0.111,0.518,0.515,0.455,0.172,0.582,0.194,0.397,0.317,0.471,0.239,0.179,0.129,0.064,0.000,0.190,0.475,0.155,0.382,0.233,0.429,0.290,0.246
f_min.final_model.000.06.det_cont.csv,0.269,0.169,0.440,0.150,0.197,0.789,0.271,0.246,0.169,0.213,0.127,0.294,0.238,0.000,0.440,0.273,0.222,0.194,0.458,0.000,0.000,0.000,0.000,0.174,0.381,0.081,0.548,0.224,0.578,0.288
f_min.final_model.000.07.det_cont.csv,0.321,0.527,0.159,0.750,0.526,0.152,0.468,0.295,0.750,0.303,0.681,0.345,0.410,0.106,0.455,0.500,0.609,0.390,0.099,0.030,0.000,0.000,0.088,0.271,0.269,0.316,0.237,0.549,0.197,0.389
f_min.final_model.000.08.det_cont.csv,0.109,0.446,0.132,0.396,0.217,0.123,0.269,0.041,0.397,0.412,0.357,0.109,0.383,0.321,0.426,0.230,0.420,0.162,0.087,0.222,0.013,0.027,0.224,0.458,0.086,0.500,0.228,0.689,0.152,0.220
f_min.final_model.000.09.det_cont.csv,0.381,0.360,0.123,0.649,0.479,0.132,0.395,0.312,0.581,0.153,0.575,0.415,0.296,0.000,0.255,0.409,0.611,0.467,0.069,0.000,0.000,0.000,0.018,0.123,0.316,0.157,0.213,0.286,0.189,0.439
f_min.final_model.000.10.det_cont.csv,0.175,0.750,0.311,0.510,0.318,0.188,0.408,0.129,0.585,0.500,0.436,0.175,0.623,0.141,0.509,0.345,0.480,0.224,0.219,0.078,0.025,0.000,0.156,0.483,0.158,0.389,0.259,0.519,0.317,0.250
f_min.final_model.000.11.det_cont.csv,0.119,0.250,0.761,0.099,0.060,0.426,0.228,0.143,0.133,0.351,0.081,0.119,0.359,0.057,0.286,0.162,0.136,0.092,0.646,0.111,0.221,0.039,0.071,0.268,0.218,0.056,0.298,0.143,0.481,0.152
f_min.final_model.000.12.det_cont.csv,0.000,0.147,0.088,0.000,0.000,0.000,0.000,0.014,0.013,0.177,0.014,0.000,0.081,0.595,0.028,0.029,0.000,0.013,0.075,0.703,0.267,0.141,0.581,0.239,0.000,0.211,0.031,0.123,0.090,0.000
f_min.final_model.000.13.det_cont.csv,0.042,0.441,0.266,0.200,0.114,0.132,0.167,0.013,0.250,0.613,0.176,0.014,0.500,0.321,0.328,0.145,0.210,0.064,0.254,0.207,0.078,0.013,0.293,0.800,0.031,0.551,0.175,0.429,0.270,0.056
f_min.final_model.000.14.det_cont.csv,0.455,0.175,0.186,0.340,0.400,0.404,0.372,0.500,0.321,0.072,0.353,0.778,0.169,0.000,0.296,0.581,0.333,0.358,0.193,0.000,0.000,0.000,0.016,0.013,0.600,0.048,0.370,0.190,0.327,0.625
f_min.final_model.000.15.det_cont.csv,0.275,0.210,0.449,0.193,0.200,0.523,0.277,0.250,0.210,0.268,0.167,0.275,0.305,0.000,0.449,0.327,0.275,0.197,0.500,0.017,0.014,0.000,0.032,0.212,0.462,0.082,0.561,0.228,0.707,0.347
f_min.final_model.000.16.det_cont.csv,0.014,0.181,0.473,0.040,0.011,0.167,0.077,0.026,0.062,0.316,0.013,0.000,0.299,0.104,0.110,0.013,0.042,0.012,0.411,0.167,0.431,0.212,0.071,0.268,0.031,0.056,0.088,0.039,0.250,0.000
f_min.final_model.000.17.det_cont.csv,0.412,0.344,0.130,0.531,0.604,0.233,0.367,0.328,0.547,0.198,0.571,0.565,0.292,0.076,0.368,0.551,0.532,0.379,0.101,0.015,0.000,0.000,0.043,0.176,0.333,0.237,0.268,0.400,0.203,0.622
f_min.final_model.000.18.det_cont.csv,0.382,0.387,0.079,0.580,0.589,0.099,0.315,0.328,0.564,0.217,0.723,0.357,0.313,0.087,0.323,0.429,0.490,0.500,0.026,0.014,0.024,0.066,0.056,0.182,0.214,0.262,0.172,0.373,0.141,0.400
f_min.final_model.000.19.det_cont.csv,0.207,0.481,0.310,0.521,0.317,0.309,0.477,0.210,0.538,0.338,0.471,0.273,0.519,0.062,0.652,0.396,0.556,0.258,0.254,0.000,0.000,0.000,0.029,0.288,0.292,0.291,0.408,0.562,0.339,0.365
f_min.final_model.000.20.det_cont.csv,0.147,0.375,0.063,0.421,0.338,0.053,0.259,0.221,0.397,0.226,0.456,0.200,0.250,0.132,0.254,0.344,0.368,0.303,0.012,0.058,0.089,0.122,0.182,0.257,0.111,0.411,0.116,0.407,0.078,0.215
f_min.final_model.000.21.det_cont.csv,0.725,0.113,0.119,0.241,0.464,0.246,0.185,0.480,0.234,0.033,0.298,0.408,0.095,0.000,0.136,0.352,0.232,0.604,0.106,0.000,0.055,0.138,0.000,0.012,0.386,0.014,0.214,0.121,0.213,0.400
