 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv,finalmodel.000.20.det_cont.csv,finalmodel.000.21.det_cont.csv,finalmodel.000.22.det_cont.csv,finalmodel.000.23.det_cont.csv,finalmodel.000.24.det_cont.csv,finalmodel.000.25.det_cont.csv,finalmodel.000.26.det_cont.csv,finalmodel.000.27.det_cont.csv,finalmodel.000.28.det_cont.csv,finalmodel.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.177,0.729,0.295,0.462,0.284,0.119,0.308,0.099,0.482,0.441,0.418,0.177,0.574,0.161,0.339,0.283,0.490,0.266,0.185,0.133,0.066,0.000,0.159,0.419,0.140,0.370,0.220,0.418,0.258,0.276
f_min.final_model.000.01.det_cont.csv,0.269,0.551,0.200,0.643,0.386,0.153,0.525,0.203,0.617,0.300,0.543,0.320,0.418,0.121,0.440,0.522,0.610,0.345,0.111,0.034,0.000,0.000,0.100,0.266,0.234,0.340,0.250,0.479,0.203,0.396
f_min.final_model.000.02.det_cont.csv,0.074,0.492,0.431,0.304,0.176,0.187,0.206,0.034,0.347,0.778,0.260,0.074,0.678,0.117,0.388,0.152,0.279,0.118,0.400,0.093,0.118,0.022,0.101,0.500,0.068,0.275,0.229,0.353,0.314,0.143
f_min.final_model.000.03.det_cont.csv,0.255,0.298,0.429,0.264,0.203,0.500,0.311,0.232,0.276,0.254,0.232,0.255,0.333,0.033,0.522,0.333,0.362,0.180,0.388,0.000,0.014,0.000,0.016,0.215,0.400,0.161,0.658,0.302,0.568,0.354
f_min.final_model.000.04.det_cont.csv,0.439,0.327,0.182,0.590,0.440,0.196,0.500,0.306,0.605,0.151,0.524,0.475,0.291,0.018,0.327,0.537,0.595,0.457,0.125,0.000,0.000,0.000,0.017,0.104,0.417,0.132,0.261,0.362,0.255,0.579
f_min.final_model.000.05.det_cont.csv,0.000,0.310,0.059,0.131,0.082,0.000,0.052,0.000,0.152,0.319,0.145,0.000,0.219,0.667,0.180,0.111,0.119,0.014,0.045,0.525,0.138,0.076,0.467,0.373,0.000,0.426,0.083,0.315,0.109,0.031
f_min.final_model.000.06.det_cont.csv,0.308,0.345,0.213,0.543,0.446,0.250,0.615,0.352,0.560,0.208,0.490,0.478,0.290,0.081,0.423,0.674,0.478,0.333,0.180,0.016,0.000,0.000,0.079,0.153,0.429,0.190,0.314,0.377,0.281,0.468
f_min.final_model.000.07.det_cont.csv,0.101,0.593,0.262,0.254,0.141,0.130,0.203,0.038,0.323,0.554,0.227,0.056,0.467,0.293,0.367,0.176,0.333,0.120,0.212,0.246,0.077,0.013,0.267,0.596,0.097,0.510,0.230,0.558,0.266,0.132
f_min.final_model.000.08.det_cont.csv,0.320,0.357,0.108,0.533,0.580,0.115,0.326,0.315,0.551,0.182,0.651,0.467,0.258,0.102,0.333,0.591,0.500,0.345,0.061,0.017,0.000,0.000,0.065,0.174,0.289,0.241,0.182,0.315,0.164,0.523
f_min.final_model.000.09.det_cont.csv,0.629,0.063,0.167,0.154,0.400,0.341,0.209,0.442,0.175,0.025,0.216,0.425,0.045,0.000,0.189,0.326,0.213,0.354,0.151,0.000,0.000,0.033,0.000,0.000,0.485,0.000,0.302,0.127,0.292,0.415
