 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.118,0.071,0.197,0.082,0.295,0.152,0.197,0.012,0.455,0.215,0.596,0.023,0.423,0.000,0.060,0.013,0.093,0.482,0.132,0.159,0.070,0.111,0.186,0.130,0.027,0.246
f_min.final_model.000.01.det_cont.csv,0.169,0.133,0.241,0.108,0.180,0.302,0.245,0.000,0.521,0.143,0.434,0.000,0.595,0.000,0.123,0.000,0.190,0.246,0.000,0.015,0.000,0.189,0.050,0.203,0.061,0.391
f_min.final_model.000.02.det_cont.csv,0.098,0.035,0.177,0.045,0.476,0.111,0.176,0.067,0.270,0.431,0.366,0.085,0.257,0.022,0.020,0.011,0.043,0.516,0.152,0.130,0.047,0.120,0.135,0.034,0.000,0.181
f_min.final_model.000.03.det_cont.csv,0.031,0.294,0.077,0.000,0.373,0.047,0.067,0.014,0.164,0.373,0.175,0.013,0.161,0.000,0.000,0.000,0.000,0.276,0.015,0.016,0.000,0.452,0.034,0.232,0.000,0.051
f_min.final_model.000.04.det_cont.csv,0.033,0.245,0.102,0.032,0.182,0.216,0.113,0.000,0.347,0.121,0.302,0.000,0.463,0.000,0.071,0.000,0.153,0.095,0.000,0.000,0.000,0.273,0.000,0.333,0.016,0.213
f_min.final_model.000.05.det_cont.csv,0.327,0.000,0.469,0.286,0.059,0.150,0.467,0.087,0.352,0.043,0.434,0.066,0.218,0.044,0.224,0.148,0.154,0.462,0.373,0.500,0.278,0.000,0.575,0.000,0.186,0.333
f_min.final_model.000.06.det_cont.csv,0.127,0.228,0.156,0.104,0.194,0.291,0.193,0.000,0.389,0.175,0.322,0.000,0.568,0.000,0.135,0.000,0.203,0.130,0.000,0.015,0.000,0.327,0.016,0.259,0.059,0.347
f_min.final_model.000.07.det_cont.csv,0.274,0.040,0.367,0.206,0.302,0.129,0.382,0.012,0.431,0.242,0.483,0.022,0.242,0.000,0.165,0.013,0.133,0.593,0.176,0.246,0.082,0.090,0.304,0.066,0.039,0.298
f_min.final_model.000.08.det_cont.csv,0.150,0.236,0.180,0.091,0.075,0.353,0.222,0.000,0.460,0.043,0.382,0.000,0.634,0.000,0.123,0.000,0.230,0.134,0.000,0.000,0.000,0.189,0.033,0.291,0.029,0.362
f_min.final_model.000.09.det_cont.csv,0.000,0.639,0.000,0.000,0.145,0.071,0.000,0.000,0.067,0.105,0.063,0.029,0.094,0.051,0.043,0.000,0.100,0.000,0.000,0.000,0.000,0.421,0.000,0.632,0.000,0.000
f_min.final_model.000.10.det_cont.csv,0.111,0.000,0.167,0.167,0.086,0.000,0.163,0.222,0.085,0.068,0.218,0.180,0.018,0.127,0.090,0.271,0.015,0.241,0.525,0.629,0.429,0.000,0.636,0.000,0.196,0.100
f_min.final_model.000.11.det_cont.csv,0.259,0.000,0.340,0.224,0.076,0.046,0.354,0.138,0.180,0.060,0.339,0.111,0.082,0.061,0.157,0.211,0.057,0.389,0.500,0.625,0.360,0.000,0.632,0.000,0.232,0.212
f_min.final_model.000.12.det_cont.csv,0.167,0.188,0.250,0.096,0.270,0.149,0.254,0.000,0.473,0.250,0.448,0.000,0.415,0.000,0.084,0.000,0.122,0.312,0.026,0.028,0.000,0.315,0.092,0.162,0.013,0.286
f_min.final_model.000.13.det_cont.csv,0.000,0.180,0.041,0.000,0.617,0.014,0.029,0.026,0.167,0.520,0.212,0.049,0.145,0.000,0.000,0.000,0.000,0.356,0.104,0.077,0.058,0.314,0.081,0.172,0.000,0.030
f_min.final_model.000.14.det_cont.csv,0.082,0.000,0.123,0.051,0.414,0.026,0.134,0.149,0.122,0.414,0.265,0.167,0.085,0.080,0.034,0.067,0.012,0.483,0.270,0.206,0.113,0.058,0.259,0.000,0.039,0.088
f_min.final_model.000.15.det_cont.csv,0.069,0.462,0.127,0.053,0.096,0.283,0.138,0.012,0.328,0.067,0.292,0.035,0.415,0.053,0.139,0.013,0.258,0.077,0.000,0.000,0.000,0.268,0.000,0.612,0.026,0.220
f_min.final_model.000.16.det_cont.csv,0.274,0.068,0.390,0.206,0.139,0.234,0.407,0.000,0.596,0.093,0.870,0.000,0.540,0.000,0.179,0.013,0.181,0.433,0.127,0.188,0.082,0.090,0.281,0.125,0.067,0.480
f_min.final_model.000.17.det_cont.csv,0.302,0.000,0.309,0.309,0.075,0.045,0.320,0.210,0.177,0.075,0.267,0.174,0.063,0.109,0.206,0.273,0.087,0.310,0.556,0.784,0.468,0.000,0.800,0.000,0.296,0.185
f_min.final_model.000.18.det_cont.csv,0.000,0.062,0.000,0.000,0.500,0.000,0.000,0.172,0.000,0.565,0.086,0.191,0.000,0.076,0.000,0.045,0.000,0.267,0.273,0.158,0.113,0.167,0.145,0.000,0.029,0.000
f_min.final_model.000.19.det_cont.csv,0.013,0.026,0.000,0.012,0.527,0.000,0.000,0.299,0.037,0.500,0.086,0.329,0.013,0.221,0.000,0.188,0.012,0.275,0.302,0.182,0.174,0.087,0.172,0.000,0.079,0.000
f_min.final_model.000.20.det_cont.csv,0.250,0.013,0.297,0.169,0.361,0.127,0.328,0.036,0.377,0.297,0.500,0.057,0.238,0.012,0.134,0.000,0.117,0.706,0.174,0.203,0.081,0.088,0.276,0.025,0.038,0.271
