 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.820,0.238,0.145,0.194,0.373,0.284,0.414,0.618,0.338,0.431,0.387,0.323,0.026,0.339,0.391,0.188,0.147,0.194,0.473,0.379,0.125,0.159,0.123,0.200,0.300,0.632,0.222,0.306,0.177,0.483
f_min.final_model.000.01.det_cont.csv,0.328,0.200,0.197,0.193,0.062,0.096,0.101,0.258,0.141,0.510,0.778,0.689,0.000,0.141,0.258,0.118,0.125,0.370,0.154,0.510,0.172,0.218,0.134,0.091,0.143,0.426,0.164,0.705,0.288,0.290
f_min.final_model.000.02.det_cont.csv,0.354,0.316,0.267,0.268,0.113,0.153,0.145,0.246,0.167,0.667,0.596,0.756,0.000,0.226,0.344,0.162,0.172,0.510,0.164,0.711,0.068,0.321,0.053,0.115,0.230,0.475,0.104,0.660,0.429,0.339
f_min.final_model.000.03.det_cont.csv,0.086,0.750,0.600,0.686,0.185,0.340,0.218,0.072,0.043,0.308,0.164,0.367,0.032,0.362,0.233,0.367,0.465,0.383,0.200,0.275,0.000,0.657,0.000,0.250,0.400,0.099,0.000,0.245,0.611,0.224
f_min.final_model.000.04.det_cont.csv,0.258,0.628,0.479,0.650,0.400,0.560,0.510,0.209,0.145,0.293,0.114,0.254,0.059,0.732,0.397,0.370,0.400,0.200,0.404,0.263,0.000,0.477,0.000,0.344,0.556,0.197,0.030,0.177,0.413,0.444
f_min.final_model.000.05.det_cont.csv,0.200,0.413,0.347,0.326,0.082,0.197,0.131,0.169,0.138,0.522,0.327,0.468,0.000,0.222,0.357,0.232,0.250,0.718,0.097,0.489,0.000,0.463,0.000,0.132,0.275,0.250,0.032,0.447,0.579,0.327
f_min.final_model.000.06.det_cont.csv,0.691,0.111,0.080,0.086,0.270,0.189,0.292,0.655,0.459,0.393,0.375,0.292,0.038,0.227,0.468,0.120,0.081,0.206,0.383,0.344,0.169,0.071,0.200,0.095,0.159,0.667,0.295,0.317,0.136,0.443
f_min.final_model.000.07.det_cont.csv,0.246,0.431,0.510,0.438,0.403,0.761,0.571,0.200,0.123,0.219,0.080,0.149,0.103,0.542,0.254,0.750,0.622,0.172,0.357,0.190,0.000,0.388,0.000,0.574,0.622,0.158,0.014,0.118,0.333,0.306
f_min.final_model.000.08.det_cont.csv,0.482,0.148,0.076,0.119,0.448,0.279,0.451,0.588,0.549,0.230,0.164,0.088,0.091,0.315,0.500,0.138,0.094,0.125,0.431,0.200,0.058,0.083,0.156,0.139,0.273,0.393,0.211,0.123,0.102,0.529
f_min.final_model.000.09.det_cont.csv,0.404,0.314,0.259,0.286,0.588,0.471,0.732,0.418,0.288,0.200,0.103,0.092,0.113,0.511,0.393,0.340,0.288,0.113,0.556,0.211,0.000,0.216,0.029,0.339,0.426,0.323,0.100,0.077,0.170,0.500
f_min.final_model.000.10.det_cont.csv,0.130,0.444,0.535,0.488,0.234,0.587,0.380,0.101,0.072,0.250,0.106,0.190,0.047,0.375,0.188,0.769,0.806,0.218,0.236,0.218,0.000,0.500,0.000,0.453,0.548,0.081,0.000,0.153,0.429,0.197
f_min.final_model.000.11.det_cont.csv,0.344,0.078,0.029,0.066,0.297,0.185,0.281,0.509,0.500,0.138,0.085,0.043,0.109,0.228,0.379,0.074,0.030,0.029,0.412,0.076,0.286,0.032,0.352,0.080,0.113,0.292,0.447,0.059,0.016,0.328
f_min.final_model.000.12.det_cont.csv,0.323,0.090,0.057,0.078,0.299,0.209,0.328,0.448,0.783,0.164,0.110,0.069,0.103,0.233,0.474,0.100,0.074,0.119,0.267,0.172,0.226,0.079,0.328,0.090,0.177,0.313,0.309,0.086,0.115,0.373
f_min.final_model.000.13.det_cont.csv,0.562,0.048,0.023,0.051,0.217,0.118,0.197,0.531,0.477,0.333,0.377,0.282,0.023,0.143,0.441,0.046,0.024,0.171,0.304,0.328,0.184,0.038,0.230,0.031,0.101,0.672,0.303,0.324,0.093,0.357
