Repebody 1,Repebody 2,Epibin Score
A10,A10,0.0
A10,A4,0.6537999999999999
A10,B10,0.6154
A10,B3,0.6537999999999999
A10,C6,0.6923
A10,D3,0.6923
A10,G3,0.7692
A4,A4,0.0
A4,B10,0.19049999999999997
A4,B3,0.3333
A4,C6,0.19049999999999997
A4,D3,0.381
A4,G3,0.28569999999999995
B10,B10,0.0
B10,B3,0.23329999999999998
B10,C6,0.2
B10,D3,0.3333
B10,G3,0.43329999999999996
B3,B3,0.0
B3,C6,0.23329999999999998
B3,D3,0.43329999999999996
B3,G3,0.6333
C6,C6,0.0
C6,D3,0.27590000000000003
C6,G3,0.4483
D3,D3,0.0
D3,G3,0.5667
