 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.250,0.180,0.240,0.389,0.425,0.238,0.155,0.429,0.188,0.385
f_min.final_model.000.01.det_cont.csv,0.186,0.132,0.194,0.417,0.415,0.250,0.104,0.773,0.136,0.333
f_min.final_model.000.02.det_cont.csv,0.356,0.138,0.185,0.300,0.674,0.175,0.242,0.596,0.358,0.643
f_min.final_model.000.03.det_cont.csv,0.764,0.422,0.403,0.139,0.309,0.235,0.678,0.260,0.508,0.410
f_min.final_model.000.04.det_cont.csv,0.500,0.161,0.210,0.212,0.429,0.204,0.379,0.404,0.489,0.763
f_min.final_model.000.05.det_cont.csv,0.554,0.157,0.151,0.125,0.295,0.072,0.483,0.281,0.549,0.434
f_min.final_model.000.06.det_cont.csv,0.509,0.298,0.351,0.204,0.358,0.340,0.414,0.271,0.500,0.408
f_min.final_model.000.07.det_cont.csv,0.455,0.721,0.638,0.161,0.125,0.340,0.414,0.103,0.180,0.131
f_min.final_model.000.08.det_cont.csv,0.455,0.138,0.167,0.226,0.500,0.155,0.367,0.471,0.500,0.683
f_min.final_model.000.09.det_cont.csv,0.571,0.491,0.441,0.090,0.127,0.230,0.667,0.107,0.379,0.222
