 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.095,0.232,0.344,0.414,0.308,0.589,0.212,0.419,0.371,0.309
f_min.final_model.000.01.det_cont.csv,0.659,0.385,0.217,0.353,0.440,0.226,0.396,0.339,0.143,0.405
f_min.final_model.000.02.det_cont.csv,0.683,0.431,0.194,0.250,0.404,0.149,0.360,0.288,0.074,0.333
f_min.final_model.000.03.det_cont.csv,0.600,0.388,0.190,0.300,0.447,0.180,0.340,0.315,0.133,0.375
f_min.final_model.000.04.det_cont.csv,0.262,0.433,0.087,0.339,0.458,0.385,0.110,0.648,0.344,0.521
f_min.final_model.000.05.det_cont.csv,0.382,0.739,0.095,0.305,0.702,0.292,0.230,0.456,0.231,0.426
f_min.final_model.000.06.det_cont.csv,0.286,0.583,0.116,0.377,0.617,0.429,0.145,0.717,0.382,0.615
f_min.final_model.000.07.det_cont.csv,0.068,0.186,0.273,0.429,0.277,0.673,0.200,0.410,0.456,0.250
f_min.final_model.000.08.det_cont.csv,0.027,0.141,0.155,0.345,0.209,0.441,0.152,0.355,0.653,0.172
f_min.final_model.000.09.det_cont.csv,0.237,0.167,0.560,0.396,0.242,0.328,0.532,0.231,0.203,0.208
