 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.118,0.169,0.098,0.031,0.033,0.327,0.127,0.274,0.150,0.000
f_min.final_model.000.01.det_cont.csv,0.071,0.133,0.035,0.294,0.245,0.000,0.228,0.040,0.236,0.639
f_min.final_model.000.02.det_cont.csv,0.197,0.241,0.177,0.077,0.102,0.469,0.156,0.367,0.180,0.000
f_min.final_model.000.03.det_cont.csv,0.082,0.108,0.045,0.000,0.032,0.286,0.104,0.206,0.091,0.000
f_min.final_model.000.04.det_cont.csv,0.295,0.180,0.476,0.373,0.182,0.059,0.194,0.302,0.075,0.145
f_min.final_model.000.05.det_cont.csv,0.152,0.302,0.111,0.047,0.216,0.150,0.291,0.129,0.353,0.071
f_min.final_model.000.06.det_cont.csv,0.197,0.245,0.176,0.067,0.113,0.467,0.193,0.382,0.222,0.000
f_min.final_model.000.07.det_cont.csv,0.012,0.000,0.067,0.014,0.000,0.087,0.000,0.012,0.000,0.000
f_min.final_model.000.08.det_cont.csv,0.455,0.521,0.270,0.164,0.347,0.352,0.389,0.431,0.460,0.067
f_min.final_model.000.09.det_cont.csv,0.215,0.143,0.431,0.373,0.121,0.043,0.175,0.242,0.043,0.105
