 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.457,0.116,0.217,0.250,0.379,0.438,0.292,0.636,0.262,0.045
f_min.final_model.000.01.det_cont.csv,0.690,0.266,0.100,0.480,0.714,0.197,0.347,0.407,0.473,0.129
f_min.final_model.000.02.det_cont.csv,0.125,0.262,0.814,0.119,0.076,0.423,0.241,0.132,0.155,0.386
f_min.final_model.000.03.det_cont.csv,0.153,0.393,0.276,0.420,0.246,0.346,0.465,0.177,0.393,0.368
f_min.final_model.000.04.det_cont.csv,0.479,0.350,0.132,0.574,0.647,0.237,0.320,0.333,0.588,0.185
f_min.final_model.000.05.det_cont.csv,0.190,0.771,0.286,0.500,0.313,0.116,0.321,0.111,0.518,0.515
f_min.final_model.000.06.det_cont.csv,0.269,0.169,0.440,0.150,0.197,0.789,0.271,0.246,0.169,0.213
f_min.final_model.000.07.det_cont.csv,0.321,0.527,0.159,0.750,0.526,0.152,0.468,0.295,0.750,0.303
f_min.final_model.000.08.det_cont.csv,0.109,0.446,0.132,0.396,0.217,0.123,0.269,0.041,0.397,0.412
f_min.final_model.000.09.det_cont.csv,0.381,0.360,0.123,0.649,0.479,0.132,0.395,0.312,0.581,0.153
