 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.155,0.265,0.403,0.407,0.344,0.667,0.246,0.435,0.365,0.352
f_min.final_model.000.01.det_cont.csv,0.188,0.096,0.884,0.262,0.111,0.254,0.389,0.137,0.111,0.117
f_min.final_model.000.02.det_cont.csv,0.274,0.137,0.714,0.333,0.186,0.243,0.592,0.178,0.153,0.148
f_min.final_model.000.03.det_cont.csv,0.718,0.315,0.241,0.259,0.365,0.154,0.500,0.233,0.076,0.261
f_min.final_model.000.04.det_cont.csv,0.480,0.529,0.179,0.442,0.592,0.281,0.304,0.500,0.258,0.512
f_min.final_model.000.05.det_cont.csv,0.380,0.177,0.396,0.373,0.237,0.149,0.789,0.169,0.141,0.132
f_min.final_model.000.06.det_cont.csv,0.063,0.173,0.348,0.393,0.239,0.614,0.203,0.379,0.375,0.230
f_min.final_model.000.07.det_cont.csv,0.481,0.800,0.123,0.279,0.653,0.269,0.267,0.500,0.209,0.511
f_min.final_model.000.08.det_cont.csv,0.072,0.238,0.162,0.442,0.345,0.519,0.159,0.558,0.592,0.300
f_min.final_model.000.09.det_cont.csv,0.268,0.500,0.118,0.412,0.562,0.491,0.148,0.773,0.389,0.676
