 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.147,0.281,0.277,0.339,0.344,0.755,0.185,0.441,0.439,0.380
f_min.final_model.000.01.det_cont.csv,0.224,0.389,0.169,0.500,0.471,0.549,0.207,0.660,0.415,0.512
f_min.final_model.000.02.det_cont.csv,0.070,0.157,0.448,0.368,0.231,0.471,0.247,0.303,0.371,0.186
f_min.final_model.000.03.det_cont.csv,0.353,0.217,0.370,0.429,0.304,0.328,0.581,0.288,0.237,0.250
f_min.final_model.000.04.det_cont.csv,0.362,0.545,0.169,0.383,0.581,0.333,0.212,0.578,0.283,0.667
f_min.final_model.000.05.det_cont.csv,0.000,0.071,0.086,0.180,0.103,0.317,0.014,0.164,0.364,0.069
f_min.final_model.000.06.det_cont.csv,0.352,0.426,0.219,0.542,0.481,0.350,0.263,0.538,0.283,0.488
f_min.final_model.000.07.det_cont.csv,0.066,0.149,0.284,0.323,0.214,0.561,0.194,0.333,0.635,0.180
f_min.final_model.000.08.det_cont.csv,0.315,0.500,0.086,0.385,0.596,0.411,0.129,0.560,0.250,0.550
f_min.final_model.000.09.det_cont.csv,0.476,0.467,0.155,0.145,0.404,0.094,0.326,0.190,0.065,0.205
