 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.760,0.500,0.594,0.362,0.321,0.227,0.317,0.468,0.350,0.075
f_min.final_model.000.01.det_cont.csv,0.281,0.154,0.455,0.352,0.172,0.119,0.203,0.269,0.087,0.158
f_min.final_model.000.02.det_cont.csv,0.250,0.200,0.435,0.520,0.203,0.040,0.250,0.275,0.130,0.211
f_min.final_model.000.03.det_cont.csv,0.141,0.222,0.087,0.422,0.341,0.000,0.360,0.086,0.269,0.462
f_min.final_model.000.04.det_cont.csv,0.311,0.431,0.190,0.365,0.571,0.074,0.630,0.169,0.521,0.333
f_min.final_model.000.05.det_cont.csv,0.136,0.193,0.219,0.535,0.196,0.000,0.250,0.164,0.115,0.311
f_min.final_model.000.06.det_cont.csv,0.579,0.361,0.705,0.286,0.206,0.317,0.214,0.550,0.239,0.042
f_min.final_model.000.07.det_cont.csv,0.297,0.357,0.155,0.254,0.533,0.056,0.444,0.147,0.490,0.523
f_min.final_model.000.08.det_cont.csv,0.538,0.553,0.424,0.246,0.294,0.281,0.339,0.509,0.304,0.032
f_min.final_model.000.09.det_cont.csv,0.453,0.628,0.300,0.259,0.575,0.129,0.565,0.250,0.556,0.151
