 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.167,0.673,0.407,0.429,0.268,0.179,0.333,0.108,0.426,0.545
f_min.final_model.000.01.det_cont.csv,0.127,0.266,0.833,0.104,0.063,0.404,0.245,0.134,0.141,0.371
f_min.final_model.000.02.det_cont.csv,0.175,0.254,0.667,0.149,0.130,0.490,0.232,0.197,0.167,0.394
f_min.final_model.000.03.det_cont.csv,0.409,0.108,0.259,0.226,0.271,0.524,0.267,0.426,0.220,0.061
f_min.final_model.000.04.det_cont.csv,0.353,0.274,0.172,0.500,0.491,0.291,0.455,0.423,0.491,0.146
f_min.final_model.000.05.det_cont.csv,0.255,0.138,0.400,0.136,0.167,0.737,0.255,0.255,0.156,0.187
f_min.final_model.000.06.det_cont.csv,0.097,0.679,0.349,0.323,0.195,0.157,0.254,0.037,0.369,0.733
f_min.final_model.000.07.det_cont.csv,0.674,0.262,0.130,0.471,0.735,0.254,0.340,0.481,0.464,0.115
f_min.final_model.000.08.det_cont.csv,0.113,0.646,0.136,0.500,0.281,0.092,0.333,0.072,0.549,0.469
f_min.final_model.000.09.det_cont.csv,0.294,0.490,0.125,0.917,0.580,0.115,0.488,0.246,0.810,0.264
