 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
finalmodel.000.00.det_cont.csv,0.134,0.400,0.488,0.439,0.242,0.578,0.396,0.104,0.075,0.214
finalmodel.000.01.det_cont.csv,0.654,0.197,0.121,0.169,0.381,0.286,0.453,0.680,0.464,0.322
finalmodel.000.02.det_cont.csv,0.323,0.232,0.207,0.204,0.092,0.100,0.123,0.250,0.164,0.542
finalmodel.000.03.det_cont.csv,0.411,0.347,0.264,0.319,0.569,0.510,0.707,0.426,0.293,0.203
finalmodel.000.04.det_cont.csv,0.254,0.333,0.375,0.333,0.452,0.647,0.538,0.261,0.149,0.157
finalmodel.000.05.det_cont.csv,0.147,0.413,0.375,0.356,0.068,0.217,0.113,0.134,0.104,0.429
finalmodel.000.06.det_cont.csv,0.291,0.381,0.283,0.350,0.333,0.347,0.442,0.302,0.196,0.286
finalmodel.000.07.det_cont.csv,0.066,0.478,0.683,0.488,0.344,0.382,0.309,0.053,0.000,0.197
finalmodel.000.08.det_cont.csv,0.410,0.327,0.254,0.302,0.554,0.473,0.750,0.448,0.323,0.238
finalmodel.000.09.det_cont.csv,0.603,0.073,0.047,0.063,0.244,0.143,0.227,0.571,0.492,0.368
