 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.250,0.186,0.356,0.764,0.500,0.554,0.509,0.455,0.455,0.571
f_min.final_model.000.01.det_cont.csv,0.180,0.132,0.138,0.422,0.161,0.157,0.298,0.721,0.138,0.491
f_min.final_model.000.02.det_cont.csv,0.240,0.194,0.185,0.403,0.210,0.151,0.351,0.638,0.167,0.441
f_min.final_model.000.03.det_cont.csv,0.389,0.417,0.300,0.139,0.212,0.125,0.204,0.161,0.226,0.090
f_min.final_model.000.04.det_cont.csv,0.425,0.415,0.674,0.309,0.429,0.295,0.358,0.125,0.500,0.127
f_min.final_model.000.05.det_cont.csv,0.238,0.250,0.175,0.235,0.204,0.072,0.340,0.340,0.155,0.230
f_min.final_model.000.06.det_cont.csv,0.155,0.104,0.242,0.678,0.379,0.483,0.414,0.414,0.367,0.667
f_min.final_model.000.07.det_cont.csv,0.429,0.773,0.596,0.260,0.404,0.281,0.271,0.103,0.471,0.107
f_min.final_model.000.08.det_cont.csv,0.188,0.136,0.358,0.508,0.489,0.549,0.500,0.180,0.500,0.379
f_min.final_model.000.09.det_cont.csv,0.385,0.333,0.643,0.410,0.763,0.434,0.408,0.131,0.683,0.222
