 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.031,0.543,0.690,0.000,0.388,0.548,0.104,0.333,0.000
f_min.final_model.000.01.det_cont.csv,0.031,1.000,0.000,0.045,0.129,0.155,0.000,0.028,0.076,0.129
f_min.final_model.000.02.det_cont.csv,0.543,0.000,1.000,0.542,0.000,0.268,0.700,0.100,0.442,0.000
f_min.final_model.000.03.det_cont.csv,0.690,0.045,0.542,1.000,0.000,0.315,0.447,0.149,0.230,0.000
f_min.final_model.000.04.det_cont.csv,0.000,0.129,0.000,0.000,1.000,0.000,0.000,0.100,0.087,0.762
f_min.final_model.000.05.det_cont.csv,0.388,0.155,0.268,0.315,0.000,1.000,0.275,0.057,0.286,0.000
f_min.final_model.000.06.det_cont.csv,0.548,0.000,0.700,0.447,0.000,0.275,1.000,0.044,0.468,0.000
f_min.final_model.000.07.det_cont.csv,0.104,0.028,0.100,0.149,0.100,0.057,0.044,1.000,0.000,0.116
f_min.final_model.000.08.det_cont.csv,0.333,0.076,0.442,0.230,0.087,0.286,0.468,0.000,1.000,0.042
f_min.final_model.000.09.det_cont.csv,0.000,0.129,0.000,0.000,0.762,0.000,0.000,0.116,0.042,1.000
