 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.820,0.238,0.145,0.194,0.373,0.284,0.414,0.618,0.338,0.431
f_min.final_model.000.01.det_cont.csv,0.328,0.200,0.197,0.193,0.062,0.096,0.101,0.258,0.141,0.510
f_min.final_model.000.02.det_cont.csv,0.354,0.316,0.267,0.268,0.113,0.153,0.145,0.246,0.167,0.667
f_min.final_model.000.03.det_cont.csv,0.086,0.750,0.600,0.686,0.185,0.340,0.218,0.072,0.043,0.308
f_min.final_model.000.04.det_cont.csv,0.258,0.628,0.479,0.650,0.400,0.560,0.510,0.209,0.145,0.293
f_min.final_model.000.05.det_cont.csv,0.200,0.413,0.347,0.326,0.082,0.197,0.131,0.169,0.138,0.522
f_min.final_model.000.06.det_cont.csv,0.691,0.111,0.080,0.086,0.270,0.189,0.292,0.655,0.459,0.393
f_min.final_model.000.07.det_cont.csv,0.246,0.431,0.510,0.438,0.403,0.761,0.571,0.200,0.123,0.219
f_min.final_model.000.08.det_cont.csv,0.482,0.148,0.076,0.119,0.448,0.279,0.451,0.588,0.549,0.230
f_min.final_model.000.09.det_cont.csv,0.404,0.314,0.259,0.286,0.588,0.471,0.732,0.418,0.288,0.200
