 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
finalmodel.000.00.det_cont.csv,0.457,0.690,0.125,0.153,0.479,0.190,0.269,0.321,0.109,0.381
finalmodel.000.01.det_cont.csv,0.116,0.266,0.262,0.393,0.350,0.771,0.169,0.527,0.446,0.360
finalmodel.000.02.det_cont.csv,0.217,0.100,0.814,0.276,0.132,0.286,0.440,0.159,0.132,0.123
finalmodel.000.03.det_cont.csv,0.250,0.480,0.119,0.420,0.574,0.500,0.150,0.750,0.396,0.649
finalmodel.000.04.det_cont.csv,0.379,0.714,0.076,0.246,0.647,0.313,0.197,0.526,0.217,0.479
finalmodel.000.05.det_cont.csv,0.438,0.197,0.423,0.346,0.237,0.116,0.789,0.152,0.123,0.132
finalmodel.000.06.det_cont.csv,0.292,0.347,0.241,0.465,0.320,0.321,0.271,0.468,0.269,0.395
finalmodel.000.07.det_cont.csv,0.636,0.407,0.132,0.177,0.333,0.111,0.246,0.295,0.041,0.312
finalmodel.000.08.det_cont.csv,0.262,0.473,0.155,0.393,0.588,0.518,0.169,0.750,0.397,0.581
finalmodel.000.09.det_cont.csv,0.045,0.129,0.386,0.368,0.185,0.515,0.213,0.303,0.412,0.153
