 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.341,0.405,0.176,0.244,0.405,0.286,0.256,0.409,0.180,0.533
f_min.final_model.000.01.det_cont.csv,0.460,0.674,0.130,0.194,0.540,0.191,0.286,0.356,0.132,0.422
f_min.final_model.000.02.det_cont.csv,0.321,0.574,0.136,0.449,0.644,0.393,0.211,0.604,0.298,0.605
f_min.final_model.000.03.det_cont.csv,0.145,0.264,0.438,0.419,0.358,0.583,0.284,0.446,0.400,0.300
f_min.final_model.000.04.det_cont.csv,0.214,0.412,0.177,0.468,0.469,0.551,0.218,0.630,0.358,0.595
f_min.final_model.000.05.det_cont.csv,0.132,0.306,0.155,0.368,0.350,0.635,0.118,0.474,0.500,0.360
f_min.final_model.000.06.det_cont.csv,0.186,0.254,0.339,0.578,0.370,0.418,0.408,0.510,0.510,0.298
f_min.final_model.000.07.det_cont.csv,0.129,0.088,0.744,0.246,0.104,0.279,0.408,0.149,0.175,0.130
f_min.final_model.000.08.det_cont.csv,0.250,0.510,0.154,0.479,0.574,0.529,0.169,0.711,0.396,0.564
f_min.final_model.000.09.det_cont.csv,0.068,0.108,0.482,0.274,0.155,0.458,0.283,0.232,0.302,0.169
