 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.820,0.328,0.354,0.086,0.258,0.200,0.691,0.246,0.482,0.404
f_min.final_model.000.01.det_cont.csv,0.238,0.200,0.316,0.750,0.628,0.413,0.111,0.431,0.148,0.314
f_min.final_model.000.02.det_cont.csv,0.145,0.197,0.267,0.600,0.479,0.347,0.080,0.510,0.076,0.259
f_min.final_model.000.03.det_cont.csv,0.194,0.193,0.268,0.686,0.650,0.326,0.086,0.438,0.119,0.286
f_min.final_model.000.04.det_cont.csv,0.373,0.062,0.113,0.185,0.400,0.082,0.270,0.403,0.448,0.588
f_min.final_model.000.05.det_cont.csv,0.284,0.096,0.153,0.340,0.560,0.197,0.189,0.761,0.279,0.471
f_min.final_model.000.06.det_cont.csv,0.414,0.101,0.145,0.218,0.510,0.131,0.292,0.571,0.451,0.732
f_min.final_model.000.07.det_cont.csv,0.618,0.258,0.246,0.072,0.209,0.169,0.655,0.200,0.588,0.418
f_min.final_model.000.08.det_cont.csv,0.338,0.141,0.167,0.043,0.145,0.138,0.459,0.123,0.549,0.288
f_min.final_model.000.09.det_cont.csv,0.431,0.510,0.667,0.308,0.293,0.522,0.393,0.219,0.230,0.200
