 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.208,0.457,0.368,0.469,0.275,0.372,0.410,0.170,0.132,0.302
f_min.final_model.000.01.det_cont.csv,0.155,0.408,0.522,0.477,0.297,0.674,0.404,0.111,0.083,0.233
f_min.final_model.000.02.det_cont.csv,0.339,0.404,0.314,0.409,0.481,0.609,0.628,0.305,0.210,0.246
f_min.final_model.000.03.det_cont.csv,0.655,0.221,0.151,0.197,0.329,0.282,0.403,0.593,0.373,0.443
f_min.final_model.000.04.det_cont.csv,0.481,0.333,0.226,0.304,0.500,0.440,0.619,0.471,0.327,0.278
f_min.final_model.000.05.det_cont.csv,0.483,0.217,0.121,0.169,0.450,0.328,0.453,0.556,0.491,0.219
f_min.final_model.000.06.det_cont.csv,0.463,0.269,0.196,0.265,0.333,0.254,0.400,0.481,0.389,0.449
f_min.final_model.000.07.det_cont.csv,0.411,0.138,0.136,0.127,0.096,0.088,0.129,0.328,0.190,0.511
f_min.final_model.000.08.det_cont.csv,0.436,0.347,0.241,0.319,0.569,0.480,0.750,0.400,0.316,0.246
f_min.final_model.000.09.det_cont.csv,0.526,0.088,0.071,0.077,0.158,0.108,0.200,0.518,0.383,0.436
