 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
finalmodel.000.00.det_cont.csv,0.177,0.269,0.074,0.255,0.439,0.000,0.308,0.101,0.320,0.629
finalmodel.000.01.det_cont.csv,0.729,0.551,0.492,0.298,0.327,0.310,0.345,0.593,0.357,0.063
finalmodel.000.02.det_cont.csv,0.295,0.200,0.431,0.429,0.182,0.059,0.213,0.262,0.108,0.167
finalmodel.000.03.det_cont.csv,0.462,0.643,0.304,0.264,0.590,0.131,0.543,0.254,0.533,0.154
finalmodel.000.04.det_cont.csv,0.284,0.386,0.176,0.203,0.440,0.082,0.446,0.141,0.580,0.400
finalmodel.000.05.det_cont.csv,0.119,0.153,0.187,0.500,0.196,0.000,0.250,0.130,0.115,0.341
finalmodel.000.06.det_cont.csv,0.308,0.525,0.206,0.311,0.500,0.052,0.615,0.203,0.326,0.209
finalmodel.000.07.det_cont.csv,0.099,0.203,0.034,0.232,0.306,0.000,0.352,0.038,0.315,0.442
finalmodel.000.08.det_cont.csv,0.482,0.617,0.347,0.276,0.605,0.152,0.560,0.323,0.551,0.175
finalmodel.000.09.det_cont.csv,0.441,0.300,0.778,0.254,0.151,0.319,0.208,0.554,0.182,0.025
