 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
finalmodel.000.00.det_cont.csv,0.000,0.524,0.015,0.000,0.133,0.140,0.016,0.014,0.169,0.079
finalmodel.000.01.det_cont.csv,0.190,0.042,0.258,0.114,0.279,0.210,0.241,0.013,0.463,0.219
finalmodel.000.02.det_cont.csv,0.000,0.167,0.000,0.000,0.805,0.000,0.000,0.116,0.071,0.762
finalmodel.000.03.det_cont.csv,0.133,0.136,0.203,0.060,0.127,0.333,0.204,0.000,0.500,0.092
finalmodel.000.04.det_cont.csv,0.099,0.375,0.125,0.066,0.080,0.300,0.136,0.000,0.367,0.038
finalmodel.000.05.det_cont.csv,0.000,0.320,0.000,0.000,0.400,0.000,0.000,0.043,0.060,0.429
finalmodel.000.06.det_cont.csv,0.091,0.157,0.125,0.086,0.260,0.224,0.140,0.000,0.280,0.212
finalmodel.000.07.det_cont.csv,0.094,0.605,0.028,0.123,0.123,0.296,0.015,0.000,0.138,0.123
finalmodel.000.08.det_cont.csv,0.136,0.156,0.219,0.083,0.164,0.316,0.220,0.000,0.463,0.114
finalmodel.000.09.det_cont.csv,0.184,0.011,0.274,0.107,0.409,0.154,0.279,0.067,0.324,0.368
