 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.095,0.659,0.683,0.600,0.262,0.382,0.286,0.068,0.027,0.237
f_min.final_model.000.01.det_cont.csv,0.232,0.385,0.431,0.388,0.433,0.739,0.583,0.186,0.141,0.167
f_min.final_model.000.02.det_cont.csv,0.344,0.217,0.194,0.190,0.087,0.095,0.116,0.273,0.155,0.560
f_min.final_model.000.03.det_cont.csv,0.414,0.353,0.250,0.300,0.339,0.305,0.377,0.429,0.345,0.396
f_min.final_model.000.04.det_cont.csv,0.308,0.440,0.404,0.447,0.458,0.702,0.617,0.277,0.209,0.242
f_min.final_model.000.05.det_cont.csv,0.589,0.226,0.149,0.180,0.385,0.292,0.429,0.673,0.441,0.328
f_min.final_model.000.06.det_cont.csv,0.212,0.396,0.360,0.340,0.110,0.230,0.145,0.200,0.152,0.532
f_min.final_model.000.07.det_cont.csv,0.419,0.339,0.288,0.315,0.648,0.456,0.717,0.410,0.355,0.231
f_min.final_model.000.08.det_cont.csv,0.371,0.143,0.074,0.133,0.344,0.231,0.382,0.456,0.653,0.203
f_min.final_model.000.09.det_cont.csv,0.309,0.405,0.333,0.375,0.521,0.426,0.615,0.250,0.172,0.208
