 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.155,0.188,0.274,0.718,0.480,0.380,0.063,0.481,0.072,0.268
f_min.final_model.000.01.det_cont.csv,0.265,0.096,0.137,0.315,0.529,0.177,0.173,0.800,0.238,0.500
f_min.final_model.000.02.det_cont.csv,0.403,0.884,0.714,0.241,0.179,0.396,0.348,0.123,0.162,0.118
f_min.final_model.000.03.det_cont.csv,0.407,0.262,0.333,0.259,0.442,0.373,0.393,0.279,0.442,0.412
f_min.final_model.000.04.det_cont.csv,0.344,0.111,0.186,0.365,0.592,0.237,0.239,0.653,0.345,0.562
f_min.final_model.000.05.det_cont.csv,0.667,0.254,0.243,0.154,0.281,0.149,0.614,0.269,0.519,0.491
f_min.final_model.000.06.det_cont.csv,0.246,0.389,0.592,0.500,0.304,0.789,0.203,0.267,0.159,0.148
f_min.final_model.000.07.det_cont.csv,0.435,0.137,0.178,0.233,0.500,0.169,0.379,0.500,0.558,0.773
f_min.final_model.000.08.det_cont.csv,0.365,0.111,0.153,0.076,0.258,0.141,0.375,0.209,0.592,0.389
f_min.final_model.000.09.det_cont.csv,0.352,0.117,0.148,0.261,0.512,0.132,0.230,0.511,0.300,0.676
