,10977.0,10989.0,10933.0,10964.0,10984.0,10986.0,10954.0,10934.0,10987.0
10977.0,0.0,0.325,0.575,0.425,0.375,0.425,0.4,0.6,0.45
10989.0,0.325,0.0,0.25,0.3,0.175,0.2,0.275,0.375,0.2
10933.0,0.575,0.25,0.0,0.3,0.3,0.3,0.175,0.375,0.35
10964.0,0.425,0.3,0.3,0.0,0.3,0.4,0.3,0.3,0.3
10984.0,0.375,0.175,0.3,0.3,0.0,0.3,0.3,0.35,0.225
10986.0,0.425,0.2,0.3,0.4,0.3,0.0,0.25,0.425,0.35
10954.0,0.4,0.275,0.175,0.3,0.3,0.25,0.0,0.325,0.3
10934.0,0.6,0.375,0.375,0.3,0.35,0.425,0.325,0.0,0.425
10987.0,0.45,0.2,0.35,0.3,0.225,0.35,0.3,0.425,0.0
