 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.510,0.508,0.316,0.346,0.305,0.295,0.500,0.351,0.079,0.172,0.246,0.417,0.397,0.338,0.288,0.611,0.185,0.167,0.203
f_min.final_model.000.01.det_cont.csv,0.510,1.000,0.282,0.360,0.500,0.167,0.600,0.333,0.522,0.151,0.000,0.062,0.444,0.276,0.127,0.418,0.509,0.045,0.029,0.079
f_min.final_model.000.02.det_cont.csv,0.508,0.282,1.000,0.290,0.183,0.230,0.208,0.464,0.182,0.038,0.123,0.216,0.375,0.462,0.554,0.151,0.384,0.138,0.400,0.411
f_min.final_model.000.03.det_cont.csv,0.316,0.360,0.290,1.000,0.271,0.079,0.296,0.300,0.236,0.283,0.017,0.063,0.407,0.532,0.200,0.267,0.200,0.030,0.172,0.159
f_min.final_model.000.04.det_cont.csv,0.346,0.500,0.183,0.271,1.000,0.050,0.625,0.197,0.537,0.286,0.000,0.000,0.365,0.264,0.043,0.511,0.327,0.000,0.016,0.042
f_min.final_model.000.05.det_cont.csv,0.305,0.167,0.230,0.079,0.050,1.000,0.091,0.429,0.148,0.000,0.452,0.605,0.200,0.088,0.270,0.083,0.404,0.522,0.129,0.123
f_min.final_model.000.06.det_cont.csv,0.295,0.600,0.208,0.296,0.625,0.091,1.000,0.206,0.565,0.235,0.000,0.014,0.455,0.288,0.038,0.455,0.367,0.014,0.043,0.050
f_min.final_model.000.07.det_cont.csv,0.500,0.333,0.464,0.300,0.197,0.429,0.206,1.000,0.176,0.076,0.183,0.339,0.419,0.333,0.364,0.143,0.500,0.290,0.143,0.195
f_min.final_model.000.08.det_cont.csv,0.351,0.522,0.182,0.236,0.537,0.148,0.565,0.176,1.000,0.245,0.000,0.045,0.368,0.175,0.053,0.560,0.379,0.029,0.000,0.012
f_min.final_model.000.09.det_cont.csv,0.079,0.151,0.038,0.283,0.286,0.000,0.235,0.076,0.245,1.000,0.000,0.000,0.169,0.204,0.000,0.500,0.076,0.000,0.017,0.000
f_min.final_model.000.10.det_cont.csv,0.172,0.000,0.123,0.017,0.000,0.452,0.000,0.183,0.000,0.000,1.000,0.579,0.030,0.083,0.246,0.000,0.203,0.605,0.173,0.259
f_min.final_model.000.11.det_cont.csv,0.246,0.062,0.216,0.063,0.000,0.605,0.014,0.339,0.045,0.000,0.579,1.000,0.149,0.090,0.339,0.027,0.339,0.643,0.150,0.157
f_min.final_model.000.12.det_cont.csv,0.417,0.444,0.375,0.407,0.365,0.200,0.455,0.419,0.368,0.169,0.030,0.149,1.000,0.390,0.173,0.303,0.492,0.083,0.083,0.111
f_min.final_model.000.13.det_cont.csv,0.397,0.276,0.462,0.532,0.264,0.088,0.288,0.333,0.175,0.204,0.083,0.090,0.390,1.000,0.292,0.188,0.217,0.072,0.298,0.365
f_min.final_model.000.14.det_cont.csv,0.338,0.127,0.554,0.200,0.043,0.270,0.038,0.364,0.053,0.000,0.246,0.339,0.173,0.292,1.000,0.035,0.250,0.270,0.538,0.484
f_min.final_model.000.15.det_cont.csv,0.288,0.418,0.151,0.267,0.511,0.083,0.455,0.143,0.560,0.500,0.000,0.027,0.303,0.188,0.035,1.000,0.313,0.000,0.000,0.011
f_min.final_model.000.16.det_cont.csv,0.611,0.509,0.384,0.200,0.327,0.404,0.367,0.500,0.379,0.076,0.203,0.339,0.492,0.217,0.250,0.313,1.000,0.250,0.067,0.082
f_min.final_model.000.17.det_cont.csv,0.185,0.045,0.138,0.030,0.000,0.522,0.014,0.290,0.029,0.000,0.605,0.643,0.083,0.072,0.270,0.000,0.250,1.000,0.167,0.206
f_min.final_model.000.18.det_cont.csv,0.167,0.029,0.400,0.172,0.016,0.129,0.043,0.143,0.000,0.017,0.173,0.150,0.083,0.298,0.538,0.000,0.067,0.167,1.000,0.519
f_min.final_model.000.19.det_cont.csv,0.203,0.079,0.411,0.159,0.042,0.123,0.050,0.195,0.012,0.000,0.259,0.157,0.111,0.365,0.484,0.011,0.082,0.206,0.519,1.000
