 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.113,0.040,0.171,0.065,0.390,0.162,0.169,0.037,0.383,0.323,0.458,0.046,0.375,0.013,0.057,0.013,0.104,0.433,0.111,0.086
f_min.final_model.000.01.det_cont.csv,0.015,0.444,0.030,0.015,0.190,0.138,0.050,0.000,0.207,0.211,0.177,0.000,0.255,0.000,0.053,0.000,0.108,0.043,0.000,0.000
f_min.final_model.000.02.det_cont.csv,0.047,0.692,0.000,0.061,0.186,0.218,0.016,0.014,0.127,0.167,0.104,0.053,0.161,0.062,0.143,0.030,0.217,0.028,0.000,0.000
f_min.final_model.000.03.det_cont.csv,0.000,0.488,0.032,0.000,0.182,0.127,0.035,0.000,0.179,0.182,0.150,0.000,0.224,0.000,0.042,0.000,0.097,0.045,0.000,0.000
f_min.final_model.000.04.det_cont.csv,0.231,0.215,0.258,0.203,0.092,0.509,0.222,0.036,0.500,0.051,0.403,0.070,0.560,0.079,0.274,0.066,0.387,0.176,0.000,0.013
f_min.final_model.000.05.det_cont.csv,0.072,0.404,0.132,0.055,0.085,0.254,0.145,0.013,0.368,0.069,0.328,0.049,0.440,0.070,0.130,0.014,0.231,0.080,0.000,0.000
f_min.final_model.000.06.det_cont.csv,0.129,0.211,0.217,0.090,0.123,0.346,0.196,0.000,0.510,0.090,0.426,0.012,0.659,0.014,0.122,0.000,0.246,0.185,0.014,0.015
f_min.final_model.000.07.det_cont.csv,0.203,0.013,0.270,0.143,0.290,0.203,0.276,0.000,0.397,0.231,0.527,0.000,0.389,0.000,0.111,0.013,0.122,0.556,0.114,0.156
f_min.final_model.000.08.det_cont.csv,0.316,0.000,0.560,0.300,0.164,0.172,0.532,0.038,0.463,0.147,0.464,0.024,0.281,0.000,0.222,0.070,0.157,0.547,0.169,0.263
f_min.final_model.000.09.det_cont.csv,0.000,0.207,0.042,0.000,0.574,0.014,0.030,0.013,0.136,0.480,0.182,0.025,0.113,0.000,0.000,0.000,0.000,0.345,0.075,0.062
f_min.final_model.000.10.det_cont.csv,0.000,0.074,0.000,0.000,0.750,0.000,0.000,0.143,0.068,0.711,0.110,0.162,0.043,0.070,0.000,0.042,0.000,0.328,0.230,0.127
f_min.final_model.000.11.det_cont.csv,0.000,0.211,0.000,0.000,0.659,0.000,0.000,0.086,0.042,0.738,0.100,0.108,0.046,0.043,0.000,0.014,0.000,0.203,0.164,0.081
f_min.final_model.000.12.det_cont.csv,0.360,0.098,0.246,0.479,0.000,0.388,0.140,0.276,0.091,0.000,0.056,0.250,0.119,0.250,0.528,0.438,0.423,0.027,0.150,0.182
f_min.final_model.000.13.det_cont.csv,0.081,0.269,0.167,0.045,0.129,0.218,0.164,0.000,0.420,0.111,0.370,0.000,0.477,0.000,0.053,0.000,0.123,0.121,0.000,0.000
f_min.final_model.000.14.det_cont.csv,0.203,0.152,0.290,0.111,0.290,0.203,0.321,0.000,0.397,0.270,0.400,0.000,0.389,0.000,0.098,0.000,0.137,0.377,0.026,0.042
f_min.final_model.000.15.det_cont.csv,0.014,0.533,0.028,0.028,0.123,0.207,0.047,0.027,0.194,0.074,0.167,0.079,0.236,0.108,0.137,0.029,0.246,0.041,0.000,0.000
f_min.final_model.000.16.det_cont.csv,0.000,0.548,0.015,0.000,0.131,0.158,0.016,0.014,0.148,0.078,0.123,0.040,0.185,0.062,0.097,0.015,0.180,0.028,0.000,0.000
f_min.final_model.000.17.det_cont.csv,0.000,0.218,0.000,0.000,0.449,0.000,0.000,0.057,0.075,0.479,0.042,0.067,0.048,0.061,0.000,0.000,0.000,0.172,0.062,0.000
f_min.final_model.000.18.det_cont.csv,0.150,0.153,0.220,0.075,0.161,0.255,0.245,0.000,0.490,0.091,0.583,0.000,0.595,0.000,0.079,0.000,0.136,0.267,0.045,0.082
f_min.final_model.000.19.det_cont.csv,0.000,0.175,0.029,0.000,0.543,0.000,0.016,0.072,0.108,0.543,0.119,0.067,0.100,0.014,0.000,0.015,0.000,0.250,0.078,0.032
