 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.241,0.154,0.266,0.453,0.448,0.211,0.533,0.368,0.258,0.534,0.129,0.618,0.262,0.558,0.167,0.397,0.104,0.525,0.531,0.529,0.400,0.138,0.400,0.113,0.407
f_min.final_model.000.01.det_cont.csv,0.173,0.169,0.103,0.291,0.773,0.125,0.623,0.108,0.161,0.169,0.231,0.482,0.060,0.136,0.085,0.596,0.153,0.254,0.314,0.358,0.529,0.259,0.127,0.092,0.305
f_min.final_model.000.02.det_cont.csv,0.231,0.220,0.164,0.370,0.620,0.138,0.589,0.136,0.230,0.147,0.340,0.458,0.072,0.200,0.136,0.500,0.224,0.243,0.319,0.389,0.688,0.365,0.175,0.103,0.270
f_min.final_model.000.03.det_cont.csv,0.405,0.429,0.375,0.192,0.150,0.350,0.167,0.235,0.500,0.121,0.774,0.104,0.069,0.200,0.486,0.065,0.595,0.027,0.037,0.145,0.353,0.788,0.107,0.276,0.115
f_min.final_model.000.04.det_cont.csv,0.439,0.367,0.659,0.353,0.118,0.488,0.183,0.522,0.556,0.266,0.476,0.141,0.211,0.431,0.476,0.043,0.435,0.123,0.139,0.228,0.310,0.467,0.327,0.306,0.172
f_min.final_model.000.05.det_cont.csv,0.227,0.319,0.214,0.391,0.315,0.143,0.317,0.121,0.275,0.070,0.462,0.246,0.049,0.172,0.239,0.236,0.326,0.149,0.181,0.300,0.578,0.488,0.164,0.134,0.207
f_min.final_model.000.06.det_cont.csv,0.150,0.085,0.153,0.386,0.410,0.109,0.541,0.270,0.127,0.444,0.059,0.685,0.317,0.407,0.075,0.383,0.041,0.533,0.754,0.509,0.365,0.070,0.386,0.058,0.466
f_min.final_model.000.07.det_cont.csv,0.476,0.628,0.727,0.263,0.097,0.488,0.145,0.553,0.622,0.254,0.327,0.120,0.180,0.407,0.548,0.041,0.533,0.104,0.107,0.177,0.215,0.302,0.263,0.500,0.130
f_min.final_model.000.08.det_cont.csv,0.180,0.098,0.237,0.438,0.188,0.151,0.254,0.373,0.186,0.500,0.051,0.397,0.408,0.622,0.107,0.159,0.031,0.464,0.475,0.400,0.206,0.048,0.605,0.080,0.389
f_min.final_model.000.09.det_cont.csv,0.436,0.255,0.489,0.404,0.123,0.415,0.227,0.811,0.367,0.418,0.180,0.238,0.294,0.707,0.283,0.094,0.189,0.215,0.243,0.314,0.177,0.167,0.500,0.258,0.241
f_min.final_model.000.10.det_cont.csv,0.543,0.879,0.545,0.185,0.109,0.436,0.129,0.354,0.625,0.169,0.425,0.086,0.085,0.259,0.541,0.030,0.694,0.041,0.049,0.161,0.246,0.386,0.164,0.490,0.129
f_min.final_model.000.11.det_cont.csv,0.074,0.031,0.161,0.193,0.119,0.091,0.186,0.278,0.095,0.633,0.000,0.311,0.545,0.333,0.089,0.143,0.016,0.588,0.483,0.255,0.154,0.000,0.417,0.026,0.480
f_min.final_model.000.12.det_cont.csv,0.148,0.094,0.169,0.358,0.129,0.085,0.192,0.281,0.141,0.448,0.066,0.312,0.674,0.407,0.048,0.101,0.030,0.518,0.453,0.304,0.145,0.062,0.532,0.037,0.444
f_min.final_model.000.13.det_cont.csv,0.070,0.037,0.098,0.323,0.431,0.026,0.485,0.192,0.061,0.420,0.026,0.607,0.284,0.286,0.026,0.475,0.012,0.623,0.814,0.426,0.310,0.037,0.365,0.000,0.438
f_min.final_model.000.14.det_cont.csv,0.372,0.218,0.431,0.408,0.134,0.356,0.235,0.667,0.346,0.473,0.170,0.286,0.353,0.825,0.265,0.106,0.158,0.281,0.324,0.321,0.188,0.158,0.568,0.209,0.293
f_min.final_model.000.15.det_cont.csv,0.371,0.400,0.292,0.381,0.226,0.220,0.281,0.204,0.439,0.148,0.545,0.167,0.094,0.216,0.308,0.127,0.375,0.092,0.113,0.255,0.512,0.486,0.208,0.167,0.208
f_min.final_model.000.16.det_cont.csv,0.471,0.568,0.600,0.176,0.063,0.529,0.119,0.356,0.649,0.180,0.559,0.043,0.091,0.255,0.710,0.000,0.583,0.014,0.038,0.109,0.218,0.500,0.132,0.333,0.082
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.000,0.000,0.030,0.019,0.013,0.000,0.000,0.014,0.000,0.014,0.088,0.015,0.000,0.015,0.000,0.056,0.025,0.000,0.000,0.000,0.016,0.057,0.015
f_min.final_model.000.18.det_cont.csv,0.365,0.519,0.700,0.209,0.073,0.404,0.116,0.491,0.519,0.240,0.276,0.094,0.174,0.371,0.451,0.024,0.444,0.093,0.109,0.139,0.173,0.279,0.246,0.576,0.101
f_min.final_model.000.19.det_cont.csv,0.016,0.000,0.000,0.125,0.491,0.000,0.381,0.000,0.000,0.050,0.048,0.333,0.000,0.041,0.000,0.520,0.015,0.181,0.257,0.159,0.234,0.078,0.014,0.024,0.130
f_min.final_model.000.20.det_cont.csv,0.264,0.271,0.209,0.400,0.448,0.169,0.586,0.200,0.279,0.271,0.346,0.508,0.167,0.227,0.186,0.373,0.254,0.385,0.420,0.500,0.680,0.345,0.222,0.127,0.456
f_min.final_model.000.21.det_cont.csv,0.231,0.220,0.279,0.574,0.227,0.158,0.328,0.339,0.271,0.344,0.288,0.365,0.370,0.418,0.155,0.164,0.203,0.381,0.397,0.415,0.421,0.291,0.574,0.089,0.379
f_min.final_model.000.22.det_cont.csv,0.240,0.207,0.333,0.714,0.295,0.255,0.403,0.431,0.281,0.333,0.226,0.400,0.263,0.520,0.182,0.206,0.150,0.308,0.348,0.460,0.463,0.255,0.565,0.135,0.345
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.000,0.000,0.129,0.000,0.130,0.000,0.000,0.172,0.000,0.136,0.189,0.000,0.000,0.117,0.000,0.226,0.151,0.067,0.077,0.000,0.033,0.000,0.211
f_min.final_model.000.24.det_cont.csv,0.000,0.000,0.014,0.000,0.090,0.018,0.080,0.031,0.000,0.258,0.000,0.114,0.320,0.077,0.017,0.077,0.000,0.317,0.208,0.047,0.074,0.000,0.119,0.026,0.200
f_min.final_model.000.25.det_cont.csv,0.033,0.014,0.000,0.141,0.600,0.000,0.443,0.014,0.014,0.090,0.048,0.393,0.000,0.069,0.000,0.604,0.014,0.246,0.288,0.213,0.290,0.077,0.043,0.012,0.197
f_min.final_model.000.26.det_cont.csv,0.309,0.429,0.564,0.242,0.060,0.321,0.128,0.482,0.431,0.306,0.210,0.146,0.242,0.433,0.364,0.036,0.362,0.145,0.157,0.169,0.127,0.197,0.302,0.516,0.128
f_min.final_model.000.27.det_cont.csv,0.161,0.159,0.097,0.293,0.708,0.117,0.636,0.101,0.152,0.145,0.214,0.450,0.056,0.129,0.079,0.612,0.143,0.222,0.315,0.310,0.519,0.241,0.119,0.087,0.266
f_min.final_model.000.28.det_cont.csv,0.364,0.388,0.644,0.148,0.041,0.476,0.104,0.511,0.479,0.323,0.312,0.079,0.228,0.396,0.575,0.000,0.367,0.107,0.138,0.109,0.132,0.288,0.296,0.344,0.070
f_min.final_model.000.29.det_cont.csv,0.000,0.000,0.000,0.000,0.118,0.017,0.050,0.000,0.000,0.013,0.000,0.038,0.062,0.000,0.000,0.106,0.000,0.051,0.023,0.014,0.013,0.000,0.000,0.066,0.027
