 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.763,0.315,0.220,0.236,0.365,0.136,0.500,0.213,0.060,0.234,0.121,0.230,0.000,0.027,0.641,0.383,0.056,0.358,0.188,0.250,0.083,0.380,0.140,0.000,0.378,0.090,0.571,0.311,0.676
f_min.final_model.000.01.det_cont.csv,0.177,0.100,0.814,0.254,0.116,0.266,0.385,0.143,0.116,0.123,0.311,0.800,0.104,0.266,0.167,0.420,0.500,0.114,0.065,0.267,0.050,0.119,0.183,0.215,0.172,0.492,0.173,0.410,0.283
f_min.final_model.000.02.det_cont.csv,0.000,0.045,0.094,0.100,0.062,0.259,0.000,0.108,0.278,0.018,0.180,0.123,0.571,0.304,0.000,0.033,0.159,0.094,0.088,0.079,0.118,0.000,0.145,0.224,0.053,0.221,0.019,0.200,0.000
f_min.final_model.000.03.det_cont.csv,0.420,0.190,0.462,0.333,0.250,0.145,0.944,0.164,0.154,0.127,0.219,0.411,0.000,0.179,0.388,0.605,0.179,0.226,0.111,0.370,0.079,0.237,0.232,0.013,0.245,0.254,0.255,0.424,0.571
f_min.final_model.000.04.det_cont.csv,0.469,0.551,0.149,0.404,0.617,0.270,0.268,0.491,0.246,0.500,0.295,0.159,0.000,0.096,0.683,0.321,0.013,0.638,0.473,0.471,0.297,0.321,0.346,0.000,0.811,0.200,0.538,0.250,0.367
f_min.final_model.000.05.det_cont.csv,0.123,0.027,0.660,0.194,0.041,0.191,0.286,0.081,0.085,0.049,0.231,0.620,0.121,0.246,0.094,0.340,0.528,0.040,0.025,0.188,0.012,0.027,0.092,0.215,0.062,0.517,0.089,0.323,0.236
f_min.final_model.000.06.det_cont.csv,0.328,0.157,0.608,0.345,0.209,0.214,0.689,0.167,0.141,0.133,0.292,0.574,0.040,0.250,0.321,0.667,0.308,0.188,0.103,0.333,0.073,0.179,0.210,0.092,0.241,0.418,0.226,0.525,0.500
f_min.final_model.000.07.det_cont.csv,0.291,0.531,0.134,0.412,0.562,0.463,0.167,0.773,0.389,0.676,0.529,0.113,0.000,0.197,0.360,0.211,0.039,0.551,0.538,0.542,0.390,0.259,0.468,0.000,0.535,0.254,0.341,0.217,0.179
f_min.final_model.000.08.det_cont.csv,0.090,0.222,0.164,0.396,0.328,0.588,0.161,0.509,0.540,0.306,0.600,0.125,0.121,0.500,0.129,0.164,0.095,0.322,0.367,0.490,0.448,0.087,0.543,0.000,0.283,0.422,0.130,0.265,0.046
f_min.final_model.000.09.det_cont.csv,0.000,0.138,0.042,0.268,0.213,0.345,0.062,0.305,0.644,0.151,0.328,0.026,0.340,0.500,0.047,0.062,0.013,0.210,0.254,0.259,0.306,0.029,0.447,0.041,0.161,0.222,0.036,0.221,0.000
