 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv,model.000.25.det_cont.csv,model.000.26.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.224,0.288,0.500,0.123,0.610,0.615,0.370,0.400,0.161,0.207,0.000,0.156,0.648,0.561,0.475,0.072,0.293,0.460,0.200,0.037,0.125,0.642,0.636,0.197,0.056,0.509,0.116
f_min.final_model.000.01.det_cont.csv,0.118,0.196,0.733,0.196,0.561,0.500,0.133,0.291,0.100,0.085,0.015,0.030,0.361,0.153,0.235,0.097,0.045,0.155,0.091,0.113,0.120,0.528,0.235,0.031,0.029,0.311,0.145
f_min.final_model.000.02.det_cont.csv,0.179,0.231,0.653,0.296,0.438,0.473,0.224,0.396,0.150,0.098,0.000,0.076,0.387,0.147,0.225,0.029,0.091,0.186,0.136,0.079,0.160,0.527,0.225,0.045,0.090,0.297,0.194
f_min.final_model.000.03.det_cont.csv,0.367,0.368,0.150,0.758,0.096,0.078,0.283,0.216,0.462,0.279,0.000,0.311,0.028,0.104,0.027,0.000,0.017,0.115,0.400,0.000,0.389,0.108,0.103,0.036,0.298,0.076,0.476
f_min.final_model.000.04.det_cont.csv,0.480,0.475,0.152,0.444,0.192,0.134,0.571,0.327,0.524,0.476,0.000,0.467,0.141,0.306,0.155,0.000,0.175,0.327,0.556,0.000,0.414,0.179,0.262,0.161,0.236,0.147,0.353
f_min.final_model.000.05.det_cont.csv,0.232,0.227,0.315,0.463,0.224,0.224,0.196,0.422,0.229,0.096,0.000,0.130,0.188,0.086,0.149,0.000,0.069,0.176,0.204,0.014,0.222,0.254,0.149,0.034,0.145,0.197,0.280
f_min.final_model.000.06.det_cont.csv,0.135,0.169,0.458,0.056,0.617,0.623,0.206,0.386,0.072,0.108,0.000,0.070,0.685,0.468,0.586,0.118,0.328,0.415,0.111,0.036,0.082,0.618,0.704,0.271,0.026,0.517,0.068
f_min.final_model.000.07.det_cont.csv,0.791,0.442,0.129,0.388,0.169,0.113,0.568,0.220,0.595,0.444,0.045,0.605,0.135,0.292,0.133,0.000,0.167,0.308,0.659,0.013,0.604,0.155,0.250,0.133,0.479,0.110,0.636
f_min.final_model.000.08.det_cont.csv,0.194,0.229,0.206,0.048,0.381,0.357,0.347,0.408,0.103,0.170,0.000,0.138,0.421,0.588,0.577,0.082,0.558,0.585,0.167,0.000,0.108,0.339,0.608,0.327,0.030,0.418,0.062
f_min.final_model.000.09.det_cont.csv,0.392,0.436,0.159,0.170,0.292,0.237,0.575,0.347,0.326,0.475,0.000,0.340,0.238,0.472,0.295,0.000,0.333,0.632,0.396,0.000,0.295,0.267,0.411,0.240,0.161,0.230,0.245
