 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
model.000.00.det_cont.csv,0.826,0.538,0.462,0.213,0.410,0.231,0.267,0.163,0.425,0.121,0.500,0.396,0.400,0.410,0.362,0.085,0.368,0.125,0.311,0.122,0.378
model.000.01.det_cont.csv,0.486,0.842,0.396,0.151,0.275,0.175,0.196,0.117,0.314,0.071,0.561,0.540,0.475,0.585,0.298,0.042,0.722,0.079,0.302,0.102,0.419
model.000.02.det_cont.csv,0.213,0.136,0.143,0.508,0.228,0.215,0.333,0.846,0.180,0.569,0.190,0.108,0.123,0.094,0.162,0.339,0.081,0.500,0.510,0.094,0.200
model.000.03.det_cont.csv,0.394,0.422,0.298,0.130,0.180,0.097,0.196,0.130,0.196,0.062,0.526,0.340,0.710,0.439,0.153,0.030,0.647,0.027,0.400,0.054,0.719
model.000.04.det_cont.csv,0.132,0.083,0.172,0.643,0.281,0.302,0.389,0.596,0.210,0.804,0.143,0.164,0.047,0.074,0.242,0.491,0.014,0.636,0.351,0.159,0.113
model.000.05.det_cont.csv,0.268,0.186,0.340,0.474,0.413,0.276,0.811,0.340,0.340,0.389,0.333,0.328,0.229,0.182,0.345,0.396,0.127,0.367,0.468,0.226,0.271
model.000.06.det_cont.csv,0.556,0.395,0.462,0.213,0.410,0.231,0.213,0.096,0.462,0.066,0.421,0.340,0.400,0.486,0.333,0.032,0.368,0.091,0.204,0.146,0.342
model.000.07.det_cont.csv,0.500,0.408,0.833,0.339,0.524,0.377,0.347,0.100,0.571,0.138,0.575,0.652,0.450,0.600,0.521,0.106,0.298,0.191,0.259,0.255,0.333
model.000.08.det_cont.csv,0.607,0.615,0.538,0.203,0.349,0.241,0.250,0.132,0.395,0.079,0.781,0.556,0.576,0.611,0.314,0.047,0.528,0.103,0.348,0.137,0.500
model.000.09.det_cont.csv,0.161,0.122,0.231,0.672,0.345,0.318,0.429,0.538,0.270,0.692,0.185,0.216,0.075,0.130,0.299,0.426,0.027,0.557,0.367,0.164,0.156
