 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.323,0.318,0.164,0.413,0.565,0.623,0.404,0.426,0.564,0.491,0.379,0.323,0.375,0.177,0.246,0.383,0.459,0.209,0.114,0.246,0.435,0.492,0.333,0.400,0.509,0.085,0.536,0.709,0.227,0.359
f_min.final_model.000.01.det_cont.csv,0.118,0.110,0.162,0.844,0.379,0.290,0.136,0.291,0.231,0.727,0.090,0.111,0.262,0.081,0.127,0.116,0.169,0.364,0.143,0.154,0.258,0.545,0.054,0.771,0.156,0.014,0.176,0.313,0.103,0.620
f_min.final_model.000.02.det_cont.csv,0.162,0.151,0.224,0.720,0.446,0.317,0.186,0.396,0.221,0.612,0.158,0.137,0.393,0.148,0.203,0.176,0.194,0.560,0.190,0.238,0.265,0.600,0.095,0.692,0.222,0.000,0.169,0.319,0.147,0.909
f_min.final_model.000.03.det_cont.csv,0.288,0.286,0.489,0.233,0.171,0.109,0.234,0.319,0.183,0.136,0.267,0.044,0.304,0.487,0.511,0.283,0.213,0.500,0.500,0.535,0.028,0.246,0.190,0.310,0.226,0.000,0.044,0.179,0.404,0.286
f_min.final_model.000.04.det_cont.csv,0.542,0.519,0.510,0.174,0.309,0.279,0.512,0.533,0.368,0.138,0.482,0.182,0.429,0.512,0.625,0.562,0.446,0.281,0.373,0.780,0.110,0.258,0.407,0.221,0.565,0.045,0.200,0.387,0.490,0.215
f_min.final_model.000.05.det_cont.csv,0.169,0.194,0.263,0.407,0.312,0.217,0.176,0.422,0.159,0.302,0.147,0.123,0.415,0.250,0.281,0.167,0.188,0.789,0.275,0.259,0.169,0.418,0.060,0.418,0.196,0.000,0.074,0.227,0.214,0.480
f_min.final_model.000.06.det_cont.csv,0.217,0.203,0.061,0.379,0.650,0.600,0.271,0.295,0.571,0.448,0.240,0.397,0.406,0.087,0.158,0.308,0.468,0.186,0.067,0.153,0.542,0.500,0.194,0.348,0.323,0.162,0.571,0.600,0.122,0.328
f_min.final_model.000.07.det_cont.csv,0.750,0.783,0.481,0.120,0.211,0.227,0.447,0.358,0.350,0.116,0.593,0.157,0.297,0.581,0.500,0.500,0.424,0.246,0.622,0.490,0.091,0.194,0.519,0.147,0.471,0.029,0.174,0.328,0.727,0.139
f_min.final_model.000.08.det_cont.csv,0.298,0.274,0.116,0.157,0.561,0.560,0.383,0.327,0.560,0.213,0.361,0.560,0.481,0.121,0.279,0.442,0.620,0.141,0.061,0.217,0.446,0.277,0.288,0.122,0.500,0.232,0.625,0.509,0.177,0.145
f_min.final_model.000.09.det_cont.csv,0.578,0.551,0.298,0.114,0.387,0.442,0.676,0.404,0.596,0.145,0.509,0.339,0.375,0.348,0.415,0.636,0.696,0.129,0.241,0.458,0.200,0.212,0.553,0.111,0.725,0.082,0.389,0.566,0.400,0.101
