 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.417,0.434,0.652,0.180,0.333,0.072,0.200,0.537,0.333,0.147,0.233,0.185,0.364,0.412,0.122,0.500,0.533,0.328,0.162,0.026,0.400,0.133,0.051,0.194,0.067,0.522
f_min.final_model.000.01.det_cont.csv,0.674,0.778,0.429,0.101,0.385,0.200,0.407,0.489,0.509,0.233,0.219,0.350,0.612,0.188,0.200,0.218,0.460,0.653,0.025,0.135,0.609,0.309,0.012,0.167,0.091,0.644
f_min.final_model.000.02.det_cont.csv,0.123,0.141,0.191,0.833,0.304,0.129,0.222,0.062,0.141,0.379,0.317,0.281,0.096,0.453,0.516,0.308,0.138,0.079,0.680,0.349,0.103,0.197,0.554,0.491,0.371,0.136
f_min.final_model.000.03.det_cont.csv,0.169,0.375,0.283,0.259,0.683,0.415,0.460,0.164,0.426,0.554,0.667,0.368,0.407,0.352,0.368,0.362,0.373,0.345,0.231,0.350,0.127,0.533,0.107,0.350,0.227,0.145
f_min.final_model.000.04.det_cont.csv,0.500,0.702,0.429,0.118,0.412,0.300,0.462,0.489,0.702,0.324,0.345,0.397,0.717,0.246,0.247,0.264,0.490,0.620,0.037,0.183,0.345,0.412,0.024,0.235,0.135,0.480
f_min.final_model.000.05.det_cont.csv,0.188,0.333,0.167,0.231,0.333,0.439,0.569,0.183,0.424,0.516,0.367,0.771,0.383,0.143,0.471,0.164,0.283,0.349,0.176,0.571,0.147,0.407,0.184,0.443,0.419,0.147
f_min.final_model.000.06.det_cont.csv,0.264,0.250,0.316,0.420,0.426,0.159,0.203,0.240,0.230,0.288,0.460,0.188,0.233,0.919,0.282,0.632,0.236,0.152,0.322,0.215,0.150,0.241,0.209,0.411,0.234,0.278
f_min.final_model.000.07.det_cont.csv,0.316,0.596,0.361,0.145,0.415,0.473,0.612,0.321,0.660,0.476,0.446,0.500,0.577,0.162,0.303,0.186,0.434,0.527,0.062,0.318,0.351,0.562,0.060,0.243,0.208,0.283
f_min.final_model.000.08.det_cont.csv,0.108,0.290,0.111,0.134,0.286,0.857,0.357,0.098,0.429,0.452,0.444,0.373,0.295,0.152,0.315,0.136,0.177,0.266,0.064,0.474,0.088,0.600,0.075,0.292,0.292,0.088
f_min.final_model.000.09.det_cont.csv,0.372,0.595,0.426,0.125,0.405,0.250,0.537,0.459,0.457,0.262,0.226,0.447,0.467,0.125,0.239,0.174,0.429,0.478,0.045,0.183,0.386,0.341,0.043,0.203,0.109,0.326
f_min.final_model.000.10.det_cont.csv,0.172,0.339,0.186,0.274,0.471,0.473,0.646,0.167,0.509,0.722,0.528,0.615,0.390,0.215,0.500,0.167,0.288,0.333,0.211,0.554,0.149,0.531,0.187,0.426,0.403,0.149
f_min.final_model.000.11.det_cont.csv,0.118,0.135,0.183,0.739,0.288,0.108,0.194,0.076,0.120,0.343,0.281,0.269,0.092,0.404,0.493,0.315,0.149,0.076,0.812,0.313,0.099,0.152,0.579,0.467,0.354,0.130
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.013,0.090,0.000,0.210,0.000,0.000,0.027,0.061,0.056,0.130,0.013,0.000,0.120,0.000,0.000,0.013,0.176,0.191,0.000,0.078,0.221,0.157,0.157,0.000
f_min.final_model.000.13.det_cont.csv,0.041,0.135,0.024,0.270,0.206,0.491,0.290,0.014,0.200,0.492,0.390,0.393,0.153,0.176,0.429,0.076,0.069,0.133,0.225,0.725,0.013,0.357,0.268,0.397,0.571,0.013
f_min.final_model.000.14.det_cont.csv,0.444,0.460,0.622,0.169,0.444,0.127,0.302,0.622,0.460,0.203,0.268,0.254,0.500,0.380,0.171,0.500,0.650,0.370,0.134,0.055,0.314,0.226,0.026,0.222,0.055,0.457
f_min.final_model.000.15.det_cont.csv,0.269,0.254,0.345,0.458,0.404,0.161,0.250,0.220,0.276,0.312,0.440,0.250,0.217,0.628,0.343,0.564,0.288,0.172,0.351,0.258,0.153,0.245,0.212,0.560,0.238,0.283
f_min.final_model.000.16.det_cont.csv,0.013,0.024,0.037,0.455,0.086,0.051,0.127,0.000,0.012,0.253,0.108,0.181,0.000,0.176,0.389,0.076,0.013,0.000,0.611,0.275,0.000,0.041,0.957,0.275,0.333,0.000
