 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.432,0.864,0.447,0.405,0.167,0.265,0.325,0.170,0.562,0.125,0.382,0.170,0.310,0.395,0.412,0.333,0.119,0.091,0.109,0.089,0.208,0.300,0.424,0.100
f_min.final_model.000.01.det_cont.csv,0.688,0.553,0.490,0.296,0.114,0.194,0.203,0.106,0.545,0.080,0.383,0.111,0.460,0.775,0.610,0.254,0.091,0.054,0.072,0.063,0.169,0.361,0.354,0.063
f_min.final_model.000.02.det_cont.csv,0.592,0.514,0.750,0.595,0.269,0.481,0.360,0.111,0.585,0.164,0.292,0.262,0.489,0.360,0.432,0.246,0.227,0.136,0.162,0.208,0.404,0.538,0.319,0.110
f_min.final_model.000.03.det_cont.csv,0.319,0.237,0.338,0.448,0.759,0.516,0.491,0.475,0.262,0.667,0.129,0.774,0.261,0.118,0.159,0.397,0.581,0.460,0.585,0.191,0.429,0.347,0.179,0.441
f_min.final_model.000.04.det_cont.csv,0.462,0.459,0.511,0.912,0.339,0.531,0.435,0.193,0.370,0.267,0.200,0.364,0.478,0.222,0.298,0.255,0.339,0.237,0.273,0.240,0.420,0.529,0.200,0.179
f_min.final_model.000.05.det_cont.csv,0.308,0.260,0.328,0.480,0.460,0.787,0.316,0.185,0.286,0.328,0.095,0.377,0.400,0.136,0.186,0.219,0.492,0.439,0.453,0.392,0.739,0.426,0.113,0.173
f_min.final_model.000.06.det_cont.csv,0.322,0.273,0.346,0.457,0.491,0.400,0.889,0.321,0.354,0.393,0.192,0.540,0.250,0.153,0.145,0.420,0.373,0.389,0.387,0.231,0.281,0.356,0.265,0.246
f_min.final_model.000.07.det_cont.csv,0.130,0.167,0.111,0.196,0.491,0.185,0.333,0.944,0.161,0.560,0.148,0.510,0.061,0.115,0.068,0.449,0.421,0.293,0.458,0.049,0.141,0.111,0.216,0.558
f_min.final_model.000.08.det_cont.csv,0.500,0.474,0.591,0.675,0.371,0.540,0.388,0.129,0.413,0.219,0.216,0.283,0.522,0.259,0.340,0.224,0.350,0.230,0.265,0.306,0.521,0.600,0.216,0.125
f_min.final_model.000.09.det_cont.csv,0.147,0.123,0.147,0.271,0.661,0.328,0.382,0.560,0.123,0.955,0.077,0.667,0.114,0.056,0.029,0.386,0.561,0.509,0.679,0.180,0.306,0.173,0.129,0.561
f_min.final_model.000.10.det_cont.csv,0.562,0.559,0.595,0.362,0.188,0.276,0.354,0.155,1.000,0.136,0.475,0.194,0.340,0.477,0.538,0.388,0.147,0.108,0.107,0.089,0.228,0.351,0.513,0.114
f_min.final_model.000.11.det_cont.csv,0.692,0.404,0.667,0.453,0.301,0.426,0.368,0.081,0.531,0.158,0.286,0.261,0.538,0.444,0.490,0.209,0.247,0.164,0.200,0.233,0.361,0.500,0.309,0.083
f_min.final_model.000.12.det_cont.csv,0.400,0.412,0.476,0.255,0.132,0.169,0.250,0.107,0.583,0.045,0.688,0.113,0.265,0.429,0.571,0.340,0.058,0.015,0.054,0.077,0.140,0.220,0.742,0.028
f_min.final_model.000.13.det_cont.csv,0.689,0.459,0.659,0.413,0.169,0.293,0.222,0.062,0.537,0.070,0.364,0.154,0.478,0.500,0.743,0.190,0.145,0.043,0.077,0.127,0.246,0.393,0.364,0.039
f_min.final_model.000.14.det_cont.csv,0.491,0.400,0.510,0.609,0.415,0.615,0.389,0.132,0.358,0.269,0.169,0.355,0.604,0.271,0.273,0.200,0.333,0.281,0.310,0.291,0.455,0.673,0.169,0.143
f_min.final_model.000.15.det_cont.csv,0.133,0.086,0.116,0.233,0.508,0.424,0.389,0.283,0.108,0.518,0.030,0.448,0.149,0.027,0.000,0.345,0.517,1.000,0.661,0.365,0.481,0.208,0.045,0.333
f_min.final_model.000.16.det_cont.csv,0.490,0.378,0.413,0.170,0.067,0.108,0.145,0.066,0.500,0.014,0.541,0.059,0.300,0.703,0.568,0.245,0.027,0.000,0.013,0.017,0.062,0.250,0.462,0.000
f_min.final_model.000.17.det_cont.csv,0.192,0.127,0.181,0.344,0.695,0.460,0.383,0.441,0.143,0.632,0.027,0.586,0.214,0.051,0.054,0.323,0.811,0.525,0.656,0.234,0.419,0.267,0.085,0.455
f_min.final_model.000.18.det_cont.csv,0.290,0.318,0.286,0.255,0.338,0.215,0.489,0.440,0.426,0.356,0.391,0.411,0.143,0.273,0.226,0.921,0.317,0.305,0.313,0.065,0.154,0.171,0.455,0.297
f_min.final_model.000.19.det_cont.csv,0.188,0.125,0.214,0.300,0.297,0.442,0.269,0.062,0.145,0.188,0.053,0.230,0.308,0.065,0.109,0.095,0.317,0.377,0.400,0.771,0.511,0.300,0.071,0.068
f_min.final_model.000.20.det_cont.csv,0.333,0.389,0.362,0.196,0.129,0.127,0.292,0.208,0.513,0.125,0.750,0.164,0.185,0.378,0.462,0.413,0.071,0.045,0.096,0.036,0.081,0.156,1.000,0.087
