 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.324,0.259,0.323,0.519,0.672,0.561,0.455,0.439,0.283,0.579,0.121,0.618,0.302,0.127,0.172,0.383,0.632,0.475,0.531,0.206,0.466,0.394,0.156,0.431
f_min.final_model.000.01.det_cont.csv,0.135,0.170,0.118,0.159,0.444,0.169,0.298,0.727,0.183,0.474,0.214,0.456,0.056,0.156,0.113,0.453,0.338,0.227,0.373,0.045,0.129,0.075,0.283,0.554
f_min.final_model.000.02.det_cont.csv,0.208,0.226,0.197,0.206,0.403,0.162,0.400,0.646,0.298,0.426,0.315,0.458,0.082,0.203,0.161,0.667,0.364,0.254,0.357,0.043,0.093,0.127,0.392,0.429
f_min.final_model.000.03.det_cont.csv,0.364,0.395,0.367,0.231,0.108,0.138,0.226,0.155,0.512,0.087,0.844,0.121,0.196,0.444,0.500,0.388,0.054,0.043,0.064,0.034,0.077,0.167,0.735,0.054
f_min.final_model.000.04.det_cont.csv,0.577,0.463,0.682,0.449,0.254,0.350,0.358,0.121,0.605,0.139,0.500,0.246,0.423,0.358,0.457,0.339,0.181,0.129,0.125,0.153,0.262,0.424,0.467,0.090
f_min.final_model.000.05.det_cont.csv,0.262,0.222,0.232,0.200,0.235,0.101,0.396,0.327,0.333,0.222,0.419,0.288,0.078,0.288,0.265,0.591,0.176,0.175,0.197,0.033,0.059,0.097,0.488,0.176
f_min.final_model.000.06.det_cont.csv,0.211,0.148,0.217,0.373,0.768,0.492,0.390,0.400,0.145,0.673,0.056,0.655,0.235,0.079,0.085,0.328,0.696,0.508,0.695,0.279,0.450,0.270,0.086,0.397
f_min.final_model.000.07.det_cont.csv,0.809,0.500,0.674,0.396,0.195,0.312,0.271,0.100,0.600,0.118,0.327,0.183,0.540,0.667,0.628,0.238,0.143,0.093,0.107,0.127,0.250,0.500,0.327,0.086
f_min.final_model.000.08.det_cont.csv,0.302,0.200,0.321,0.479,0.508,0.588,0.440,0.175,0.232,0.390,0.048,0.373,0.370,0.075,0.117,0.210,0.441,0.436,0.452,0.333,0.481,0.474,0.065,0.214
f_min.final_model.000.09.det_cont.csv,0.519,0.462,0.614,0.744,0.323,0.560,0.380,0.127,0.375,0.234,0.189,0.345,0.543,0.255,0.280,0.180,0.281,0.188,0.225,0.226,0.423,0.653,0.189,0.139
f_min.final_model.000.10.det_cont.csv,0.674,0.528,0.468,0.269,0.120,0.169,0.218,0.113,0.561,0.069,0.419,0.101,0.380,0.763,0.632,0.273,0.067,0.042,0.062,0.050,0.143,0.295,0.419,0.053
f_min.final_model.000.11.det_cont.csv,0.174,0.093,0.217,0.296,0.397,0.509,0.203,0.106,0.115,0.286,0.016,0.270,0.281,0.029,0.065,0.138,0.424,0.560,0.483,0.558,0.727,0.277,0.000,0.151
f_min.final_model.000.12.det_cont.csv,0.232,0.145,0.242,0.345,0.394,0.448,0.364,0.132,0.161,0.288,0.045,0.333,0.262,0.071,0.061,0.147,0.375,0.464,0.476,0.614,0.481,0.318,0.062,0.143
f_min.final_model.000.13.det_cont.csv,0.138,0.069,0.152,0.275,0.656,0.400,0.328,0.422,0.089,0.597,0.025,0.556,0.182,0.023,0.012,0.278,0.729,0.574,0.726,0.250,0.424,0.217,0.051,0.457
f_min.final_model.000.14.det_cont.csv,0.464,0.395,0.574,0.732,0.413,0.653,0.440,0.138,0.353,0.262,0.179,0.373,0.542,0.200,0.264,0.190,0.328,0.274,0.304,0.283,0.481,0.615,0.179,0.149
f_min.final_model.000.15.det_cont.csv,0.315,0.361,0.286,0.250,0.164,0.167,0.419,0.235,0.487,0.145,0.447,0.228,0.125,0.326,0.333,0.524,0.121,0.133,0.129,0.056,0.100,0.141,0.528,0.104
f_min.final_model.000.16.det_cont.csv,0.490,0.500,0.512,0.292,0.096,0.180,0.189,0.066,0.622,0.028,0.541,0.091,0.354,0.500,0.657,0.269,0.070,0.014,0.025,0.054,0.153,0.250,0.541,0.027
