 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.366,0.388,0.400,0.232,0.107,0.121,0.051,0.111,0.177,0.070,0.211,0.082,0.649,0.036,0.316,0.432,0.458,0.351,0.048,0.500,0.435,0.027,0.615,0.063,0.125,0.113
f_min.final_model.000.01.det_cont.csv,0.429,0.756,0.609,0.431,0.208,0.083,0.115,0.298,0.242,0.159,0.431,0.137,0.250,0.138,0.612,0.489,0.682,0.620,0.110,0.553,0.186,0.080,0.264,0.224,0.134,0.092
f_min.final_model.000.02.det_cont.csv,0.173,0.106,0.154,0.194,0.419,0.795,0.397,0.087,0.368,0.373,0.138,0.500,0.222,0.415,0.081,0.115,0.103,0.108,0.394,0.121,0.449,0.262,0.259,0.075,0.510,0.680
f_min.final_model.000.03.det_cont.csv,0.239,0.302,0.392,0.489,0.424,0.230,0.254,0.392,0.609,0.242,0.429,0.333,0.216,0.294,0.357,0.280,0.246,0.345,0.333,0.129,0.340,0.300,0.255,0.360,0.377,0.212
f_min.final_model.000.04.det_cont.csv,0.429,0.600,0.762,0.490,0.279,0.099,0.192,0.345,0.351,0.212,0.521,0.203,0.300,0.213,0.580,0.558,0.609,0.841,0.167,0.404,0.228,0.141,0.314,0.268,0.169,0.107
f_min.final_model.000.05.det_cont.csv,0.280,0.310,0.345,0.540,0.625,0.281,0.400,0.560,0.397,0.585,0.481,0.526,0.113,0.508,0.339,0.291,0.219,0.349,0.532,0.116,0.156,0.466,0.127,0.389,0.429,0.318
f_min.final_model.000.06.det_cont.csv,0.250,0.196,0.302,0.236,0.262,0.377,0.171,0.078,0.440,0.210,0.172,0.300,0.500,0.194,0.121,0.216,0.232,0.246,0.229,0.259,0.757,0.169,0.512,0.100,0.365,0.300
f_min.final_model.000.07.det_cont.csv,0.432,0.531,0.510,0.652,0.406,0.141,0.250,0.426,0.481,0.297,0.727,0.284,0.193,0.306,0.640,0.429,0.400,0.585,0.288,0.246,0.177,0.235,0.207,0.345,0.234,0.147
f_min.final_model.000.08.det_cont.csv,0.176,0.241,0.298,0.352,0.403,0.164,0.318,0.480,0.481,0.379,0.431,0.361,0.066,0.400,0.295,0.136,0.156,0.328,0.468,0.058,0.129,0.473,0.081,0.578,0.267,0.169
f_min.final_model.000.09.det_cont.csv,0.567,0.639,0.452,0.579,0.254,0.121,0.121,0.326,0.280,0.218,0.579,0.186,0.209,0.164,0.535,0.385,0.419,0.417,0.147,0.304,0.163,0.133,0.227,0.261,0.212,0.148
f_min.final_model.000.10.det_cont.csv,0.260,0.316,0.375,0.617,0.667,0.328,0.406,0.481,0.538,0.509,0.551,0.509,0.115,0.469,0.390,0.296,0.222,0.377,0.492,0.118,0.217,0.400,0.148,0.370,0.463,0.323
f_min.final_model.000.11.det_cont.csv,0.164,0.101,0.130,0.167,0.400,0.708,0.400,0.083,0.286,0.377,0.116,0.450,0.255,0.377,0.078,0.109,0.099,0.090,0.357,0.116,0.480,0.232,0.291,0.071,0.429,0.706
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.000,0.000,0.135,0.119,0.183,0.203,0.014,0.203,0.014,0.127,0.000,0.173,0.041,0.000,0.000,0.000,0.257,0.000,0.000,0.279,0.000,0.259,0.090,0.194
f_min.final_model.000.13.det_cont.csv,0.085,0.101,0.114,0.262,0.569,0.323,0.492,0.393,0.373,0.448,0.262,0.582,0.030,0.557,0.169,0.060,0.040,0.164,0.727,0.000,0.175,0.667,0.044,0.415,0.379,0.318
f_min.final_model.000.14.det_cont.csv,0.395,0.444,0.558,0.320,0.159,0.109,0.067,0.218,0.228,0.090,0.294,0.086,0.611,0.077,0.333,0.579,0.634,0.480,0.050,0.467,0.432,0.028,0.622,0.123,0.150,0.118
f_min.final_model.000.15.det_cont.csv,0.317,0.222,0.333,0.264,0.306,0.385,0.191,0.115,0.449,0.276,0.175,0.305,0.405,0.232,0.141,0.271,0.236,0.250,0.269,0.264,0.600,0.230,0.452,0.102,0.489,0.328
f_min.final_model.000.16.det_cont.csv,0.032,0.013,0.013,0.085,0.300,0.577,0.400,0.026,0.141,0.292,0.055,0.381,0.062,0.357,0.000,0.000,0.000,0.012,0.319,0.000,0.194,0.232,0.076,0.000,0.270,0.611
f_min.final_model.000.17.det_cont.csv,0.356,0.521,0.705,0.510,0.275,0.097,0.173,0.415,0.368,0.191,0.542,0.183,0.269,0.211,0.538,0.511,0.596,0.673,0.165,0.370,0.224,0.155,0.283,0.309,0.185,0.105
f_min.final_model.000.18.det_cont.csv,0.300,0.571,0.491,0.472,0.296,0.078,0.195,0.386,0.323,0.214,0.560,0.205,0.148,0.231,0.647,0.358,0.491,0.593,0.200,0.368,0.103,0.162,0.161,0.310,0.157,0.100
f_min.final_model.000.19.det_cont.csv,0.311,0.365,0.490,0.532,0.483,0.262,0.323,0.352,0.767,0.317,0.565,0.414,0.231,0.364,0.345,0.294,0.304,0.509,0.324,0.161,0.327,0.290,0.269,0.296,0.415,0.242
f_min.final_model.000.20.det_cont.csv,0.175,0.274,0.306,0.404,0.253,0.076,0.175,0.421,0.292,0.192,0.509,0.184,0.059,0.225,0.433,0.254,0.246,0.354,0.225,0.111,0.055,0.222,0.072,0.368,0.153,0.084
f_min.final_model.000.21.det_cont.csv,0.381,0.458,0.385,0.224,0.076,0.070,0.012,0.125,0.119,0.083,0.183,0.052,0.312,0.035,0.375,0.413,0.532,0.436,0.035,0.732,0.236,0.013,0.327,0.078,0.088,0.066
f_min.final_model.000.22.det_cont.csv,0.256,0.294,0.417,0.426,0.446,0.180,0.306,0.417,0.578,0.321,0.523,0.351,0.157,0.349,0.377,0.245,0.236,0.442,0.371,0.136,0.208,0.316,0.173,0.477,0.296,0.149
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.000,0.000,0.099,0.231,0.171,0.027,0.013,0.123,0.000,0.118,0.000,0.148,0.000,0.000,0.000,0.000,0.107,0.000,0.029,0.078,0.000,0.028,0.068,0.269
f_min.final_model.000.24.det_cont.csv,0.457,0.575,0.757,0.488,0.258,0.113,0.147,0.354,0.360,0.183,0.488,0.156,0.366,0.171,0.489,0.568,0.548,0.600,0.123,0.333,0.298,0.108,0.381,0.265,0.196,0.121
f_min.final_model.000.25.det_cont.csv,0.156,0.178,0.222,0.318,0.656,0.533,0.629,0.294,0.492,0.593,0.318,0.702,0.097,0.780,0.192,0.125,0.114,0.218,0.641,0.061,0.254,0.532,0.125,0.269,0.579,0.590
f_min.final_model.000.26.det_cont.csv,0.467,0.436,0.487,0.326,0.145,0.088,0.044,0.160,0.196,0.085,0.267,0.063,0.531,0.042,0.312,0.594,0.487,0.383,0.042,0.462,0.317,0.016,0.500,0.122,0.132,0.063
f_min.final_model.000.27.det_cont.csv,0.232,0.174,0.239,0.242,0.455,0.381,0.371,0.258,0.387,0.459,0.188,0.460,0.298,0.370,0.114,0.188,0.169,0.233,0.471,0.171,0.436,0.429,0.333,0.231,0.518,0.373
f_min.final_model.000.28.det_cont.csv,0.308,0.212,0.327,0.185,0.147,0.211,0.114,0.066,0.259,0.092,0.123,0.156,0.750,0.079,0.148,0.349,0.300,0.241,0.123,0.333,0.649,0.075,0.758,0.051,0.196,0.175
