 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.156,0.099,0.795,0.230,0.130,0.281,0.377,0.157,0.130,0.121,0.328,0.745,0.103,0.281,0.145,0.412,0.519,0.113,0.078,0.262,0.062,0.118,0.200,0.212,0.150,0.533,0.148,0.403,0.255
f_min.final_model.000.01.det_cont.csv,0.262,0.141,0.708,0.322,0.191,0.250,0.551,0.183,0.157,0.153,0.292,0.635,0.054,0.269,0.254,0.630,0.371,0.171,0.103,0.333,0.086,0.162,0.230,0.137,0.263,0.484,0.226,0.500,0.412
f_min.final_model.000.02.det_cont.csv,0.091,0.246,0.149,0.431,0.310,0.569,0.145,0.491,0.490,0.340,0.612,0.127,0.141,0.481,0.150,0.148,0.096,0.328,0.350,0.442,0.456,0.088,0.489,0.000,0.288,0.385,0.132,0.250,0.047
f_min.final_model.000.03.det_cont.csv,0.718,0.291,0.241,0.259,0.340,0.136,0.500,0.213,0.060,0.234,0.138,0.250,0.000,0.042,0.641,0.413,0.071,0.333,0.169,0.273,0.083,0.353,0.140,0.000,0.378,0.104,0.571,0.333,0.722
f_min.final_model.000.04.det_cont.csv,0.479,0.562,0.152,0.412,0.596,0.274,0.273,0.472,0.230,0.512,0.300,0.162,0.000,0.097,0.700,0.327,0.013,0.617,0.455,0.451,0.281,0.327,0.327,0.000,0.784,0.187,0.553,0.254,0.375
f_min.final_model.000.05.det_cont.csv,0.096,0.203,0.433,0.333,0.267,0.500,0.233,0.361,0.357,0.262,0.531,0.414,0.136,0.478,0.143,0.309,0.338,0.263,0.266,0.424,0.275,0.081,0.369,0.141,0.246,0.817,0.113,0.368,0.147
f_min.final_model.000.06.det_cont.csv,0.420,0.190,0.462,0.358,0.250,0.162,0.842,0.182,0.154,0.148,0.219,0.411,0.000,0.162,0.388,0.605,0.179,0.226,0.111,0.370,0.079,0.237,0.232,0.013,0.269,0.254,0.255,0.448,0.535
f_min.final_model.000.07.det_cont.csv,0.076,0.156,0.429,0.344,0.203,0.500,0.254,0.278,0.348,0.188,0.508,0.431,0.162,0.500,0.108,0.339,0.329,0.200,0.190,0.354,0.171,0.061,0.339,0.123,0.194,0.717,0.106,0.485,0.159
f_min.final_model.000.08.det_cont.csv,0.511,0.636,0.123,0.150,0.469,0.134,0.264,0.271,0.075,0.311,0.136,0.118,0.000,0.013,0.477,0.269,0.000,0.377,0.351,0.183,0.113,0.750,0.158,0.000,0.370,0.075,0.474,0.191,0.340
f_min.final_model.000.09.det_cont.csv,0.246,0.471,0.134,0.440,0.500,0.519,0.167,0.773,0.415,0.632,0.560,0.113,0.000,0.234,0.308,0.190,0.053,0.520,0.538,0.542,0.414,0.217,0.468,0.000,0.467,0.271,0.283,0.200,0.138
