 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.763,0.177,0.000,0.420,0.469,0.123,0.328,0.291,0.090,0.000,0.030,0.500,0.000,0.043,0.055,0.393,0.465,0.585,0.022,0.091,0.227,0.037,0.000,0.090,0.139,0.027,0.386,0.000,0.575,0.048
f_min.final_model.000.01.det_cont.csv,0.315,0.100,0.045,0.190,0.551,0.027,0.157,0.531,0.222,0.138,0.014,0.591,0.038,0.000,0.000,0.783,0.264,0.468,0.116,0.173,0.393,0.127,0.000,0.099,0.303,0.053,0.121,0.000,0.264,0.083
f_min.final_model.000.02.det_cont.csv,0.220,0.814,0.094,0.462,0.149,0.660,0.608,0.134,0.164,0.042,0.028,0.109,0.093,0.418,0.491,0.092,0.360,0.129,0.366,0.369,0.265,0.343,0.100,0.000,0.087,0.000,0.404,0.114,0.214,0.333
f_min.final_model.000.03.det_cont.csv,0.236,0.254,0.100,0.333,0.404,0.194,0.345,0.412,0.396,0.268,0.030,0.117,0.000,0.072,0.099,0.295,0.391,0.222,0.329,0.417,0.491,0.365,0.058,0.089,0.339,0.149,0.319,0.028,0.255,0.023
f_min.final_model.000.04.det_cont.csv,0.365,0.116,0.062,0.250,0.617,0.041,0.209,0.562,0.328,0.213,0.014,0.458,0.000,0.000,0.013,0.673,0.314,0.533,0.185,0.239,0.491,0.187,0.013,0.047,0.365,0.081,0.161,0.000,0.340,0.022
f_min.final_model.000.05.det_cont.csv,0.136,0.266,0.259,0.145,0.270,0.191,0.214,0.463,0.588,0.345,0.013,0.121,0.000,0.080,0.133,0.344,0.145,0.177,0.515,0.614,0.618,0.550,0.159,0.094,0.343,0.200,0.078,0.141,0.127,0.105
f_min.final_model.000.06.det_cont.csv,0.500,0.385,0.000,0.944,0.268,0.286,0.689,0.167,0.161,0.062,0.000,0.250,0.013,0.108,0.169,0.203,0.676,0.391,0.182,0.239,0.231,0.217,0.000,0.000,0.110,0.000,0.622,0.000,0.378,0.117
f_min.final_model.000.07.det_cont.csv,0.213,0.143,0.108,0.164,0.491,0.081,0.167,0.773,0.509,0.305,0.042,0.259,0.000,0.000,0.037,0.545,0.207,0.309,0.303,0.400,0.630,0.296,0.068,0.136,0.483,0.169,0.115,0.013,0.207,0.000
f_min.final_model.000.08.det_cont.csv,0.060,0.116,0.278,0.154,0.246,0.085,0.141,0.389,0.540,0.644,0.075,0.045,0.038,0.000,0.038,0.262,0.136,0.113,0.433,0.419,0.417,0.483,0.206,0.171,0.323,0.311,0.083,0.203,0.063,0.000
f_min.final_model.000.09.det_cont.csv,0.234,0.123,0.018,0.127,0.500,0.049,0.133,0.676,0.306,0.151,0.017,0.295,0.000,0.000,0.015,0.500,0.200,0.366,0.137,0.230,0.440,0.169,0.000,0.070,0.352,0.047,0.106,0.000,0.227,0.000
f_min.final_model.000.10.det_cont.csv,0.121,0.311,0.180,0.219,0.295,0.231,0.292,0.529,0.600,0.328,0.027,0.106,0.000,0.081,0.135,0.328,0.207,0.180,0.478,0.685,0.692,0.508,0.129,0.108,0.369,0.169,0.153,0.053,0.111,0.106
