 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.429,0.750,0.149,0.328,0.787,0.313,0.295,0.526,0.273,0.479,0.318,0.128,0.000,0.128,0.481,0.300,0.035,0.604,0.561,0.431,0.282,0.547,0.368,0.000,0.596,0.210,0.447,0.224,0.271
f_min.final_model.000.01.det_cont.csv,0.381,0.476,0.167,0.255,0.476,0.269,0.239,0.477,0.192,0.633,0.275,0.158,0.000,0.082,0.447,0.302,0.031,0.400,0.340,0.326,0.211,0.395,0.273,0.000,0.514,0.152,0.484,0.224,0.293
f_min.final_model.000.02.det_cont.csv,0.412,0.652,0.132,0.352,0.810,0.356,0.268,0.580,0.288,0.500,0.362,0.111,0.000,0.111,0.533,0.296,0.013,0.711,0.558,0.471,0.339,0.396,0.400,0.000,0.718,0.200,0.463,0.232,0.288
f_min.final_model.000.03.det_cont.csv,0.232,0.431,0.175,0.489,0.490,0.571,0.214,0.617,0.377,0.579,0.551,0.149,0.000,0.262,0.320,0.241,0.085,0.542,0.500,0.532,0.379,0.203,0.426,0.000,0.488,0.318,0.326,0.242,0.185
f_min.final_model.000.04.det_cont.csv,0.101,0.197,0.438,0.419,0.282,0.557,0.246,0.403,0.422,0.219,0.621,0.418,0.143,0.532,0.151,0.288,0.319,0.296,0.280,0.475,0.241,0.072,0.441,0.120,0.262,0.667,0.136,0.429,0.139
f_min.final_model.000.05.det_cont.csv,0.162,0.317,0.151,0.404,0.361,0.673,0.130,0.564,0.482,0.400,0.654,0.160,0.143,0.381,0.206,0.167,0.087,0.474,0.419,0.464,0.406,0.125,0.481,0.024,0.370,0.406,0.196,0.314,0.104
f_min.final_model.000.06.det_cont.csv,0.207,0.254,0.339,0.543,0.345,0.368,0.438,0.453,0.451,0.271,0.510,0.279,0.014,0.345,0.241,0.447,0.130,0.364,0.295,0.698,0.266,0.143,0.545,0.000,0.383,0.443,0.208,0.407,0.275
f_min.final_model.000.07.det_cont.csv,0.125,0.086,0.750,0.237,0.101,0.270,0.392,0.145,0.169,0.125,0.317,0.667,0.106,0.311,0.113,0.400,0.538,0.100,0.080,0.271,0.078,0.072,0.186,0.219,0.117,0.525,0.091,0.371,0.218
f_min.final_model.000.08.det_cont.csv,0.457,0.479,0.200,0.333,0.578,0.250,0.404,0.396,0.246,0.450,0.276,0.190,0.000,0.087,0.641,0.444,0.014,0.532,0.333,0.429,0.238,0.408,0.354,0.000,0.676,0.197,0.486,0.290,0.409
f_min.final_model.000.09.det_cont.csv,0.067,0.105,0.466,0.266,0.167,0.443,0.274,0.243,0.312,0.164,0.426,0.443,0.157,0.517,0.069,0.300,0.397,0.149,0.171,0.339,0.167,0.038,0.300,0.132,0.136,0.690,0.030,0.431,0.136
f_min.final_model.000.10.det_cont.csv,0.684,0.283,0.211,0.226,0.333,0.125,0.465,0.224,0.062,0.250,0.127,0.241,0.000,0.029,0.649,0.378,0.059,0.302,0.177,0.241,0.087,0.347,0.148,0.000,0.405,0.093,0.576,0.283,0.686
f_min.final_model.000.11.det_cont.csv,0.097,0.186,0.448,0.404,0.258,0.475,0.300,0.344,0.339,0.228,0.483,0.426,0.096,0.450,0.152,0.375,0.318,0.235,0.257,0.491,0.200,0.066,0.375,0.104,0.254,0.644,0.117,0.460,0.194
f_min.final_model.000.12.det_cont.csv,0.286,0.583,0.055,0.327,0.551,0.333,0.109,0.580,0.288,0.500,0.362,0.053,0.043,0.176,0.327,0.129,0.000,0.481,0.653,0.316,0.431,0.370,0.346,0.000,0.457,0.184,0.304,0.104,0.136
f_min.final_model.000.13.det_cont.csv,0.489,0.574,0.154,0.164,0.423,0.147,0.302,0.283,0.088,0.356,0.149,0.147,0.000,0.026,0.457,0.308,0.013,0.389,0.362,0.197,0.125,0.714,0.172,0.000,0.354,0.086,0.450,0.203,0.327
f_min.final_model.000.14.det_cont.csv,0.512,0.568,0.111,0.179,0.533,0.177,0.280,0.309,0.095,0.366,0.180,0.106,0.000,0.000,0.632,0.260,0.000,0.458,0.345,0.236,0.169,0.558,0.167,0.000,0.463,0.078,0.514,0.164,0.364
f_min.final_model.000.15.det_cont.csv,0.304,0.185,0.500,0.396,0.242,0.306,0.600,0.231,0.185,0.208,0.356,0.473,0.057,0.286,0.346,0.732,0.227,0.200,0.139,0.407,0.105,0.190,0.268,0.039,0.333,0.379,0.271,0.623,0.447
f_min.final_model.000.16.det_cont.csv,0.037,0.176,0.354,0.377,0.225,0.542,0.188,0.304,0.403,0.194,0.500,0.319,0.167,0.517,0.096,0.266,0.264,0.239,0.260,0.344,0.253,0.049,0.373,0.113,0.200,0.712,0.076,0.391,0.099
f_min.final_model.000.17.det_cont.csv,0.027,0.080,0.262,0.322,0.141,0.441,0.188,0.254,0.500,0.133,0.424,0.214,0.258,0.700,0.028,0.250,0.214,0.155,0.162,0.333,0.222,0.013,0.339,0.064,0.108,0.484,0.016,0.429,0.075
f_min.final_model.000.18.det_cont.csv,0.048,0.108,0.388,0.328,0.165,0.524,0.225,0.284,0.484,0.145,0.484,0.352,0.271,0.745,0.049,0.265,0.315,0.163,0.198,0.319,0.222,0.034,0.365,0.106,0.122,0.631,0.041,0.485,0.122
f_min.final_model.000.19.det_cont.csv,0.031,0.148,0.044,0.288,0.186,0.321,0.048,0.259,0.522,0.163,0.281,0.042,0.340,0.396,0.068,0.049,0.014,0.224,0.230,0.211,0.283,0.030,0.333,0.075,0.173,0.217,0.059,0.197,0.017
f_min.final_model.000.20.det_cont.csv,0.087,0.274,0.111,0.407,0.317,0.596,0.072,0.414,0.519,0.320,0.519,0.122,0.246,0.431,0.180,0.106,0.078,0.379,0.355,0.345,0.387,0.100,0.404,0.052,0.321,0.348,0.125,0.294,0.045
f_min.final_model.000.21.det_cont.csv,0.262,0.483,0.101,0.361,0.483,0.385,0.125,0.679,0.365,0.553,0.391,0.071,0.037,0.216,0.295,0.159,0.023,0.500,0.717,0.417,0.576,0.312,0.429,0.023,0.426,0.266,0.250,0.145,0.116
f_min.final_model.000.22.det_cont.csv,0.641,0.283,0.278,0.250,0.333,0.143,0.537,0.224,0.097,0.250,0.164,0.309,0.000,0.059,0.649,0.442,0.091,0.302,0.177,0.288,0.087,0.347,0.170,0.000,0.405,0.155,0.486,0.351,0.788
f_min.final_model.000.23.det_cont.csv,0.037,0.061,0.544,0.167,0.101,0.264,0.224,0.139,0.160,0.121,0.268,0.569,0.167,0.338,0.039,0.266,0.625,0.086,0.095,0.211,0.106,0.024,0.157,0.309,0.083,0.554,0.014,0.280,0.099
