 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.826,0.486,0.213,0.394,0.132,0.268,0.556,0.500,0.607,0.161,0.405,0.043,0.095,0.000,0.081,0.000,0.429,0.406,0.220,0.000,0.333,0.096,0.170,0.067,0.394
f_min.final_model.000.01.det_cont.csv,0.538,0.842,0.136,0.422,0.083,0.186,0.395,0.408,0.615,0.122,0.453,0.031,0.067,0.054,0.049,0.027,0.581,0.340,0.463,0.000,0.542,0.056,0.106,0.048,0.524
f_min.final_model.000.02.det_cont.csv,0.462,0.396,0.143,0.298,0.172,0.340,0.462,0.833,0.538,0.231,0.721,0.167,0.220,0.000,0.139,0.000,0.548,0.304,0.246,0.000,0.291,0.180,0.186,0.189,0.488
f_min.final_model.000.03.det_cont.csv,0.213,0.151,0.508,0.130,0.643,0.474,0.213,0.339,0.203,0.672,0.358,0.270,0.200,0.000,0.523,0.034,0.206,0.149,0.069,0.107,0.128,0.483,0.450,0.290,0.182
f_min.final_model.000.04.det_cont.csv,0.410,0.275,0.228,0.180,0.281,0.413,0.410,0.524,0.349,0.345,0.469,0.220,0.255,0.000,0.250,0.000,0.340,0.184,0.156,0.000,0.255,0.296,0.283,0.271,0.341
f_min.final_model.000.05.det_cont.csv,0.231,0.175,0.215,0.097,0.302,0.276,0.231,0.377,0.241,0.318,0.397,0.522,0.417,0.000,0.413,0.000,0.241,0.098,0.078,0.197,0.147,0.463,0.453,0.458,0.214
f_min.final_model.000.06.det_cont.csv,0.267,0.196,0.333,0.196,0.389,0.811,0.213,0.347,0.250,0.429,0.396,0.189,0.245,0.000,0.344,0.000,0.182,0.250,0.086,0.015,0.127,0.440,0.400,0.286,0.173
f_min.final_model.000.07.det_cont.csv,0.163,0.117,0.846,0.130,0.596,0.340,0.096,0.100,0.132,0.538,0.104,0.086,0.052,0.000,0.414,0.106,0.066,0.176,0.041,0.100,0.076,0.286,0.321,0.068,0.034
f_min.final_model.000.08.det_cont.csv,0.425,0.314,0.180,0.196,0.210,0.340,0.462,0.571,0.395,0.270,0.644,0.286,0.326,0.000,0.242,0.000,0.444,0.200,0.188,0.031,0.291,0.286,0.273,0.340,0.386
f_min.final_model.000.09.det_cont.csv,0.121,0.071,0.569,0.062,0.804,0.389,0.066,0.138,0.079,0.692,0.155,0.268,0.190,0.000,0.607,0.052,0.043,0.097,0.000,0.156,0.039,0.538,0.529,0.291,0.030
f_min.final_model.000.10.det_cont.csv,0.500,0.561,0.190,0.526,0.143,0.333,0.421,0.575,0.781,0.185,0.543,0.053,0.094,0.000,0.082,0.000,0.512,0.500,0.327,0.000,0.259,0.113,0.155,0.071,0.526
f_min.final_model.000.11.det_cont.csv,0.396,0.540,0.108,0.340,0.164,0.328,0.340,0.652,0.556,0.216,0.826,0.197,0.246,0.000,0.165,0.000,0.562,0.296,0.284,0.013,0.328,0.206,0.194,0.259,0.511
f_min.final_model.000.12.det_cont.csv,0.400,0.475,0.123,0.710,0.047,0.229,0.400,0.450,0.576,0.075,0.404,0.038,0.082,0.000,0.042,0.000,0.500,0.733,0.360,0.000,0.286,0.032,0.088,0.038,0.559
f_min.final_model.000.13.det_cont.csv,0.410,0.585,0.094,0.439,0.074,0.182,0.486,0.600,0.611,0.130,0.600,0.109,0.135,0.019,0.053,0.000,0.853,0.349,0.396,0.000,0.380,0.077,0.079,0.089,0.686
f_min.final_model.000.14.det_cont.csv,0.362,0.298,0.162,0.153,0.242,0.345,0.333,0.521,0.314,0.299,0.588,0.273,0.308,0.000,0.271,0.000,0.358,0.155,0.169,0.043,0.279,0.339,0.305,0.373,0.308
f_min.final_model.000.15.det_cont.csv,0.085,0.042,0.339,0.030,0.491,0.396,0.032,0.106,0.047,0.426,0.157,0.458,0.388,0.000,0.589,0.013,0.014,0.063,0.000,0.281,0.013,0.795,0.638,0.458,0.030
f_min.final_model.000.16.det_cont.csv,0.368,0.722,0.081,0.647,0.014,0.127,0.368,0.298,0.528,0.027,0.353,0.000,0.018,0.020,0.000,0.000,0.538,0.486,0.543,0.000,0.435,0.000,0.048,0.000,0.514
f_min.final_model.000.17.det_cont.csv,0.125,0.079,0.500,0.027,0.636,0.367,0.091,0.191,0.103,0.557,0.236,0.345,0.246,0.000,0.702,0.060,0.096,0.071,0.000,0.157,0.049,0.526,0.441,0.345,0.070
f_min.final_model.000.18.det_cont.csv,0.311,0.302,0.510,0.400,0.351,0.468,0.204,0.259,0.348,0.367,0.246,0.102,0.068,0.000,0.292,0.014,0.218,0.512,0.182,0.046,0.141,0.298,0.333,0.102,0.212
f_min.final_model.000.19.det_cont.csv,0.122,0.102,0.094,0.054,0.159,0.226,0.146,0.255,0.137,0.164,0.286,0.564,0.844,0.019,0.311,0.014,0.145,0.074,0.042,0.280,0.078,0.373,0.388,0.564,0.135
f_min.final_model.000.20.det_cont.csv,0.378,0.419,0.200,0.719,0.113,0.271,0.342,0.333,0.500,0.156,0.308,0.000,0.038,0.000,0.086,0.000,0.372,0.862,0.296,0.000,0.226,0.048,0.103,0.000,0.410
