 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.905,0.500,0.421,0.250,0.163,0.500,0.204,0.457,0.545,0.240,0.433,0.148,0.136,0.385,0.433,0.080,0.343,0.086,0.092,0.244,0.295,0.382,0.250,0.265,0.191
f_min.final_model.000.01.det_cont.csv,0.526,0.737,0.565,0.172,0.103,0.429,0.137,0.408,0.605,0.194,0.356,0.096,0.097,0.286,0.525,0.043,0.585,0.052,0.060,0.150,0.230,0.354,0.153,0.538,0.121
f_min.final_model.000.02.det_cont.csv,0.486,0.400,0.683,0.354,0.108,0.462,0.176,0.737,0.571,0.400,0.318,0.167,0.275,0.533,0.450,0.062,0.292,0.164,0.178,0.245,0.220,0.292,0.444,0.305,0.183
f_min.final_model.000.03.det_cont.csv,0.220,0.143,0.265,0.491,0.483,0.194,0.617,0.361,0.221,0.469,0.136,0.741,0.242,0.483,0.154,0.433,0.097,0.484,0.635,0.566,0.435,0.145,0.414,0.106,0.467
f_min.final_model.000.04.det_cont.csv,0.432,0.245,0.396,0.465,0.186,0.375,0.279,0.684,0.362,0.415,0.191,0.293,0.312,0.811,0.302,0.155,0.176,0.267,0.273,0.391,0.250,0.176,0.465,0.210,0.278
f_min.final_model.000.05.det_cont.csv,0.240,0.167,0.288,0.286,0.179,0.231,0.261,0.460,0.259,0.826,0.102,0.377,0.500,0.520,0.182,0.134,0.095,0.466,0.453,0.352,0.234,0.095,0.500,0.120,0.444
f_min.final_model.000.06.det_cont.csv,0.279,0.212,0.255,0.806,0.309,0.213,0.404,0.347,0.269,0.305,0.234,0.453,0.300,0.568,0.137,0.211,0.148,0.368,0.387,0.571,0.412,0.240,0.585,0.100,0.420
f_min.final_model.000.07.det_cont.csv,0.170,0.125,0.078,0.354,0.895,0.096,0.600,0.119,0.138,0.185,0.160,0.604,0.066,0.190,0.036,0.683,0.088,0.322,0.387,0.435,0.532,0.192,0.204,0.055,0.340
f_min.final_model.000.08.det_cont.csv,0.447,0.286,0.500,0.354,0.143,0.462,0.231,0.737,0.404,0.510,0.208,0.262,0.383,0.683,0.349,0.095,0.216,0.258,0.284,0.320,0.220,0.192,0.548,0.242,0.268
f_min.final_model.000.09.det_cont.csv,0.125,0.076,0.085,0.404,0.569,0.048,0.660,0.175,0.088,0.328,0.082,0.889,0.197,0.262,0.015,0.571,0.029,0.536,0.649,0.574,0.455,0.111,0.259,0.024,0.519
f_min.final_model.000.10.det_cont.csv,0.529,0.579,0.610,0.348,0.150,0.459,0.185,0.432,0.750,0.254,0.528,0.138,0.148,0.404,0.528,0.048,0.513,0.103,0.107,0.235,0.353,0.475,0.292,0.276,0.172
f_min.final_model.000.11.det_cont.csv,0.383,0.521,0.717,0.316,0.079,0.367,0.169,0.551,0.551,0.359,0.308,0.192,0.293,0.519,0.478,0.039,0.412,0.173,0.215,0.226,0.188,0.286,0.415,0.359,0.191
f_min.final_model.000.12.det_cont.csv,0.424,0.486,0.452,0.213,0.103,0.441,0.125,0.318,0.487,0.169,0.786,0.062,0.118,0.245,0.613,0.017,0.588,0.029,0.040,0.137,0.280,0.688,0.163,0.302,0.105
f_min.final_model.000.13.det_cont.csv,0.432,0.525,0.675,0.189,0.061,0.486,0.114,0.488,0.600,0.271,0.366,0.071,0.189,0.396,0.647,0.000,0.500,0.070,0.091,0.123,0.167,0.333,0.260,0.389,0.078
f_min.final_model.000.14.det_cont.csv,0.378,0.273,0.462,0.358,0.129,0.362,0.225,0.622,0.377,0.474,0.161,0.292,0.358,0.727,0.275,0.101,0.211,0.288,0.329,0.304,0.179,0.150,0.500,0.254,0.300
f_min.final_model.000.15.det_cont.csv,0.088,0.045,0.086,0.358,0.295,0.016,0.359,0.141,0.074,0.448,0.032,0.527,0.358,0.310,0.016,0.310,0.015,0.809,0.632,0.460,0.362,0.045,0.358,0.000,0.625
f_min.final_model.000.16.det_cont.csv,0.389,0.657,0.455,0.111,0.063,0.405,0.071,0.298,0.488,0.091,0.514,0.029,0.053,0.164,0.514,0.000,0.900,0.000,0.000,0.089,0.218,0.462,0.071,0.469,0.065
f_min.final_model.000.17.det_cont.csv,0.129,0.083,0.135,0.379,0.450,0.075,0.532,0.246,0.110,0.438,0.043,0.643,0.270,0.377,0.043,0.448,0.013,0.550,0.741,0.473,0.359,0.055,0.404,0.034,0.433
f_min.final_model.000.18.det_cont.csv,0.326,0.327,0.246,0.457,0.451,0.204,0.439,0.193,0.333,0.215,0.463,0.386,0.098,0.246,0.224,0.315,0.306,0.290,0.294,0.511,0.805,0.455,0.218,0.145,0.377
f_min.final_model.000.19.det_cont.csv,0.128,0.089,0.175,0.235,0.061,0.146,0.130,0.306,0.123,0.500,0.077,0.230,0.969,0.367,0.098,0.031,0.053,0.434,0.355,0.231,0.094,0.071,0.465,0.071,0.380
f_min.final_model.000.20.det_cont.csv,0.400,0.462,0.340,0.255,0.200,0.342,0.213,0.224,0.429,0.109,0.857,0.145,0.073,0.189,0.444,0.105,0.514,0.043,0.067,0.176,0.404,0.867,0.135,0.246,0.140
