 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.134,0.228,0.352,0.906,0.511,0.465,0.068,0.340,0.046,0.182,0.432,0.015,0.044,0.037,0.172,0.500,0.553,0.000,0.311,0.076,0.333,0.281,0.246,0.000,0.000,0.075,0.227,0.233,0.327,0.000
f_min.final_model.000.01.det_cont.csv,0.407,0.833,0.600,0.193,0.154,0.321,0.371,0.130,0.136,0.108,0.167,0.088,0.099,0.373,0.119,0.255,0.119,0.015,0.101,0.472,0.456,0.231,0.279,0.113,0.075,0.519,0.073,0.800,0.070,0.103
f_min.final_model.000.02.det_cont.csv,0.297,0.149,0.231,0.511,0.923,0.250,0.164,0.592,0.250,0.469,0.429,0.156,0.182,0.108,0.442,0.362,0.535,0.000,0.582,0.013,0.277,0.379,0.418,0.000,0.014,0.013,0.467,0.141,0.520,0.000
f_min.final_model.000.03.det_cont.csv,0.473,0.136,0.147,0.065,0.237,0.133,0.537,0.226,0.825,0.429,0.115,0.532,0.490,0.429,0.553,0.148,0.103,0.048,0.214,0.056,0.266,0.418,0.407,0.063,0.186,0.100,0.265,0.113,0.254,0.000
f_min.final_model.000.04.det_cont.csv,0.365,0.600,0.886,0.340,0.258,0.521,0.333,0.191,0.164,0.136,0.217,0.069,0.125,0.338,0.147,0.426,0.211,0.000,0.154,0.328,0.593,0.361,0.397,0.059,0.027,0.344,0.110,0.615,0.113,0.054
f_min.final_model.000.05.det_cont.csv,0.171,0.134,0.197,0.426,0.396,0.255,0.105,0.711,0.121,0.315,0.816,0.058,0.100,0.046,0.254,0.340,0.512,0.015,0.686,0.013,0.242,0.197,0.185,0.000,0.000,0.013,0.554,0.127,0.389,0.042
f_min.final_model.000.06.det_cont.csv,0.741,0.397,0.400,0.117,0.292,0.205,0.635,0.231,0.453,0.406,0.128,0.373,0.333,0.642,0.476,0.188,0.120,0.012,0.221,0.280,0.443,0.441,0.500,0.115,0.139,0.311,0.277,0.435,0.237,0.057
f_min.final_model.000.07.det_cont.csv,0.607,0.373,0.338,0.078,0.233,0.214,0.818,0.192,0.475,0.338,0.118,0.413,0.368,0.621,0.385,0.162,0.110,0.012,0.172,0.224,0.485,0.357,0.409,0.135,0.145,0.288,0.226,0.352,0.167,0.023
f_min.final_model.000.08.det_cont.csv,0.393,0.145,0.188,0.077,0.203,0.180,0.381,0.176,0.510,0.298,0.091,0.434,0.778,0.403,0.375,0.158,0.062,0.094,0.141,0.067,0.269,0.464,0.404,0.183,0.254,0.095,0.216,0.137,0.147,0.055
f_min.final_model.000.09.det_cont.csv,0.239,0.375,0.600,0.511,0.316,0.842,0.197,0.279,0.154,0.161,0.346,0.028,0.114,0.165,0.172,0.641,0.375,0.000,0.225,0.164,0.482,0.379,0.444,0.000,0.000,0.179,0.173,0.397,0.226,0.014
