 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.692,0.296,0.246,0.264,0.346,0.121,0.512,0.217,0.061,0.239,0.141,0.254,0.000,0.042,0.658,0.422,0.072,0.315,0.172,0.278,0.085,0.360,0.143,0.000,0.386,0.105,0.543,0.317,0.694
f_min.final_model.000.01.det_cont.csv,0.159,0.100,0.773,0.233,0.116,0.266,0.358,0.143,0.116,0.123,0.311,0.761,0.104,0.266,0.148,0.420,0.500,0.114,0.065,0.246,0.050,0.119,0.183,0.215,0.153,0.517,0.151,0.387,0.259
f_min.final_model.000.02.det_cont.csv,0.490,0.571,0.147,0.396,0.638,0.266,0.286,0.481,0.242,0.488,0.290,0.157,0.000,0.095,0.707,0.340,0.013,0.660,0.464,0.462,0.292,0.339,0.340,0.000,0.789,0.197,0.525,0.246,0.388
f_min.final_model.000.03.det_cont.csv,0.076,0.230,0.152,0.440,0.293,0.549,0.148,0.500,0.531,0.319,0.625,0.129,0.125,0.491,0.133,0.150,0.097,0.310,0.333,0.451,0.414,0.074,0.500,0.000,0.269,0.391,0.113,0.254,0.031
f_min.final_model.000.04.det_cont.csv,0.288,0.143,0.653,0.328,0.194,0.217,0.630,0.169,0.159,0.136,0.297,0.615,0.041,0.273,0.281,0.644,0.333,0.174,0.104,0.339,0.087,0.164,0.233,0.108,0.246,0.469,0.231,0.508,0.449
f_min.final_model.000.05.det_cont.csv,0.500,0.689,0.132,0.177,0.520,0.194,0.291,0.339,0.118,0.400,0.179,0.127,0.000,0.053,0.438,0.296,0.013,0.400,0.421,0.230,0.169,0.805,0.186,0.000,0.396,0.111,0.429,0.214,0.314
f_min.final_model.000.06.det_cont.csv,0.110,0.234,0.412,0.438,0.301,0.597,0.216,0.420,0.357,0.281,0.607,0.375,0.122,0.456,0.173,0.309,0.303,0.333,0.333,0.469,0.291,0.094,0.391,0.128,0.284,0.730,0.129,0.368,0.147
f_min.final_model.000.07.det_cont.csv,0.086,0.211,0.348,0.391,0.278,0.600,0.208,0.357,0.438,0.254,0.583,0.352,0.171,0.500,0.149,0.265,0.280,0.274,0.276,0.422,0.237,0.071,0.365,0.106,0.258,0.656,0.118,0.443,0.122
f_min.final_model.000.08.det_cont.csv,0.056,0.162,0.176,0.382,0.234,0.407,0.213,0.344,0.717,0.222,0.390,0.137,0.267,0.596,0.091,0.217,0.092,0.250,0.254,0.393,0.323,0.055,0.490,0.038,0.207,0.388,0.086,0.294,0.077
f_min.final_model.000.09.det_cont.csv,0.460,0.222,0.444,0.345,0.283,0.174,0.895,0.194,0.167,0.164,0.231,0.397,0.000,0.174,0.429,0.651,0.174,0.258,0.139,0.382,0.091,0.271,0.224,0.013,0.283,0.282,0.271,0.458,0.581
