 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.905,0.526,0.486,0.220,0.432,0.240,0.279,0.170,0.447,0.125,0.529,0.383,0.424,0.432,0.378,0.088,0.389,0.129,0.326,0.128,0.400
f_min.final_model.000.01.det_cont.csv,0.500,0.737,0.400,0.143,0.245,0.167,0.212,0.125,0.286,0.076,0.579,0.521,0.486,0.525,0.273,0.045,0.657,0.083,0.327,0.089,0.462
f_min.final_model.000.02.det_cont.csv,0.421,0.565,0.683,0.265,0.396,0.288,0.255,0.078,0.500,0.085,0.610,0.717,0.452,0.675,0.462,0.086,0.455,0.135,0.246,0.175,0.340
f_min.final_model.000.03.det_cont.csv,0.250,0.172,0.354,0.491,0.465,0.286,0.806,0.354,0.354,0.404,0.348,0.316,0.213,0.189,0.358,0.358,0.111,0.379,0.457,0.235,0.255
f_min.final_model.000.04.det_cont.csv,0.163,0.103,0.108,0.483,0.186,0.179,0.309,0.895,0.143,0.569,0.150,0.079,0.103,0.061,0.129,0.295,0.063,0.450,0.451,0.061,0.200
f_min.final_model.000.05.det_cont.csv,0.500,0.429,0.462,0.194,0.375,0.231,0.213,0.096,0.462,0.048,0.459,0.367,0.441,0.486,0.362,0.016,0.405,0.075,0.204,0.146,0.342
f_min.final_model.000.06.det_cont.csv,0.204,0.137,0.176,0.617,0.279,0.261,0.404,0.600,0.231,0.660,0.185,0.169,0.125,0.114,0.225,0.359,0.071,0.532,0.439,0.130,0.213
f_min.final_model.000.07.det_cont.csv,0.457,0.408,0.737,0.361,0.684,0.460,0.347,0.119,0.737,0.175,0.432,0.551,0.318,0.488,0.622,0.141,0.298,0.246,0.193,0.306,0.224
f_min.final_model.000.08.det_cont.csv,0.545,0.605,0.571,0.221,0.362,0.259,0.269,0.138,0.404,0.088,0.750,0.551,0.487,0.600,0.377,0.074,0.488,0.110,0.333,0.123,0.429
f_min.final_model.000.09.det_cont.csv,0.240,0.194,0.400,0.469,0.415,0.826,0.305,0.185,0.510,0.328,0.254,0.359,0.169,0.271,0.474,0.448,0.091,0.438,0.215,0.500,0.109
f_min.final_model.000.10.det_cont.csv,0.433,0.356,0.318,0.136,0.191,0.102,0.234,0.160,0.208,0.082,0.528,0.308,0.786,0.366,0.161,0.032,0.514,0.043,0.463,0.077,0.857
f_min.final_model.000.11.det_cont.csv,0.148,0.096,0.167,0.741,0.293,0.377,0.453,0.604,0.262,0.889,0.138,0.192,0.062,0.071,0.292,0.527,0.029,0.643,0.386,0.230,0.145
f_min.final_model.000.12.det_cont.csv,0.136,0.097,0.275,0.242,0.312,0.500,0.300,0.066,0.383,0.197,0.148,0.293,0.118,0.189,0.358,0.358,0.053,0.270,0.098,0.969,0.073
f_min.final_model.000.13.det_cont.csv,0.385,0.286,0.533,0.483,0.811,0.520,0.568,0.190,0.683,0.262,0.404,0.519,0.245,0.396,0.727,0.310,0.164,0.377,0.246,0.367,0.189
f_min.final_model.000.14.det_cont.csv,0.433,0.525,0.450,0.154,0.302,0.182,0.137,0.036,0.349,0.015,0.528,0.478,0.613,0.647,0.275,0.016,0.514,0.043,0.224,0.098,0.444
f_min.final_model.000.15.det_cont.csv,0.080,0.043,0.062,0.433,0.155,0.134,0.211,0.683,0.095,0.571,0.048,0.039,0.017,0.000,0.101,0.310,0.000,0.448,0.315,0.031,0.105
f_min.final_model.000.16.det_cont.csv,0.343,0.585,0.292,0.097,0.176,0.095,0.148,0.088,0.216,0.029,0.513,0.412,0.588,0.500,0.211,0.015,0.900,0.013,0.306,0.053,0.514
f_min.final_model.000.17.det_cont.csv,0.086,0.052,0.164,0.484,0.267,0.466,0.368,0.322,0.258,0.536,0.103,0.173,0.029,0.070,0.288,0.809,0.000,0.550,0.290,0.434,0.043
f_min.final_model.000.18.det_cont.csv,0.092,0.060,0.178,0.635,0.273,0.453,0.387,0.387,0.284,0.649,0.107,0.215,0.040,0.091,0.329,0.632,0.000,0.741,0.294,0.355,0.067
f_min.final_model.000.19.det_cont.csv,0.244,0.150,0.245,0.566,0.391,0.352,0.571,0.435,0.320,0.574,0.235,0.226,0.137,0.123,0.304,0.460,0.089,0.473,0.511,0.231,0.176
f_min.final_model.000.20.det_cont.csv,0.295,0.230,0.220,0.435,0.250,0.234,0.412,0.532,0.220,0.455,0.353,0.188,0.280,0.167,0.179,0.362,0.218,0.359,0.805,0.094,0.404
f_min.final_model.000.21.det_cont.csv,0.382,0.354,0.292,0.145,0.176,0.095,0.240,0.192,0.192,0.111,0.475,0.286,0.688,0.333,0.150,0.045,0.462,0.055,0.455,0.071,0.867
f_min.final_model.000.22.det_cont.csv,0.250,0.153,0.444,0.414,0.465,0.500,0.585,0.204,0.548,0.259,0.292,0.415,0.163,0.260,0.500,0.358,0.071,0.404,0.218,0.465,0.135
f_min.final_model.000.23.det_cont.csv,0.265,0.538,0.305,0.106,0.210,0.120,0.100,0.055,0.242,0.024,0.276,0.359,0.302,0.389,0.254,0.000,0.469,0.034,0.145,0.071,0.246
f_min.final_model.000.24.det_cont.csv,0.191,0.121,0.183,0.467,0.278,0.444,0.420,0.340,0.268,0.519,0.172,0.191,0.105,0.078,0.300,0.625,0.065,0.433,0.377,0.380,0.140
