 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.156,0.099,0.795,0.230,0.130,0.281,0.377,0.157,0.130,0.121,0.328,0.745,0.103,0.281,0.145,0.412,0.519,0.113,0.078,0.262,0.062,0.118,0.200,0.212,0.150,0.533,0.148,0.403,0.255
f_min.final_model.000.01.det_cont.csv,0.075,0.226,0.167,0.431,0.288,0.538,0.164,0.463,0.520,0.312,0.580,0.127,0.141,0.509,0.131,0.167,0.096,0.305,0.328,0.442,0.456,0.072,0.522,0.000,0.264,0.406,0.111,0.250,0.031
f_min.final_model.000.02.det_cont.csv,0.718,0.291,0.241,0.259,0.340,0.136,0.500,0.213,0.060,0.234,0.138,0.250,0.000,0.042,0.641,0.413,0.071,0.333,0.169,0.273,0.083,0.353,0.140,0.000,0.378,0.104,0.571,0.333,0.722
f_min.final_model.000.03.det_cont.csv,0.279,0.139,0.694,0.317,0.188,0.246,0.571,0.181,0.155,0.150,0.288,0.654,0.053,0.265,0.271,0.617,0.365,0.169,0.101,0.328,0.085,0.159,0.226,0.135,0.259,0.477,0.222,0.517,0.431
f_min.final_model.000.04.det_cont.csv,0.123,0.234,0.412,0.415,0.301,0.597,0.216,0.420,0.338,0.302,0.633,0.375,0.122,0.456,0.173,0.309,0.303,0.315,0.316,0.469,0.308,0.107,0.369,0.128,0.284,0.703,0.145,0.368,0.147
f_min.final_model.000.05.det_cont.csv,0.479,0.562,0.152,0.412,0.596,0.274,0.273,0.472,0.230,0.512,0.300,0.162,0.000,0.097,0.700,0.327,0.013,0.617,0.455,0.451,0.281,0.327,0.327,0.000,0.784,0.187,0.553,0.254,0.375
f_min.final_model.000.06.det_cont.csv,0.074,0.152,0.415,0.333,0.197,0.508,0.246,0.288,0.379,0.182,0.516,0.418,0.173,0.532,0.105,0.328,0.319,0.195,0.185,0.364,0.167,0.060,0.349,0.120,0.188,0.694,0.103,0.493,0.155
f_min.final_model.000.07.det_cont.csv,0.412,0.188,0.426,0.352,0.246,0.176,0.821,0.179,0.152,0.145,0.215,0.379,0.000,0.176,0.380,0.628,0.159,0.242,0.110,0.364,0.078,0.233,0.228,0.013,0.264,0.250,0.277,0.466,0.595
f_min.final_model.000.08.det_cont.csv,0.469,0.689,0.132,0.177,0.520,0.194,0.291,0.339,0.118,0.400,0.179,0.127,0.000,0.053,0.438,0.296,0.013,0.400,0.421,0.230,0.169,0.805,0.186,0.000,0.396,0.111,0.395,0.214,0.288
f_min.final_model.000.09.det_cont.csv,0.255,0.490,0.138,0.429,0.521,0.510,0.172,0.767,0.404,0.667,0.520,0.116,0.000,0.222,0.320,0.196,0.055,0.510,0.560,0.532,0.429,0.224,0.457,0.000,0.488,0.279,0.295,0.206,0.143
f_min.final_model.000.10.det_cont.csv,0.423,0.733,0.113,0.316,0.814,0.344,0.259,0.558,0.279,0.477,0.350,0.093,0.000,0.108,0.511,0.263,0.012,0.681,0.596,0.426,0.308,0.462,0.358,0.000,0.643,0.195,0.442,0.208,0.255
f_min.final_model.000.11.det_cont.csv,0.000,0.060,0.091,0.133,0.092,0.293,0.015,0.138,0.315,0.055,0.213,0.119,0.545,0.339,0.000,0.048,0.154,0.125,0.118,0.111,0.147,0.000,0.182,0.217,0.069,0.250,0.019,0.231,0.000
f_min.final_model.000.12.det_cont.csv,0.041,0.174,0.108,0.368,0.266,0.417,0.134,0.424,0.800,0.214,0.400,0.090,0.300,0.518,0.088,0.136,0.049,0.262,0.303,0.379,0.313,0.053,0.562,0.037,0.220,0.301,0.083,0.268,0.043
f_min.final_model.000.13.det_cont.csv,0.385,0.709,0.080,0.300,0.593,0.307,0.171,0.565,0.237,0.446,0.311,0.077,0.011,0.126,0.381,0.173,0.000,0.610,0.737,0.329,0.403,0.586,0.313,0.021,0.441,0.187,0.322,0.157,0.197
f_min.final_model.000.14.det_cont.csv,0.465,0.218,0.333,0.362,0.264,0.164,0.632,0.186,0.155,0.174,0.167,0.291,0.000,0.092,0.463,0.605,0.076,0.283,0.108,0.347,0.072,0.275,0.245,0.000,0.318,0.174,0.378,0.407,0.526
f_min.final_model.000.15.det_cont.csv,0.590,0.467,0.117,0.167,0.535,0.186,0.326,0.302,0.100,0.359,0.169,0.129,0.000,0.014,0.686,0.277,0.000,0.489,0.291,0.226,0.159,0.488,0.176,0.000,0.462,0.081,0.515,0.230,0.462
f_min.final_model.000.16.det_cont.csv,0.071,0.188,0.352,0.438,0.267,0.523,0.216,0.400,0.508,0.224,0.556,0.303,0.136,0.571,0.128,0.290,0.253,0.280,0.299,0.446,0.308,0.057,0.459,0.102,0.229,0.677,0.082,0.351,0.117
f_min.final_model.000.17.det_cont.csv,0.000,0.027,0.083,0.000,0.000,0.000,0.014,0.000,0.041,0.000,0.000,0.110,0.213,0.025,0.000,0.014,0.306,0.000,0.038,0.000,0.077,0.087,0.000,0.549,0.000,0.046,0.000,0.012,0.015
f_min.final_model.000.18.det_cont.csv,0.219,0.242,0.277,0.681,0.390,0.365,0.400,0.466,0.464,0.232,0.518,0.246,0.068,0.365,0.293,0.382,0.089,0.407,0.318,0.620,0.309,0.143,0.727,0.000,0.431,0.352,0.245,0.422,0.281
f_min.final_model.000.19.det_cont.csv,0.055,0.000,0.519,0.099,0.013,0.133,0.188,0.037,0.052,0.015,0.135,0.491,0.200,0.232,0.028,0.210,0.848,0.000,0.012,0.111,0.023,0.000,0.042,0.456,0.000,0.357,0.016,0.200,0.143
f_min.final_model.000.20.det_cont.csv,0.056,0.000,0.481,0.086,0.000,0.122,0.156,0.025,0.026,0.015,0.123,0.509,0.188,0.203,0.029,0.159,0.804,0.000,0.000,0.083,0.000,0.000,0.014,0.473,0.000,0.310,0.016,0.173,0.129
f_min.final_model.000.21.det_cont.csv,0.030,0.014,0.028,0.045,0.014,0.027,0.000,0.056,0.059,0.017,0.042,0.027,0.302,0.056,0.016,0.000,0.086,0.014,0.069,0.014,0.254,0.061,0.031,0.370,0.016,0.012,0.018,0.000,0.000
f_min.final_model.000.22.det_cont.csv,0.014,0.013,0.085,0.074,0.027,0.176,0.000,0.082,0.206,0.016,0.145,0.096,0.659,0.270,0.015,0.029,0.127,0.041,0.052,0.027,0.169,0.000,0.111,0.238,0.015,0.125,0.017,0.149,0.000
f_min.final_model.000.23.det_cont.csv,0.167,0.080,0.822,0.279,0.095,0.214,0.382,0.120,0.110,0.097,0.254,0.809,0.147,0.232,0.156,0.389,0.545,0.093,0.049,0.270,0.035,0.097,0.154,0.258,0.143,0.462,0.140,0.385,0.263
f_min.final_model.000.24.det_cont.csv,0.014,0.100,0.068,0.213,0.132,0.350,0.014,0.194,0.375,0.103,0.250,0.095,0.542,0.397,0.045,0.029,0.125,0.164,0.171,0.152,0.235,0.000,0.268,0.179,0.115,0.247,0.052,0.229,0.000
f_min.final_model.000.25.det_cont.csv,0.432,0.155,0.360,0.306,0.196,0.076,0.590,0.111,0.063,0.102,0.129,0.365,0.000,0.109,0.395,0.525,0.145,0.193,0.075,0.245,0.028,0.204,0.151,0.030,0.261,0.191,0.342,0.407,0.706
f_min.final_model.000.26.det_cont.csv,0.273,0.467,0.099,0.308,0.492,0.353,0.137,0.596,0.275,0.500,0.379,0.070,0.012,0.179,0.266,0.155,0.022,0.483,0.691,0.381,0.532,0.365,0.344,0.034,0.386,0.229,0.241,0.141,0.113
f_min.final_model.000.27.det_cont.csv,0.281,0.283,0.345,0.762,0.375,0.350,0.500,0.404,0.351,0.280,0.455,0.328,0.000,0.266,0.346,0.449,0.125,0.393,0.281,0.652,0.235,0.136,0.479,0.000,0.447,0.379,0.271,0.433,0.360
f_min.final_model.000.28.det_cont.csv,0.000,0.000,0.114,0.028,0.000,0.141,0.000,0.013,0.203,0.000,0.053,0.157,0.762,0.209,0.000,0.014,0.286,0.013,0.012,0.000,0.050,0.000,0.044,0.411,0.000,0.152,0.000,0.178,0.000
f_min.final_model.000.29.det_cont.csv,0.561,0.259,0.255,0.300,0.308,0.143,0.465,0.203,0.079,0.222,0.145,0.241,0.000,0.059,0.525,0.512,0.075,0.302,0.141,0.288,0.056,0.320,0.170,0.000,0.341,0.123,0.529,0.375,0.686
