 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.457,0.475,0.341,0.196,0.417,0.188,0.375,0.353,0.405,0.190,0.267,0.364,0.381,0.222,0.190,0.314,0.405,0.333,0.069,0.125,0.359,0.308,0.048,0.260,0.068,0.395
f_min.final_model.000.01.det_cont.csv,0.769,0.638,0.453,0.141,0.302,0.119,0.281,0.488,0.375,0.145,0.210,0.258,0.434,0.259,0.148,0.306,0.373,0.529,0.053,0.080,0.614,0.211,0.025,0.209,0.038,0.821
f_min.final_model.000.02.det_cont.csv,0.375,0.682,0.396,0.148,0.535,0.309,0.556,0.419,0.721,0.355,0.333,0.471,0.698,0.186,0.250,0.245,0.634,0.630,0.055,0.200,0.308,0.467,0.026,0.238,0.114,0.333
f_min.final_model.000.03.det_cont.csv,0.153,0.338,0.182,0.403,0.407,0.369,0.500,0.147,0.400,0.683,0.391,0.614,0.324,0.261,0.672,0.164,0.217,0.278,0.343,0.583,0.133,0.407,0.329,0.508,0.610,0.118
f_min.final_model.000.04.det_cont.csv,0.280,0.500,0.263,0.172,0.488,0.373,0.889,0.311,0.500,0.439,0.373,0.622,0.511,0.193,0.354,0.180,0.413,0.460,0.087,0.333,0.245,0.455,0.099,0.288,0.226,0.222
f_min.final_model.000.05.det_cont.csv,0.177,0.350,0.157,0.167,0.352,0.519,0.453,0.193,0.446,0.444,0.339,0.577,0.404,0.100,0.386,0.115,0.276,0.367,0.091,0.491,0.154,0.521,0.101,0.328,0.328,0.136
f_min.final_model.000.06.det_cont.csv,0.179,0.345,0.213,0.321,0.535,0.500,0.429,0.109,0.451,0.556,0.674,0.389,0.352,0.373,0.452,0.298,0.241,0.271,0.185,0.418,0.133,0.610,0.159,0.418,0.345,0.153
f_min.final_model.000.07.det_cont.csv,0.100,0.121,0.121,0.750,0.245,0.161,0.228,0.034,0.121,0.424,0.263,0.316,0.090,0.373,0.552,0.220,0.081,0.071,0.571,0.418,0.079,0.200,0.538,0.472,0.444,0.097
f_min.final_model.000.08.det_cont.csv,0.320,0.542,0.298,0.129,0.467,0.412,0.667,0.326,0.644,0.448,0.412,0.596,0.659,0.148,0.343,0.173,0.457,0.531,0.055,0.322,0.308,0.610,0.053,0.279,0.182,0.259
f_min.final_model.000.09.det_cont.csv,0.072,0.155,0.065,0.444,0.233,0.290,0.322,0.030,0.206,0.533,0.356,0.456,0.125,0.258,0.633,0.131,0.056,0.107,0.441,0.623,0.041,0.276,0.443,0.564,0.755,0.041
f_min.final_model.000.10.det_cont.csv,0.500,0.543,0.479,0.218,0.500,0.211,0.340,0.526,0.543,0.227,0.327,0.333,0.522,0.367,0.225,0.450,0.524,0.412,0.104,0.136,0.327,0.370,0.041,0.293,0.071,0.477
f_min.final_model.000.11.det_cont.csv,0.490,0.680,0.377,0.111,0.407,0.344,0.429,0.420,0.680,0.362,0.390,0.393,0.729,0.212,0.235,0.246,0.481,0.635,0.036,0.222,0.345,0.434,0.011,0.222,0.143,0.472
f_min.final_model.000.12.det_cont.csv,0.381,0.375,0.535,0.192,0.415,0.103,0.240,0.514,0.435,0.152,0.280,0.241,0.383,0.378,0.139,0.514,0.553,0.314,0.131,0.045,0.277,0.184,0.014,0.228,0.045,0.463
f_min.final_model.000.13.det_cont.csv,0.600,0.636,0.412,0.097,0.362,0.186,0.388,0.553,0.500,0.224,0.207,0.327,0.651,0.214,0.158,0.255,0.585,0.553,0.027,0.101,0.435,0.306,0.000,0.152,0.041,0.535
