 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv,model.000.25.det_cont.csv,model.000.26.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.447,0.818,0.213,0.394,0.153,0.140,0.567,0.250,0.452,0.433,0.000,0.270,0.107,0.240,0.105,0.000,0.116,0.314,0.417,0.000,0.260,0.154,0.235,0.095,0.167,0.135,0.389
f_min.final_model.000.01.det_cont.csv,0.780,0.415,0.136,0.422,0.117,0.087,0.413,0.153,0.575,0.419,0.065,0.512,0.067,0.194,0.066,0.000,0.082,0.185,0.568,0.027,0.528,0.099,0.174,0.067,0.523,0.085,0.744
f_min.final_model.000.02.det_cont.csv,0.522,0.528,0.143,0.298,0.221,0.161,0.722,0.300,0.500,0.487,0.000,0.442,0.185,0.426,0.238,0.000,0.286,0.488,0.571,0.000,0.368,0.210,0.345,0.220,0.185,0.156,0.327
f_min.final_model.000.03.det_cont.csv,0.225,0.263,0.508,0.130,0.695,0.648,0.362,0.464,0.149,0.210,0.000,0.145,0.621,0.516,0.532,0.068,0.311,0.444,0.203,0.034,0.131,0.643,0.583,0.182,0.052,0.492,0.108
f_min.final_model.000.04.det_cont.csv,0.333,0.432,0.228,0.180,0.328,0.296,0.538,0.400,0.289,0.366,0.000,0.277,0.293,0.442,0.333,0.000,0.298,0.686,0.362,0.000,0.226,0.352,0.520,0.255,0.127,0.263,0.212
f_min.final_model.000.05.det_cont.csv,0.262,0.265,0.215,0.097,0.343,0.317,0.408,0.263,0.175,0.250,0.000,0.190,0.377,0.826,0.545,0.169,0.489,0.388,0.237,0.000,0.149,0.323,0.635,0.388,0.060,0.421,0.125
f_min.final_model.000.06.det_cont.csv,0.228,0.375,0.333,0.196,0.431,0.385,0.378,0.806,0.154,0.160,0.000,0.088,0.400,0.375,0.418,0.016,0.400,0.564,0.179,0.000,0.147,0.442,0.418,0.220,0.016,0.423,0.140
f_min.final_model.000.07.det_cont.csv,0.094,0.196,0.846,0.130,0.566,0.600,0.148,0.354,0.053,0.074,0.016,0.000,0.453,0.185,0.300,0.069,0.105,0.196,0.065,0.106,0.068,0.630,0.279,0.052,0.000,0.396,0.102
f_min.final_model.000.08.det_cont.csv,0.400,0.447,0.180,0.196,0.258,0.220,0.590,0.327,0.364,0.450,0.000,0.319,0.283,0.571,0.322,0.033,0.370,0.488,0.435,0.000,0.279,0.271,0.500,0.298,0.123,0.233,0.250
f_min.final_model.000.09.det_cont.csv,0.083,0.145,0.569,0.062,0.750,0.860,0.148,0.404,0.030,0.048,0.000,0.014,0.667,0.349,0.509,0.111,0.268,0.278,0.042,0.052,0.024,0.729,0.458,0.169,0.000,0.608,0.043
f_min.final_model.000.10.det_cont.csv,0.595,0.625,0.190,0.526,0.176,0.131,0.639,0.292,0.583,0.375,0.000,0.405,0.138,0.298,0.136,0.000,0.176,0.289,0.500,0.000,0.389,0.161,0.230,0.094,0.271,0.164,0.476
f_min.final_model.000.11.det_cont.csv,0.667,0.383,0.108,0.340,0.224,0.155,0.532,0.293,0.522,0.417,0.000,0.500,0.192,0.403,0.239,0.014,0.281,0.392,0.551,0.000,0.419,0.181,0.354,0.224,0.298,0.167,0.415
f_min.final_model.000.12.det_cont.csv,0.442,0.424,0.123,0.710,0.071,0.049,0.421,0.188,0.486,0.351,0.000,0.385,0.030,0.169,0.029,0.000,0.038,0.178,0.487,0.000,0.429,0.081,0.148,0.082,0.302,0.065,0.462
f_min.final_model.000.13.det_cont.csv,0.659,0.395,0.094,0.439,0.125,0.061,0.579,0.167,0.611,0.474,0.034,0.667,0.087,0.293,0.118,0.000,0.130,0.283,0.829,0.000,0.520,0.106,0.226,0.135,0.378,0.059,0.537
f_min.final_model.000.14.det_cont.csv,0.375,0.378,0.162,0.153,0.324,0.234,0.468,0.333,0.314,0.413,0.000,0.327,0.292,0.527,0.371,0.045,0.400,0.545,0.352,0.000,0.250,0.262,0.518,0.283,0.164,0.286,0.241
f_min.final_model.000.15.det_cont.csv,0.055,0.127,0.339,0.030,0.429,0.491,0.131,0.412,0.015,0.016,0.000,0.015,0.556,0.500,0.635,0.255,0.489,0.259,0.014,0.013,0.000,0.414,0.518,0.360,0.000,0.688,0.014
f_min.final_model.000.16.det_cont.csv,0.585,0.316,0.081,0.647,0.026,0.015,0.267,0.111,0.571,0.359,0.018,0.500,0.000,0.091,0.000,0.000,0.000,0.077,0.525,0.000,0.622,0.029,0.074,0.018,0.553,0.030,0.714
f_min.final_model.000.17.det_cont.csv,0.133,0.148,0.500,0.027,0.607,0.642,0.203,0.356,0.056,0.090,0.000,0.069,0.804,0.460,0.603,0.116,0.368,0.333,0.095,0.060,0.057,0.667,0.632,0.226,0.000,0.508,0.039
