 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.029,0.057,0.000,0.164,0.072,0.200,0.000,0.167,0.276,0.034,0.185,0.000,0.291,0.300,0.015,0.000,0.000,0.119,0.145,0.090,0.373,0.029,0.193,0.134,0.066,0.100,0.036,0.092,0.000
f_min.final_model.000.01.det_cont.csv,0.568,0.404,0.138,0.148,0.327,0.085,0.308,0.169,0.028,0.176,0.070,0.149,0.000,0.013,0.467,0.288,0.027,0.298,0.300,0.161,0.096,0.614,0.098,0.027,0.306,0.048,0.462,0.224,0.455
f_min.final_model.000.02.det_cont.csv,0.000,0.116,0.000,0.233,0.149,0.227,0.014,0.250,0.481,0.103,0.250,0.000,0.345,0.397,0.045,0.014,0.000,0.182,0.188,0.188,0.355,0.000,0.340,0.097,0.133,0.167,0.034,0.132,0.000
f_min.final_model.000.03.det_cont.csv,0.043,0.041,0.000,0.088,0.041,0.125,0.000,0.111,0.242,0.032,0.096,0.000,0.345,0.227,0.014,0.000,0.000,0.068,0.123,0.041,0.333,0.042,0.109,0.162,0.030,0.058,0.034,0.089,0.000
f_min.final_model.000.04.det_cont.csv,0.177,0.100,0.857,0.276,0.116,0.266,0.440,0.159,0.149,0.123,0.311,0.723,0.088,0.306,0.167,0.479,0.473,0.114,0.079,0.310,0.077,0.103,0.203,0.179,0.153,0.517,0.151,0.433,0.308
f_min.final_model.000.05.det_cont.csv,0.186,0.276,0.000,0.246,0.233,0.200,0.000,0.375,0.156,0.245,0.222,0.000,0.060,0.147,0.155,0.015,0.000,0.271,0.386,0.177,0.473,0.200,0.214,0.056,0.204,0.100,0.184,0.025,0.048
f_min.final_model.000.06.det_cont.csv,0.015,0.127,0.000,0.259,0.145,0.271,0.015,0.233,0.511,0.094,0.254,0.000,0.360,0.415,0.067,0.016,0.000,0.200,0.188,0.186,0.238,0.000,0.327,0.043,0.148,0.149,0.058,0.143,0.000
f_min.final_model.000.07.det_cont.csv,0.000,0.013,0.125,0.000,0.000,0.012,0.014,0.000,0.013,0.000,0.000,0.151,0.185,0.037,0.000,0.014,0.355,0.000,0.037,0.000,0.087,0.068,0.000,0.673,0.000,0.080,0.000,0.000,0.014
f_min.final_model.000.08.det_cont.csv,0.121,0.322,0.082,0.364,0.418,0.439,0.106,0.500,0.592,0.383,0.421,0.051,0.172,0.414,0.246,0.108,0.012,0.463,0.482,0.426,0.545,0.134,0.532,0.000,0.408,0.296,0.170,0.192,0.062
f_min.final_model.000.09.det_cont.csv,0.197,0.055,0.773,0.298,0.085,0.209,0.440,0.111,0.116,0.085,0.250,0.723,0.088,0.266,0.167,0.449,0.473,0.068,0.051,0.267,0.037,0.071,0.145,0.197,0.133,0.444,0.130,0.433,0.333
f_min.final_model.000.10.det_cont.csv,0.100,0.286,0.123,0.345,0.350,0.604,0.070,0.448,0.528,0.308,0.527,0.133,0.238,0.466,0.194,0.103,0.076,0.390,0.387,0.379,0.419,0.113,0.442,0.037,0.358,0.377,0.140,0.324,0.059
f_min.final_model.000.11.det_cont.csv,0.000,0.049,0.145,0.000,0.000,0.023,0.025,0.000,0.000,0.000,0.000,0.169,0.153,0.047,0.000,0.013,0.364,0.000,0.071,0.000,0.107,0.135,0.000,0.600,0.000,0.099,0.000,0.022,0.027
f_min.final_model.000.12.det_cont.csv,0.172,0.412,0.058,0.438,0.500,0.434,0.081,0.596,0.385,0.475,0.471,0.056,0.045,0.226,0.275,0.082,0.000,0.622,0.540,0.420,0.519,0.167,0.467,0.000,0.465,0.265,0.217,0.125,0.086
f_min.final_model.000.13.det_cont.csv,0.000,0.070,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.090,0.013,0.000,0.000,0.270,0.000,0.095,0.000,0.137,0.175,0.000,0.444,0.000,0.034,0.000,0.000,0.000
f_min.final_model.000.14.det_cont.csv,0.107,0.130,0.000,0.091,0.087,0.096,0.012,0.169,0.192,0.088,0.098,0.000,0.254,0.182,0.053,0.000,0.000,0.114,0.211,0.049,0.382,0.181,0.095,0.127,0.054,0.031,0.076,0.055,0.013
f_min.final_model.000.15.det_cont.csv,0.000,0.014,0.041,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.053,0.220,0.013,0.000,0.000,0.197,0.000,0.053,0.000,0.155,0.090,0.000,0.510,0.000,0.023,0.000,0.012,0.000
f_min.final_model.000.16.det_cont.csv,0.169,0.250,0.000,0.132,0.159,0.120,0.000,0.277,0.143,0.175,0.153,0.000,0.116,0.151,0.106,0.014,0.012,0.157,0.328,0.097,0.426,0.258,0.138,0.079,0.127,0.056,0.164,0.011,0.044
f_min.final_model.000.17.det_cont.csv,0.027,0.080,0.281,0.279,0.141,0.466,0.206,0.235,0.446,0.133,0.424,0.269,0.279,0.700,0.028,0.250,0.269,0.139,0.162,0.290,0.205,0.013,0.316,0.078,0.091,0.508,0.016,0.452,0.091
f_min.final_model.000.18.det_cont.csv,0.000,0.000,0.206,0.000,0.000,0.113,0.014,0.000,0.119,0.000,0.054,0.234,0.600,0.179,0.000,0.045,0.362,0.000,0.000,0.000,0.025,0.000,0.015,0.510,0.000,0.171,0.000,0.151,0.015
f_min.final_model.000.19.det_cont.csv,0.000,0.000,0.108,0.015,0.000,0.136,0.000,0.000,0.183,0.000,0.057,0.136,0.789,0.210,0.000,0.032,0.210,0.000,0.000,0.000,0.040,0.000,0.032,0.327,0.000,0.133,0.000,0.194,0.000
f_min.final_model.000.20.det_cont.csv,0.000,0.000,0.071,0.000,0.000,0.068,0.000,0.000,0.072,0.000,0.027,0.099,0.392,0.068,0.000,0.015,0.164,0.000,0.039,0.000,0.141,0.075,0.000,0.462,0.000,0.060,0.000,0.092,0.000
f_min.final_model.000.21.det_cont.csv,0.561,0.236,0.302,0.275,0.283,0.125,0.575,0.183,0.079,0.196,0.145,0.309,0.000,0.059,0.564,0.442,0.091,0.278,0.141,0.288,0.071,0.294,0.170,0.000,0.341,0.139,0.444,0.375,0.735
f_min.final_model.000.22.det_cont.csv,0.000,0.000,0.113,0.048,0.000,0.200,0.000,0.044,0.236,0.000,0.109,0.125,0.711,0.263,0.000,0.033,0.180,0.030,0.028,0.015,0.071,0.000,0.088,0.250,0.000,0.171,0.000,0.242,0.000
f_min.final_model.000.23.det_cont.csv,0.532,0.583,0.116,0.123,0.407,0.143,0.246,0.254,0.070,0.286,0.129,0.111,0.000,0.000,0.438,0.250,0.000,0.375,0.373,0.172,0.122,0.805,0.129,0.013,0.340,0.071,0.463,0.181,0.340
f_min.final_model.000.24.det_cont.csv,0.029,0.014,0.027,0.043,0.014,0.026,0.000,0.054,0.071,0.016,0.040,0.026,0.286,0.053,0.015,0.000,0.068,0.013,0.081,0.014,0.281,0.090,0.030,0.328,0.015,0.011,0.017,0.012,0.000
f_min.final_model.000.25.det_cont.csv,0.083,0.211,0.000,0.294,0.232,0.304,0.000,0.358,0.408,0.217,0.358,0.000,0.179,0.327,0.192,0.000,0.000,0.321,0.298,0.259,0.357,0.063,0.340,0.000,0.250,0.153,0.128,0.099,0.017
