 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.474,0.514,0.228,0.417,0.250,0.293,0.178,0.432,0.130,0.562,0.370,0.452,0.417,0.333,0.091,0.333,0.133,0.341,0.133,0.424
f_min.final_model.000.01.det_cont.csv,0.474,1.000,0.420,0.173,0.302,0.200,0.183,0.109,0.340,0.082,0.545,0.528,0.400,0.568,0.322,0.054,0.610,0.089,0.281,0.095,0.354
f_min.final_model.000.02.det_cont.csv,0.514,0.420,1.000,0.349,0.571,0.415,0.360,0.115,0.659,0.152,0.585,0.660,0.429,0.571,0.562,0.136,0.312,0.221,0.273,0.269,0.319
f_min.final_model.000.03.det_cont.csv,0.228,0.173,0.349,1.000,0.431,0.508,0.545,0.491,0.417,0.661,0.262,0.357,0.167,0.239,0.438,0.460,0.081,0.613,0.381,0.258,0.179
f_min.final_model.000.04.det_cont.csv,0.417,0.302,0.571,0.431,1.000,0.431,0.467,0.200,0.650,0.276,0.370,0.434,0.261,0.391,0.622,0.237,0.173,0.328,0.259,0.306,0.200
f_min.final_model.000.05.det_cont.csv,0.250,0.200,0.415,0.508,0.431,1.000,0.364,0.190,0.531,0.339,0.286,0.417,0.175,0.281,0.547,0.439,0.094,0.475,0.203,0.521,0.113
f_min.final_model.000.06.det_cont.csv,0.293,0.183,0.360,0.545,0.467,0.364,1.000,0.333,0.447,0.382,0.354,0.393,0.224,0.222,0.442,0.389,0.125,0.407,0.429,0.320,0.265
f_min.final_model.000.07.det_cont.csv,0.178,0.109,0.115,0.491,0.200,0.190,0.333,1.000,0.133,0.583,0.161,0.083,0.111,0.065,0.136,0.293,0.068,0.431,0.458,0.065,0.216
f_min.final_model.000.08.det_cont.csv,0.432,0.340,0.659,0.417,0.650,0.531,0.447,0.133,1.000,0.226,0.413,0.560,0.304,0.467,0.667,0.230,0.235,0.339,0.228,0.375,0.216
f_min.final_model.000.09.det_cont.csv,0.130,0.082,0.152,0.661,0.276,0.339,0.382,0.583,0.226,1.000,0.123,0.147,0.046,0.057,0.258,0.509,0.014,0.625,0.368,0.194,0.129
f_min.final_model.000.10.det_cont.csv,0.562,0.545,0.585,0.262,0.370,0.286,0.354,0.161,0.413,0.123,1.000,0.531,0.583,0.537,0.358,0.108,0.500,0.143,0.426,0.145,0.513
f_min.final_model.000.11.det_cont.csv,0.370,0.528,0.660,0.357,0.434,0.417,0.393,0.083,0.560,0.147,0.531,1.000,0.400,0.617,0.604,0.164,0.404,0.240,0.231,0.310,0.309
f_min.final_model.000.12.det_cont.csv,0.452,0.400,0.429,0.167,0.261,0.175,0.224,0.111,0.304,0.046,0.583,0.400,1.000,0.487,0.241,0.015,0.528,0.056,0.378,0.115,0.742
f_min.final_model.000.13.det_cont.csv,0.417,0.568,0.571,0.239,0.391,0.281,0.222,0.065,0.467,0.057,0.537,0.617,0.487,1.000,0.404,0.043,0.488,0.125,0.214,0.185,0.364
f_min.final_model.000.14.det_cont.csv,0.333,0.322,0.562,0.438,0.622,0.547,0.442,0.136,0.667,0.258,0.358,0.604,0.241,0.404,1.000,0.281,0.207,0.364,0.203,0.377,0.169
f_min.final_model.000.15.det_cont.csv,0.091,0.054,0.136,0.460,0.237,0.439,0.389,0.293,0.230,0.509,0.108,0.164,0.015,0.043,0.281,1.000,0.000,0.525,0.305,0.377,0.045
f_min.final_model.000.16.det_cont.csv,0.333,0.610,0.312,0.081,0.173,0.094,0.125,0.068,0.235,0.014,0.500,0.404,0.528,0.488,0.207,0.000,1.000,0.013,0.275,0.052,0.462
f_min.final_model.000.17.det_cont.csv,0.133,0.089,0.221,0.613,0.328,0.475,0.407,0.431,0.339,0.625,0.143,0.240,0.056,0.125,0.364,0.525,0.013,1.000,0.308,0.286,0.085
f_min.final_model.000.18.det_cont.csv,0.341,0.281,0.273,0.381,0.259,0.203,0.429,0.458,0.228,0.368,0.426,0.231,0.378,0.214,0.203,0.305,0.275,0.308,1.000,0.097,0.455
f_min.final_model.000.19.det_cont.csv,0.133,0.095,0.269,0.258,0.306,0.521,0.320,0.065,0.375,0.194,0.145,0.310,0.115,0.185,0.377,0.377,0.052,0.286,0.097,1.000,0.071
f_min.final_model.000.20.det_cont.csv,0.424,0.354,0.319,0.179,0.200,0.113,0.265,0.216,0.216,0.129,0.513,0.309,0.742,0.364,0.169,0.045,0.462,0.085,0.455,0.071,1.000
