 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv,finalmodel.000.20.det_cont.csv,finalmodel.000.21.det_cont.csv,finalmodel.000.22.det_cont.csv,finalmodel.000.23.det_cont.csv,finalmodel.000.24.det_cont.csv,finalmodel.000.25.det_cont.csv,finalmodel.000.26.det_cont.csv,finalmodel.000.27.det_cont.csv,finalmodel.000.28.det_cont.csv,finalmodel.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.034,0.479,0.063,0.255,0.175,0.000,0.167,0.048,0.268,0.387,0.245,0.070,0.304,0.395,0.241,0.226,0.196,0.078,0.048,0.244,0.030,0.000,0.419,0.462,0.019,0.632,0.091,0.404,0.119,0.088
f_min.final_model.000.01.det_cont.csv,0.315,0.473,0.167,0.850,0.556,0.159,0.500,0.288,0.800,0.280,0.689,0.365,0.407,0.061,0.426,0.471,0.651,0.386,0.103,0.000,0.000,0.000,0.044,0.246,0.286,0.263,0.250,0.490,0.206,0.412
f_min.final_model.000.02.det_cont.csv,0.125,0.242,0.814,0.119,0.076,0.423,0.241,0.132,0.139,0.406,0.100,0.108,0.377,0.029,0.345,0.152,0.180,0.111,0.727,0.081,0.176,0.027,0.059,0.279,0.231,0.074,0.340,0.185,0.481,0.141
f_min.final_model.000.03.det_cont.csv,0.029,0.038,0.130,0.000,0.000,0.042,0.000,0.000,0.000,0.090,0.000,0.000,0.050,0.092,0.000,0.000,0.000,0.039,0.118,0.136,0.667,0.604,0.075,0.061,0.000,0.000,0.000,0.000,0.013,0.000
f_min.final_model.000.04.det_cont.csv,0.031,0.000,0.043,0.000,0.013,0.000,0.000,0.029,0.000,0.022,0.029,0.000,0.000,0.179,0.000,0.000,0.000,0.087,0.029,0.192,0.596,0.756,0.155,0.012,0.000,0.015,0.000,0.000,0.000,0.000
f_min.final_model.000.05.det_cont.csv,0.063,0.351,0.000,0.321,0.231,0.000,0.192,0.075,0.351,0.296,0.358,0.155,0.254,0.404,0.237,0.246,0.264,0.119,0.000,0.265,0.027,0.043,0.340,0.390,0.035,0.511,0.082,0.440,0.029,0.153
f_min.final_model.000.06.det_cont.csv,0.000,0.188,0.000,0.095,0.082,0.000,0.109,0.109,0.118,0.167,0.109,0.031,0.068,0.477,0.108,0.129,0.065,0.057,0.000,0.298,0.088,0.145,0.571,0.227,0.000,0.396,0.048,0.224,0.029,0.000
f_min.final_model.000.07.det_cont.csv,0.439,0.095,0.226,0.216,0.286,0.525,0.256,0.488,0.211,0.050,0.208,0.553,0.092,0.000,0.250,0.432,0.255,0.264,0.260,0.000,0.000,0.000,0.000,0.014,0.700,0.000,0.415,0.123,0.362,0.429
f_min.final_model.000.08.det_cont.csv,0.909,0.141,0.150,0.269,0.520,0.300,0.261,0.478,0.281,0.048,0.333,0.500,0.119,0.000,0.190,0.426,0.312,0.511,0.136,0.000,0.000,0.062,0.000,0.026,0.486,0.032,0.265,0.172,0.259,0.488
f_min.final_model.000.09.det_cont.csv,0.111,0.356,0.689,0.177,0.092,0.286,0.226,0.056,0.194,0.484,0.136,0.061,0.491,0.045,0.267,0.121,0.228,0.130,0.510,0.102,0.182,0.027,0.061,0.393,0.127,0.145,0.232,0.210,0.415,0.127
