 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.029,0.568,0.000,0.043,0.177,0.186,0.015,0.000,0.121,0.197,0.100,0.000,0.172,0.000,0.107,0.000,0.169,0.027,0.000,0.000,0.000,0.561,0.000,0.532,0.029,0.083
f_min.final_model.000.01.det_cont.csv,0.057,0.404,0.116,0.041,0.100,0.276,0.127,0.013,0.322,0.055,0.286,0.049,0.412,0.070,0.130,0.014,0.250,0.080,0.000,0.000,0.000,0.236,0.000,0.583,0.014,0.211
f_min.final_model.000.02.det_cont.csv,0.000,0.138,0.000,0.000,0.857,0.000,0.000,0.125,0.082,0.773,0.123,0.145,0.058,0.069,0.000,0.041,0.000,0.281,0.206,0.108,0.071,0.302,0.113,0.116,0.027,0.000
f_min.final_model.000.03.det_cont.csv,0.164,0.148,0.233,0.088,0.276,0.246,0.259,0.000,0.364,0.298,0.345,0.000,0.438,0.000,0.091,0.000,0.132,0.279,0.000,0.015,0.000,0.275,0.048,0.123,0.043,0.294
f_min.final_model.000.04.det_cont.csv,0.072,0.327,0.149,0.041,0.116,0.233,0.145,0.000,0.418,0.085,0.350,0.000,0.500,0.000,0.087,0.000,0.159,0.141,0.000,0.000,0.000,0.283,0.000,0.407,0.014,0.232
f_min.final_model.000.05.det_cont.csv,0.200,0.085,0.227,0.125,0.266,0.200,0.271,0.012,0.439,0.209,0.604,0.023,0.434,0.000,0.096,0.000,0.120,0.466,0.113,0.136,0.068,0.125,0.200,0.143,0.026,0.304
f_min.final_model.000.06.det_cont.csv,0.000,0.308,0.014,0.000,0.440,0.000,0.015,0.014,0.106,0.440,0.070,0.025,0.081,0.000,0.012,0.000,0.000,0.206,0.014,0.000,0.000,0.575,0.000,0.246,0.000,0.000
f_min.final_model.000.07.det_cont.csv,0.167,0.169,0.250,0.111,0.159,0.375,0.233,0.000,0.500,0.111,0.448,0.000,0.596,0.000,0.169,0.000,0.277,0.235,0.000,0.000,0.000,0.183,0.044,0.254,0.054,0.358
f_min.final_model.000.08.det_cont.csv,0.276,0.028,0.481,0.242,0.149,0.156,0.511,0.013,0.592,0.116,0.528,0.000,0.385,0.000,0.192,0.042,0.143,0.446,0.119,0.183,0.072,0.079,0.236,0.070,0.071,0.408
f_min.final_model.000.09.det_cont.csv,0.034,0.176,0.103,0.032,0.123,0.245,0.094,0.000,0.383,0.085,0.308,0.000,0.475,0.000,0.088,0.000,0.175,0.133,0.000,0.000,0.000,0.196,0.000,0.286,0.016,0.217
f_min.final_model.000.10.det_cont.csv,0.185,0.070,0.250,0.096,0.311,0.222,0.254,0.000,0.421,0.250,0.527,0.000,0.471,0.000,0.098,0.000,0.153,0.424,0.054,0.057,0.027,0.145,0.109,0.129,0.040,0.358
f_min.final_model.000.11.det_cont.csv,0.000,0.149,0.000,0.000,0.723,0.000,0.000,0.151,0.051,0.723,0.133,0.169,0.056,0.081,0.000,0.053,0.000,0.269,0.234,0.136,0.099,0.309,0.125,0.111,0.026,0.000
f_min.final_model.000.12.det_cont.csv,0.291,0.000,0.345,0.345,0.088,0.060,0.360,0.185,0.172,0.088,0.238,0.153,0.045,0.090,0.254,0.220,0.116,0.279,0.600,0.789,0.392,0.000,0.711,0.000,0.286,0.179
f_min.final_model.000.13.det_cont.csv,0.300,0.013,0.397,0.227,0.306,0.147,0.415,0.037,0.414,0.266,0.466,0.047,0.226,0.013,0.182,0.013,0.151,0.700,0.179,0.210,0.068,0.059,0.263,0.000,0.053,0.327
f_min.final_model.000.14.det_cont.csv,0.015,0.467,0.045,0.014,0.167,0.155,0.067,0.000,0.246,0.167,0.194,0.000,0.275,0.000,0.053,0.000,0.106,0.028,0.000,0.000,0.000,0.564,0.000,0.438,0.015,0.192
f_min.final_model.000.15.det_cont.csv,0.000,0.288,0.014,0.000,0.479,0.015,0.016,0.014,0.108,0.449,0.103,0.013,0.082,0.000,0.000,0.000,0.014,0.250,0.045,0.032,0.015,0.442,0.033,0.250,0.000,0.000
