 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.642,0.233,0.136,0.186,0.375,0.302,0.444,0.635,0.383,0.339,0.281,0.200,0.027,0.364,0.349
f_min.final_model.000.01.det_cont.csv,0.455,0.340,0.214,0.286,0.588,0.415,0.614,0.418,0.357,0.263,0.154,0.127,0.078,0.511,0.444
f_min.final_model.000.02.det_cont.csv,0.629,0.114,0.072,0.105,0.229,0.171,0.278,0.571,0.366,0.409,0.500,0.353,0.000,0.203,0.394
f_min.final_model.000.03.det_cont.csv,0.300,0.413,0.347,0.386,0.197,0.237,0.255,0.288,0.254,0.591,0.281,0.438,0.000,0.404,0.434
f_min.final_model.000.04.det_cont.csv,0.281,0.500,0.386,0.474,0.423,0.478,0.600,0.224,0.169,0.250,0.133,0.164,0.051,0.525,0.315
f_min.final_model.000.05.det_cont.csv,0.231,0.000,0.000,0.000,0.157,0.087,0.145,0.322,0.462,0.091,0.103,0.044,0.113,0.115,0.238
f_min.final_model.000.06.det_cont.csv,0.281,0.500,0.346,0.444,0.456,0.426,0.521,0.270,0.200,0.298,0.149,0.217,0.109,0.522,0.455
f_min.final_model.000.07.det_cont.csv,0.475,0.100,0.083,0.090,0.247,0.149,0.266,0.544,0.654,0.344,0.288,0.209,0.026,0.200,0.443
f_min.final_model.000.08.det_cont.csv,0.311,0.396,0.283,0.340,0.558,0.500,0.543,0.279,0.188,0.161,0.042,0.092,0.078,0.581,0.345
f_min.final_model.000.09.det_cont.csv,0.060,0.381,0.553,0.421,0.143,0.467,0.240,0.045,0.031,0.235,0.082,0.216,0.017,0.311,0.169
f_min.final_model.000.10.det_cont.csv,0.092,0.000,0.000,0.000,0.000,0.000,0.016,0.169,0.196,0.086,0.138,0.069,0.091,0.000,0.045
f_min.final_model.000.11.det_cont.csv,0.145,0.000,0.000,0.000,0.067,0.028,0.077,0.242,0.339,0.092,0.121,0.061,0.133,0.063,0.149
f_min.final_model.000.12.det_cont.csv,0.443,0.364,0.246,0.340,0.369,0.317,0.436,0.387,0.355,0.379,0.203,0.254,0.013,0.434,0.686
f_min.final_model.000.13.det_cont.csv,0.474,0.291,0.241,0.288,0.164,0.197,0.230,0.344,0.212,0.810,0.463,0.531,0.000,0.263,0.367
f_min.final_model.000.14.det_cont.csv,0.343,0.013,0.013,0.014,0.083,0.037,0.095,0.375,0.284,0.262,0.545,0.306,0.000,0.068,0.205
