 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.341,0.405,0.176,0.244,0.405,0.286,0.256,0.409,0.180,0.533,0.265,0.167,0.000,0.086,0.405
f_min.final_model.000.01.det_cont.csv,0.460,0.674,0.130,0.194,0.540,0.191,0.286,0.356,0.132,0.422,0.194,0.125,0.000,0.052,0.458
f_min.final_model.000.02.det_cont.csv,0.321,0.574,0.136,0.449,0.644,0.393,0.211,0.604,0.298,0.605,0.400,0.130,0.000,0.147,0.489
f_min.final_model.000.03.det_cont.csv,0.145,0.264,0.438,0.419,0.358,0.583,0.284,0.446,0.400,0.300,0.621,0.397,0.100,0.484,0.217
f_min.final_model.000.04.det_cont.csv,0.214,0.412,0.177,0.468,0.469,0.551,0.218,0.630,0.358,0.595,0.596,0.152,0.000,0.267,0.300
f_min.final_model.000.05.det_cont.csv,0.132,0.306,0.155,0.368,0.350,0.635,0.118,0.474,0.500,0.360,0.556,0.149,0.200,0.441,0.213
f_min.final_model.000.06.det_cont.csv,0.186,0.254,0.339,0.578,0.370,0.418,0.408,0.510,0.510,0.298,0.571,0.279,0.014,0.368,0.241
f_min.final_model.000.07.det_cont.csv,0.129,0.088,0.744,0.246,0.104,0.279,0.408,0.149,0.175,0.130,0.328,0.660,0.109,0.322,0.117
f_min.final_model.000.08.det_cont.csv,0.250,0.510,0.154,0.479,0.574,0.529,0.169,0.711,0.396,0.564,0.540,0.130,0.029,0.258,0.367
f_min.final_model.000.09.det_cont.csv,0.068,0.108,0.482,0.274,0.155,0.458,0.283,0.232,0.302,0.169,0.441,0.458,0.162,0.536,0.071
f_min.final_model.000.10.det_cont.csv,0.457,0.479,0.200,0.333,0.578,0.250,0.404,0.396,0.246,0.450,0.276,0.190,0.000,0.087,0.641
f_min.final_model.000.11.det_cont.csv,0.356,0.615,0.104,0.397,0.787,0.375,0.234,0.611,0.333,0.449,0.403,0.100,0.013,0.173,0.481
f_min.final_model.000.12.det_cont.csv,0.632,0.375,0.175,0.260,0.435,0.186,0.386,0.278,0.100,0.293,0.190,0.207,0.000,0.029,0.735
f_min.final_model.000.13.det_cont.csv,0.417,0.674,0.090,0.255,0.636,0.246,0.218,0.442,0.180,0.372,0.250,0.086,0.000,0.056,0.585
f_min.final_model.000.14.det_cont.csv,0.222,0.446,0.123,0.368,0.558,0.518,0.134,0.750,0.446,0.545,0.585,0.104,0.040,0.288,0.321
