 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.029,0.057,0.000,0.164,0.072,0.200,0.000,0.167,0.276,0.034,0.185,0.000,0.291,0.300,0.015
f_min.final_model.000.01.det_cont.csv,0.568,0.404,0.138,0.148,0.327,0.085,0.308,0.169,0.028,0.176,0.070,0.149,0.000,0.013,0.467
f_min.final_model.000.02.det_cont.csv,0.000,0.116,0.000,0.233,0.149,0.227,0.014,0.250,0.481,0.103,0.250,0.000,0.345,0.397,0.045
f_min.final_model.000.03.det_cont.csv,0.043,0.041,0.000,0.088,0.041,0.125,0.000,0.111,0.242,0.032,0.096,0.000,0.345,0.227,0.014
f_min.final_model.000.04.det_cont.csv,0.177,0.100,0.857,0.276,0.116,0.266,0.440,0.159,0.149,0.123,0.311,0.723,0.088,0.306,0.167
f_min.final_model.000.05.det_cont.csv,0.186,0.276,0.000,0.246,0.233,0.200,0.000,0.375,0.156,0.245,0.222,0.000,0.060,0.147,0.155
f_min.final_model.000.06.det_cont.csv,0.015,0.127,0.000,0.259,0.145,0.271,0.015,0.233,0.511,0.094,0.254,0.000,0.360,0.415,0.067
f_min.final_model.000.07.det_cont.csv,0.000,0.013,0.125,0.000,0.000,0.012,0.014,0.000,0.013,0.000,0.000,0.151,0.185,0.037,0.000
f_min.final_model.000.08.det_cont.csv,0.121,0.322,0.082,0.364,0.418,0.439,0.106,0.500,0.592,0.383,0.421,0.051,0.172,0.414,0.246
f_min.final_model.000.09.det_cont.csv,0.197,0.055,0.773,0.298,0.085,0.209,0.440,0.111,0.116,0.085,0.250,0.723,0.088,0.266,0.167
f_min.final_model.000.10.det_cont.csv,0.100,0.286,0.123,0.345,0.350,0.604,0.070,0.448,0.528,0.308,0.527,0.133,0.238,0.466,0.194
f_min.final_model.000.11.det_cont.csv,0.000,0.049,0.145,0.000,0.000,0.023,0.025,0.000,0.000,0.000,0.000,0.169,0.153,0.047,0.000
f_min.final_model.000.12.det_cont.csv,0.172,0.412,0.058,0.438,0.500,0.434,0.081,0.596,0.385,0.475,0.471,0.056,0.045,0.226,0.275
f_min.final_model.000.13.det_cont.csv,0.000,0.070,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.090,0.013,0.000
f_min.final_model.000.14.det_cont.csv,0.107,0.130,0.000,0.091,0.087,0.096,0.012,0.169,0.192,0.088,0.098,0.000,0.254,0.182,0.053
