 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.208,0.457,0.368,0.469,0.275,0.372,0.410,0.170,0.132,0.302,0.135,0.196,0.019,0.444,0.240
f_min.final_model.000.01.det_cont.csv,0.155,0.408,0.522,0.477,0.297,0.674,0.404,0.111,0.083,0.233,0.085,0.159,0.076,0.400,0.176
f_min.final_model.000.02.det_cont.csv,0.339,0.404,0.314,0.409,0.481,0.609,0.628,0.305,0.210,0.246,0.088,0.148,0.062,0.763,0.400
f_min.final_model.000.03.det_cont.csv,0.655,0.221,0.151,0.197,0.329,0.282,0.403,0.593,0.373,0.443,0.444,0.359,0.024,0.333,0.424
f_min.final_model.000.04.det_cont.csv,0.481,0.333,0.226,0.304,0.500,0.440,0.619,0.471,0.327,0.278,0.161,0.133,0.082,0.477,0.415
f_min.final_model.000.05.det_cont.csv,0.483,0.217,0.121,0.169,0.450,0.328,0.453,0.556,0.491,0.219,0.141,0.132,0.042,0.396,0.400
f_min.final_model.000.06.det_cont.csv,0.463,0.269,0.196,0.265,0.333,0.254,0.400,0.481,0.389,0.449,0.276,0.273,0.000,0.367,0.604
f_min.final_model.000.07.det_cont.csv,0.411,0.138,0.136,0.127,0.096,0.088,0.129,0.328,0.190,0.511,0.762,0.628,0.000,0.098,0.222
f_min.final_model.000.08.det_cont.csv,0.436,0.347,0.241,0.319,0.569,0.480,0.750,0.400,0.316,0.246,0.121,0.111,0.079,0.595,0.481
f_min.final_model.000.09.det_cont.csv,0.526,0.088,0.071,0.077,0.158,0.108,0.200,0.518,0.383,0.436,0.547,0.393,0.000,0.154,0.328
f_min.final_model.000.10.det_cont.csv,0.246,0.575,0.455,0.639,0.305,0.543,0.426,0.194,0.108,0.333,0.127,0.241,0.016,0.600,0.298
f_min.final_model.000.11.det_cont.csv,0.328,0.382,0.351,0.385,0.500,0.680,0.538,0.299,0.250,0.209,0.063,0.127,0.040,0.638,0.403
f_min.final_model.000.12.det_cont.csv,0.127,0.706,0.595,0.636,0.220,0.404,0.292,0.095,0.047,0.260,0.100,0.292,0.034,0.513,0.255
f_min.final_model.000.13.det_cont.csv,0.222,0.488,0.444,0.500,0.345,0.756,0.478,0.172,0.106,0.169,0.059,0.133,0.065,0.512,0.230
f_min.final_model.000.14.det_cont.csv,0.433,0.281,0.233,0.255,0.611,0.473,0.750,0.448,0.390,0.200,0.110,0.100,0.087,0.480,0.424
