 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.250,0.186,0.356,0.764,0.500,0.554,0.509,0.455,0.455,0.571,0.283,0.343,0.180,0.238,0.450
f_min.final_model.000.01.det_cont.csv,0.180,0.132,0.138,0.422,0.161,0.157,0.298,0.721,0.138,0.491,0.183,0.105,0.179,0.091,0.110
f_min.final_model.000.02.det_cont.csv,0.240,0.194,0.185,0.403,0.210,0.151,0.351,0.638,0.167,0.441,0.298,0.160,0.278,0.136,0.151
f_min.final_model.000.03.det_cont.csv,0.389,0.417,0.300,0.139,0.212,0.125,0.204,0.161,0.226,0.090,0.512,0.316,0.676,0.400,0.180
f_min.final_model.000.04.det_cont.csv,0.425,0.415,0.674,0.309,0.429,0.295,0.358,0.125,0.500,0.127,0.605,0.547,0.561,0.556,0.436
f_min.final_model.000.05.det_cont.csv,0.238,0.250,0.175,0.235,0.204,0.072,0.340,0.340,0.155,0.230,0.333,0.203,0.372,0.204,0.121
f_min.final_model.000.06.det_cont.csv,0.155,0.104,0.242,0.678,0.379,0.483,0.414,0.414,0.367,0.667,0.145,0.278,0.088,0.143,0.413
f_min.final_model.000.07.det_cont.csv,0.429,0.773,0.596,0.260,0.404,0.281,0.271,0.103,0.471,0.107,0.600,0.635,0.426,0.698,0.439
f_min.final_model.000.08.det_cont.csv,0.188,0.136,0.358,0.508,0.489,0.549,0.500,0.180,0.500,0.379,0.232,0.390,0.103,0.228,0.612
f_min.final_model.000.09.det_cont.csv,0.385,0.333,0.643,0.410,0.763,0.434,0.408,0.131,0.683,0.222,0.375,0.519,0.245,0.426,0.689
f_min.final_model.000.10.det_cont.csv,0.486,0.795,0.396,0.151,0.275,0.175,0.196,0.117,0.314,0.071,0.561,0.510,0.475,0.585,0.298
f_min.final_model.000.11.det_cont.csv,0.077,0.072,0.246,0.354,0.302,0.560,0.246,0.109,0.365,0.295,0.115,0.266,0.050,0.131,0.345
f_min.final_model.000.12.det_cont.csv,0.154,0.099,0.271,0.333,0.327,0.464,0.415,0.136,0.364,0.277,0.161,0.308,0.063,0.159,0.414
f_min.final_model.000.13.det_cont.csv,0.072,0.045,0.171,0.559,0.261,0.433,0.348,0.413,0.254,0.590,0.089,0.193,0.025,0.074,0.297
f_min.final_model.000.14.det_cont.csv,0.357,0.271,0.600,0.459,0.750,0.519,0.500,0.143,0.714,0.250,0.353,0.547,0.231,0.400,0.756
