 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.029,0.568,0.000,0.043,0.177,0.186,0.015,0.000,0.121,0.197,0.100,0.000,0.172,0.000,0.107
f_min.final_model.000.01.det_cont.csv,0.057,0.404,0.116,0.041,0.100,0.276,0.127,0.013,0.322,0.055,0.286,0.049,0.412,0.070,0.130
f_min.final_model.000.02.det_cont.csv,0.000,0.138,0.000,0.000,0.857,0.000,0.000,0.125,0.082,0.773,0.123,0.145,0.058,0.069,0.000
f_min.final_model.000.03.det_cont.csv,0.164,0.148,0.233,0.088,0.276,0.246,0.259,0.000,0.364,0.298,0.345,0.000,0.438,0.000,0.091
f_min.final_model.000.04.det_cont.csv,0.072,0.327,0.149,0.041,0.116,0.233,0.145,0.000,0.418,0.085,0.350,0.000,0.500,0.000,0.087
f_min.final_model.000.05.det_cont.csv,0.200,0.085,0.227,0.125,0.266,0.200,0.271,0.012,0.439,0.209,0.604,0.023,0.434,0.000,0.096
f_min.final_model.000.06.det_cont.csv,0.000,0.308,0.014,0.000,0.440,0.000,0.015,0.014,0.106,0.440,0.070,0.025,0.081,0.000,0.012
f_min.final_model.000.07.det_cont.csv,0.167,0.169,0.250,0.111,0.159,0.375,0.233,0.000,0.500,0.111,0.448,0.000,0.596,0.000,0.169
f_min.final_model.000.08.det_cont.csv,0.276,0.028,0.481,0.242,0.149,0.156,0.511,0.013,0.592,0.116,0.528,0.000,0.385,0.000,0.192
f_min.final_model.000.09.det_cont.csv,0.034,0.176,0.103,0.032,0.123,0.245,0.094,0.000,0.383,0.085,0.308,0.000,0.475,0.000,0.088
f_min.final_model.000.10.det_cont.csv,0.185,0.070,0.250,0.096,0.311,0.222,0.254,0.000,0.421,0.250,0.527,0.000,0.471,0.000,0.098
f_min.final_model.000.11.det_cont.csv,0.000,0.149,0.000,0.000,0.723,0.000,0.000,0.151,0.051,0.723,0.133,0.169,0.056,0.081,0.000
f_min.final_model.000.12.det_cont.csv,0.291,0.000,0.345,0.345,0.088,0.060,0.360,0.185,0.172,0.088,0.238,0.153,0.045,0.090,0.254
f_min.final_model.000.13.det_cont.csv,0.300,0.013,0.397,0.227,0.306,0.147,0.415,0.037,0.414,0.266,0.466,0.047,0.226,0.013,0.182
f_min.final_model.000.14.det_cont.csv,0.015,0.467,0.045,0.014,0.167,0.155,0.067,0.000,0.246,0.167,0.194,0.000,0.275,0.000,0.053
