 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.177,0.729,0.295,0.462,0.284,0.119,0.308,0.099,0.482,0.441,0.418,0.177,0.574,0.161,0.339
f_min.final_model.000.01.det_cont.csv,0.269,0.551,0.200,0.643,0.386,0.153,0.525,0.203,0.617,0.300,0.543,0.320,0.418,0.121,0.440
f_min.final_model.000.02.det_cont.csv,0.074,0.492,0.431,0.304,0.176,0.187,0.206,0.034,0.347,0.778,0.260,0.074,0.678,0.117,0.388
f_min.final_model.000.03.det_cont.csv,0.255,0.298,0.429,0.264,0.203,0.500,0.311,0.232,0.276,0.254,0.232,0.255,0.333,0.033,0.522
f_min.final_model.000.04.det_cont.csv,0.439,0.327,0.182,0.590,0.440,0.196,0.500,0.306,0.605,0.151,0.524,0.475,0.291,0.018,0.327
f_min.final_model.000.05.det_cont.csv,0.000,0.310,0.059,0.131,0.082,0.000,0.052,0.000,0.152,0.319,0.145,0.000,0.219,0.667,0.180
f_min.final_model.000.06.det_cont.csv,0.308,0.345,0.213,0.543,0.446,0.250,0.615,0.352,0.560,0.208,0.490,0.478,0.290,0.081,0.423
f_min.final_model.000.07.det_cont.csv,0.101,0.593,0.262,0.254,0.141,0.130,0.203,0.038,0.323,0.554,0.227,0.056,0.467,0.293,0.367
f_min.final_model.000.08.det_cont.csv,0.320,0.357,0.108,0.533,0.580,0.115,0.326,0.315,0.551,0.182,0.651,0.467,0.258,0.102,0.333
f_min.final_model.000.09.det_cont.csv,0.629,0.063,0.167,0.154,0.400,0.341,0.209,0.442,0.175,0.025,0.216,0.425,0.045,0.000,0.189
f_min.final_model.000.10.det_cont.csv,0.000,0.136,0.086,0.000,0.000,0.000,0.000,0.000,0.031,0.155,0.000,0.000,0.113,0.474,0.016
f_min.final_model.000.11.det_cont.csv,0.000,0.230,0.076,0.079,0.040,0.000,0.017,0.000,0.119,0.250,0.077,0.000,0.203,0.561,0.092
f_min.final_model.000.12.det_cont.csv,0.194,0.448,0.250,0.453,0.299,0.288,0.380,0.197,0.474,0.375,0.436,0.233,0.410,0.141,0.702
f_min.final_model.000.13.det_cont.csv,0.207,0.333,0.617,0.237,0.169,0.358,0.300,0.190,0.250,0.397,0.210,0.186,0.491,0.030,0.434
f_min.final_model.000.14.det_cont.csv,0.013,0.344,0.414,0.113,0.060,0.130,0.060,0.000,0.162,0.507,0.095,0.000,0.419,0.154,0.171
