 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.474,0.514,0.228,0.417,0.250,0.293,0.178,0.432,0.130,0.562,0.370,0.452,0.417,0.333
f_min.final_model.000.01.det_cont.csv,0.474,1.000,0.420,0.173,0.302,0.200,0.183,0.109,0.340,0.082,0.545,0.528,0.400,0.568,0.322
f_min.final_model.000.02.det_cont.csv,0.514,0.420,1.000,0.349,0.571,0.415,0.360,0.115,0.659,0.152,0.585,0.660,0.429,0.571,0.562
f_min.final_model.000.03.det_cont.csv,0.228,0.173,0.349,1.000,0.431,0.508,0.545,0.491,0.417,0.661,0.262,0.357,0.167,0.239,0.438
f_min.final_model.000.04.det_cont.csv,0.417,0.302,0.571,0.431,1.000,0.431,0.467,0.200,0.650,0.276,0.370,0.434,0.261,0.391,0.622
f_min.final_model.000.05.det_cont.csv,0.250,0.200,0.415,0.508,0.431,1.000,0.364,0.190,0.531,0.339,0.286,0.417,0.175,0.281,0.547
f_min.final_model.000.06.det_cont.csv,0.293,0.183,0.360,0.545,0.467,0.364,1.000,0.333,0.447,0.382,0.354,0.393,0.224,0.222,0.442
f_min.final_model.000.07.det_cont.csv,0.178,0.109,0.115,0.491,0.200,0.190,0.333,1.000,0.133,0.583,0.161,0.083,0.111,0.065,0.136
f_min.final_model.000.08.det_cont.csv,0.432,0.340,0.659,0.417,0.650,0.531,0.447,0.133,1.000,0.226,0.413,0.560,0.304,0.467,0.667
f_min.final_model.000.09.det_cont.csv,0.130,0.082,0.152,0.661,0.276,0.339,0.382,0.583,0.226,1.000,0.123,0.147,0.046,0.057,0.258
f_min.final_model.000.10.det_cont.csv,0.562,0.545,0.585,0.262,0.370,0.286,0.354,0.161,0.413,0.123,1.000,0.531,0.583,0.537,0.358
f_min.final_model.000.11.det_cont.csv,0.370,0.528,0.660,0.357,0.434,0.417,0.393,0.083,0.560,0.147,0.531,1.000,0.400,0.617,0.604
f_min.final_model.000.12.det_cont.csv,0.452,0.400,0.429,0.167,0.261,0.175,0.224,0.111,0.304,0.046,0.583,0.400,1.000,0.487,0.241
f_min.final_model.000.13.det_cont.csv,0.417,0.568,0.571,0.239,0.391,0.281,0.222,0.065,0.467,0.057,0.537,0.617,0.487,1.000,0.404
f_min.final_model.000.14.det_cont.csv,0.333,0.322,0.562,0.438,0.622,0.547,0.442,0.136,0.667,0.258,0.358,0.604,0.241,0.404,1.000
