 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.118,0.169,0.098,0.031,0.033,0.327,0.127,0.274,0.150,0.000,0.111,0.259,0.167,0.000,0.082
f_min.final_model.000.01.det_cont.csv,0.071,0.133,0.035,0.294,0.245,0.000,0.228,0.040,0.236,0.639,0.000,0.000,0.188,0.180,0.000
f_min.final_model.000.02.det_cont.csv,0.197,0.241,0.177,0.077,0.102,0.469,0.156,0.367,0.180,0.000,0.167,0.340,0.250,0.041,0.123
f_min.final_model.000.03.det_cont.csv,0.082,0.108,0.045,0.000,0.032,0.286,0.104,0.206,0.091,0.000,0.167,0.224,0.096,0.000,0.051
f_min.final_model.000.04.det_cont.csv,0.295,0.180,0.476,0.373,0.182,0.059,0.194,0.302,0.075,0.145,0.086,0.076,0.270,0.617,0.414
f_min.final_model.000.05.det_cont.csv,0.152,0.302,0.111,0.047,0.216,0.150,0.291,0.129,0.353,0.071,0.000,0.046,0.149,0.014,0.026
f_min.final_model.000.06.det_cont.csv,0.197,0.245,0.176,0.067,0.113,0.467,0.193,0.382,0.222,0.000,0.163,0.354,0.254,0.029,0.134
f_min.final_model.000.07.det_cont.csv,0.012,0.000,0.067,0.014,0.000,0.087,0.000,0.012,0.000,0.000,0.222,0.138,0.000,0.026,0.149
f_min.final_model.000.08.det_cont.csv,0.455,0.521,0.270,0.164,0.347,0.352,0.389,0.431,0.460,0.067,0.085,0.180,0.473,0.167,0.122
f_min.final_model.000.09.det_cont.csv,0.215,0.143,0.431,0.373,0.121,0.043,0.175,0.242,0.043,0.105,0.068,0.060,0.250,0.520,0.414
f_min.final_model.000.10.det_cont.csv,0.596,0.434,0.366,0.175,0.302,0.434,0.322,0.483,0.382,0.063,0.218,0.339,0.448,0.212,0.265
f_min.final_model.000.11.det_cont.csv,0.023,0.000,0.085,0.013,0.000,0.066,0.000,0.022,0.000,0.029,0.180,0.111,0.000,0.049,0.167
f_min.final_model.000.12.det_cont.csv,0.423,0.595,0.257,0.161,0.463,0.218,0.568,0.242,0.634,0.094,0.018,0.082,0.415,0.145,0.085
f_min.final_model.000.13.det_cont.csv,0.000,0.000,0.022,0.000,0.000,0.044,0.000,0.000,0.000,0.051,0.127,0.061,0.000,0.000,0.080
f_min.final_model.000.14.det_cont.csv,0.060,0.123,0.020,0.000,0.071,0.224,0.135,0.165,0.123,0.043,0.090,0.157,0.084,0.000,0.034
