 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.271,0.421,0.119,0.333,0.621,0.019,0.436,0.164,0.385,0.324,0.000,0.000,0.292,0.318,0.049
f_min.final_model.000.01.det_cont.csv,0.197,0.286,0.094,0.273,0.444,0.014,0.345,0.108,0.385,0.615,0.000,0.000,0.231,0.226,0.025
f_min.final_model.000.02.det_cont.csv,0.382,0.568,0.233,0.314,0.590,0.113,0.614,0.197,0.643,0.277,0.000,0.046,0.426,0.281,0.053
f_min.final_model.000.03.det_cont.csv,0.632,0.433,0.726,0.355,0.317,0.211,0.313,0.500,0.265,0.069,0.116,0.197,0.446,0.525,0.433
f_min.final_model.000.04.det_cont.csv,0.510,0.718,0.313,0.327,0.538,0.136,0.533,0.283,0.523,0.137,0.000,0.065,0.415,0.291,0.149
f_min.final_model.000.05.det_cont.csv,0.660,0.490,0.386,0.233,0.353,0.382,0.345,0.483,0.407,0.081,0.175,0.271,0.474,0.250,0.229
f_min.final_model.000.06.det_cont.csv,0.434,0.468,0.429,0.489,0.348,0.150,0.365,0.436,0.302,0.154,0.000,0.097,0.674,0.490,0.197
f_min.final_model.000.07.det_cont.csv,0.310,0.190,0.500,0.340,0.170,0.078,0.164,0.339,0.062,0.091,0.091,0.079,0.222,0.587,0.463
f_min.final_model.000.08.det_cont.csv,0.490,0.683,0.286,0.288,0.590,0.211,0.578,0.317,0.605,0.176,0.034,0.097,0.510,0.237,0.113
f_min.final_model.000.09.det_cont.csv,0.500,0.222,0.719,0.339,0.129,0.262,0.129,0.500,0.116,0.030,0.153,0.267,0.308,0.473,0.611
f_min.final_model.000.10.det_cont.csv,0.304,0.347,0.160,0.391,0.553,0.031,0.447,0.169,0.404,0.462,0.000,0.000,0.423,0.346,0.027
f_min.final_model.000.11.det_cont.csv,0.344,0.519,0.235,0.283,0.469,0.145,0.446,0.236,0.612,0.429,0.000,0.083,0.450,0.221,0.085
f_min.final_model.000.12.det_cont.csv,0.172,0.271,0.065,0.372,0.421,0.017,0.400,0.092,0.326,0.486,0.000,0.000,0.278,0.250,0.000
f_min.final_model.000.13.det_cont.csv,0.254,0.396,0.128,0.204,0.500,0.047,0.438,0.100,0.426,0.487,0.000,0.015,0.271,0.183,0.000
f_min.final_model.000.14.det_cont.csv,0.482,0.652,0.329,0.254,0.500,0.188,0.472,0.344,0.551,0.175,0.015,0.119,0.500,0.231,0.162
